ID	LABEL	Definition	def_xref	is_a	part_of	develops_from	has_muscle_origin	has_muscle_insertion	innervated_by	term_tracker_item	In_subset	Date	Contributor	Present_in_taxon	Wikipedia_image	xref
ID	LABEL	A IAO:0000115	>A oboInOwl:hasDbXref SPLIT=|	SC %	SC BFO:0000050 some %	SC RO:0002202 some %	SC RO:0002372 some %	SC RO:0002373 some %	SC RO:0002005 some %	AT IAO:0000233^^xsd:anyURI	AI oboInOwl:inSubset	AT dcterms:date^^xsd:dateTime	AI dcterms:contributor	AI RO:0002175	A foaf:depiction	A oboInOwl:hasDbXref SPLIT=|
http://purl.obolibrary.org/obo/UBERON_9900001	anterior cervical intertransversarii muscle	A skeletal muscle organ that is one of a paired series of short segmental muscles connecting the anterior tubercles of adjacent cervical vertebrae, lying anterior to the ventral rami of the cervical spinal nerves and acting to bend the cervical spine laterally.	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_anterior-cervical-intertransversarii-muscle|PMID:7076562	UBERON:0014892	UBERON:0006072		UBERON:0002413	UBERON:0002413	UBERON:0001780	https://github.com/obophenotype/uberon/issues/3707	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Intertransversarii
http://purl.obolibrary.org/obo/UBERON_9900003	articularis genu muscle	A small skeletal muscle organ of the anterior thigh, lying deep to the vastus intermedius, that arises from the anterior surface of the distal shaft of the femur and inserts onto the proximal wall of the suprapatellar bursa and the synovial membrane of the knee joint, where it retracts the bursa superiorly during knee extension.	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_articularis-genu-muscle|PMID:30229230	UBERON:0001630	UBERON:0000376		UBERON:0000981		UBERON:0001267	https://github.com/obophenotype/uberon/issues/3707	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/2/2b/Gray244.png	Wikipedia:Articularis_genus_muscle|FMA:22424
http://purl.obolibrary.org/obo/UBERON_9900008	clavicular head of pectoralis major muscle	A muscle head that forms the superior portion of the pectoralis major, originating from the anterior surface of the medial half of the clavicle and converging with the sternocostal head to insert via a common tendon onto the lateral lip of the intertubercular groove of the humerus.	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_clavicular-head-of-pectoralis-major-muscle|Wikipedia:Pectoralis_major_muscle	UBERON:0011906	UBERON:0002381		UBERON:0001105	UBERON:0000976	UBERON:0003726	https://github.com/obophenotype/uberon/issues/3707	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Pectoralis_major_muscle|FMA:32519
http://purl.obolibrary.org/obo/UBERON_9900010	dorsal part of intertransversarii laterales lumborum muscle	A small skeletal back muscle that originates from the accessory process of one lumbar vertebra and inserts onto the transverse process of the adjacent (next inferior) lumbar vertebra, forming the posterior (dorsal) component of the lateral intertransverse muscles of the lumbar region; it contributes to lateral flexion and segmental stabilisation of the lumbar vertebral column.	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_dorsal-part-of-intertransversarii-laterales-lumborum-muscle	UBERON:0001630	UBERON:0001137		UBERON:0001077	UBERON:0001077	UBERON:0006839	https://github.com/obophenotype/uberon/issues/3707	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Intertransversarii
http://purl.obolibrary.org/obo/UBERON_9900015	hamstring portion of adductor magnus muscle	A muscle head that originates from the ischial tuberosity and descends almost vertically through the posterior compartment of the thigh to insert by a rounded tendon onto the adductor tubercle of the medial femoral condyle. It is the ischiocondylar division of the adductor magnus, is innervated by the tibial division of the sciatic nerve, and acts to extend the hip joint.	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_hamstring-portion-of-adductor-magnus-muscle|PMID:23813615	UBERON:0011906	UBERON:0000370		UBERON:0034983	UBERON:0000981	UBERON:0001323	https://github.com/obophenotype/uberon/issues/3707	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Adductor_magnus_muscle
http://purl.obolibrary.org/obo/UBERON_9900018	inferior head of lateral pterygoid muscle	A muscle head that is the larger, lower division of the lateral pterygoid muscle, arising from the lateral surface of the lateral pterygoid plate of the sphenoid bone and inserting onto the pterygoid fovea on the neck of the mandibular condyle; it acts on the inferior compartment of the temporomandibular joint to depress, protrude, and laterally deviate the mandible.	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_inferior-head-of-lateral-pterygoid-muscle|PMID:15104127|PMID:12446184	UBERON:0011906	UBERON:0006719		UBERON:0004649	UBERON:0004657	UBERON:0013647	https://github.com/obophenotype/uberon/issues/3707	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Lateral_pterygoid_muscle
http://purl.obolibrary.org/obo/UBERON_9900019	inferior longitudinal muscle of tongue	An intrinsic muscle of the tongue that consists of a narrow band of longitudinal fibers running along the inferior surface of the tongue between the genioglossus and hyoglossus muscles, extending from the root to the apex of the tongue, and innervated by the hypoglossal nerve.	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_inferior-longitudinal-lingual-muscle|PMID:30855883	UBERON:0001576	UBERON:0001723		UBERON:0001685	UBERON:0001723	UBERON:0001650	https://github.com/obophenotype/uberon/issues/3707	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/3/30/Musculuslongitudinalissuperiorlinguae.png	Wikipedia:Inferior_longitudinal_muscle_of_tongue|FMA:46694
http://purl.obolibrary.org/obo/UBERON_9900022	interspinales cervicis muscle	A muscle of the vertebral column consisting of short paired fascicles that span between the spinous processes of contiguous cervical vertebrae (typically C2 through T1), lying on either side of the interspinous ligament. It assists in extension of the cervical spine and contributes to segmental stabilisation and proprioception of the neck.	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_interspinales-cervicalis-muscle|Wikipedia:Interspinales_muscles	UBERON:0004518	UBERON:0000974		UBERON:0001076	UBERON:0001076	UBERON:0006839	https://github.com/obophenotype/uberon/issues/3707	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Interspinales_muscles|FMA:32519
http://purl.obolibrary.org/obo/UBERON_9900023	intertransversarii laterales lumborum muscle	A skeletal muscle organ that is one of a paired series of short segmental muscles connecting the transverse processes of adjacent lumbar vertebrae along their lateral aspect, innervated by ventral rami of the lumbar spinal nerves and acting to flex the lumbar spine laterally.	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle|PMID:7076562	UBERON:0014892	UBERON:0006074				UBERON:0001780	https://github.com/obophenotype/uberon/issues/3707	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Intertransversarii
