ID	LABEL	Definition	def_xref	is_a	is_a	part_of	develops_from	In_subset	Date	Contributor	Present_in_taxon	Wikipedia_image	xref
ID	LABEL	A IAO:0000115	>A oboInOwl:hasDbXref SPLIT=|	SC %	EC %	SC BFO:0000050 some %	SC RO:0002202 some %	AI oboInOwl:inSubset	AT dcterms:date^^xsd:dateTime	AI dcterms:contributor	AI RO:0002175	A foaf:depiction	A oboInOwl:hasDbXref SPLIT=|
http://purl.obolibrary.org/obo/UBERON_8930002	alveolar capillary	"A capillary that is part of the alveolar wall and participates in the blood-gas barrier, facilitating gas exchange between the alveolar air space and the blood. Alveolar capillaries form an extensive network around the pulmonary alveoli, where oxygen diffuses from the alveolar air into the blood and carbon dioxide diffuses from the blood into the alveolar air."	https://doi.org/10.1152/japplphysiol.01177.2009|https://purl.org/ccf/ASCTB-TEMP_alveolar-capillary|PMID:34499087|PMID:27981379	UBERON:0001982		UBERON:0002299		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/4/46/Alveolus_diagram.svg	Wikipedia:Pulmonary_alveolus
http://purl.obolibrary.org/obo/UBERON_8930003	alveolar mucosa capillary	A capillary that is part of the alveolar mucosa and contributes to the vascular plexus providing nutrition to the oral mucosa lining between the buccal and labial mucosae.	https://en.wikipedia.org/wiki/Posterior_superior_alveolar_artery|https://purl.org/ccf/ASCTB-TEMP_alveolar-mucosa-capillary|PMID:41554560	UBERON:0001982		UBERON:0035967		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Oral_mucosa|FMA:289360
http://purl.obolibrary.org/obo/UBERON_8930004	anterior lingual gland capillary	"A capillary that is part of the anterior lingual gland, one of the smallest blood vessels connecting arterioles to venules within the mucous glands located near the apex of the tongue."	https://en.wikipedia.org/wiki/Lingual_artery|https://purl.org/ccf/ASCTB-TEMP_anterior-lingual-gland-capillary|PMID:42098967	UBERON:0001982		UBERON:0006330		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Anterior_lingual_glands
http://purl.obolibrary.org/obo/UBERON_8930005	capillary of spleen	A capillary that is part of the spleen.	https://purl.org/ccf/ASCTB-TEMP_arterial-capillary|PMID:29420557	UBERON:0001982	UBERON:0001982 and BFO:0000050 some UBERON:0002106			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Capillary|Wikipedia:Microcirculation
http://purl.obolibrary.org/obo/UBERON_8930006	bronchial capillary	"A capillary that is part of the bronchial circulation, connecting bronchial arterioles and venules, and supplying the walls of the bronchi with oxygenated blood."	https://en.wikipedia.org/wiki/Bronchial_artery|https://purl.org/ccf/ASCTB-TEMP_bronchial-capillary|PMID:41562526	UBERON:0001982		UBERON:0002185		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Bronchial_artery
http://purl.obolibrary.org/obo/UBERON_8930007	buccal mucosa capillary	"A capillary that is part of the buccal mucosa, forming part of the microvascular network that supplies blood to the inner lining of the cheeks and lips."	https://en.wikipedia.org/wiki/Buccal_artery|https://purl.org/ccf/ASCTB-TEMP_buccal-mucosa-capillary|PMID:12737514|PMID:29223560	UBERON:0001982		UBERON:0006956		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Buccal_artery
http://purl.obolibrary.org/obo/UBERON_8930008	capillary plexus of posterior pituitary gland	"A capillary plexus that forms a dense vascular network in the posterior pituitary gland, receiving secreted neurohypophysial hormones (oxytocin and vasopressin) from axon terminals of hypothalamic neurons for distribution into systemic circulation."	https://basicmedicalkey.com/endocrine-system-3/|https://purl.org/ccf/ASCTB-TEMP_capillary-plexus-of-posterior-pituitary-gland|PMID:941854	UBERON:0035753		UBERON:0002198		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Posterior_pituitary
http://purl.obolibrary.org/obo/UBERON_8930009	parotid gland capillary	"A capillary that is part of the parotid gland, forming part of the microvascular network that supplies blood to the glandular parenchyma and facilitates exchange between blood and the secretory acini."	https://purl.org/ccf/ASCTB-TEMP_deep-parotid-gland-capillary|https://purl.org/ccf/ASCTB-TEMP_superior-parotid-gland-capillary|PMID:41860412	UBERON:0001982		UBERON:0001831		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Maxillary_artery
http://purl.obolibrary.org/obo/UBERON_8930010	external primary capillary plexus of median eminence	A capillary plexus that is formed by terminal branches of the superior hypophysial arteries within the median eminence and serves as the primary site where hypothalamic releasing hormones are secreted into the hypophyseal portal circulation before being transported to the anterior pituitary.	https://basicmedicalkey.com/endocrine-system-3/|https://purl.org/ccf/ASCTB-TEMP_external-primary-capillary-plexus-of-median-eminence|PMID:28722251|PMID:29254602	UBERON:0035753		UBERON:0002197		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Hypophyseal_portal_system
http://purl.obolibrary.org/obo/UBERON_8930011	inferior labial gland capillary	A capillary that is part of the labial gland and contributes to the microvascular network supplying blood to the secretory and ductal components of the minor salivary gland tissue in the lower lip.	https://en.wikipedia.org/wiki/Inferior_labial_artery|https://purl.org/ccf/ASCTB-TEMP_inferior-labial-gland-capillary|PMID:34422599	UBERON:0001982		UBERON:8480065		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Inferior_labial_artery
http://purl.obolibrary.org/obo/UBERON_8930012	internal primary capillary plexus of median eminence	"A capillary plexus located in the internal (deeper) zone of the median eminence, where neurosecretory terminals from hypothalamic neurons release regulatory hormones. This capillary network forms the initial collection point of the hypothalamo-hypophyseal portal system, receiving hypothalamic releasing and inhibiting hormones before they are transported via portal vessels to the anterior pituitary. The internal plexus is distinguished from the external plexus by its deeper position within the median eminence structure and its proximity to the primary neurosecretory terminals."	https://basicmedicalkey.com/endocrine-system-3/|https://purl.org/ccf/ASCTB-TEMP_internal-primary-capillary-plexus-of-median-eminence|PMID:1571958|PMID:2891718	UBERON:0035753		UBERON:0002197		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/8/8c/HypothalamicNuclei.PNG	Wikipedia:Median_eminence
http://purl.obolibrary.org/obo/UBERON_8930013	lobular capillary of pancreas	"A capillary that is located within a pancreatic lobule, forming part of the lobular microcirculation that supplies blood to the exocrine acini and islets of Langerhans."	https://www.flandershealth.us/chronic-pancreatitis/microcirculation-of-the-pancreas.html|https://purl.org/ccf/ASCTB-TEMP_lobular-capillary-of-pancreas|PMID:253377	UBERON:0001982		UBERON:0007324		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Pancreas
http://purl.obolibrary.org/obo/UBERON_8930014	dental pulp capillary	"A capillary that is part of the dental pulp and supplies blood to the soft connective tissue within the tooth pulp chamber, connecting arterioles to venules within the neurovascular bundle of the tooth."	https://en.wikipedia.org/wiki/Posterior_superior_alveolar_artery|https://purl.org/ccf/ASCTB-TEMP_maxillary-pulp-capillary|PMID:42091722|PMID:41897326	UBERON:0001982		UBERON:0001754		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Pulp_(tooth)
http://purl.obolibrary.org/obo/UBERON_8930015	palatine gland capillary	"A capillary that is part of the vascular network supplying the palatine gland, providing blood flow to the mucous-secreting acini and connective tissue septa of this minor salivary gland located in the soft palate."	https://en.wikipedia.org/wiki/Greater_palatine_artery|https://purl.org/ccf/ASCTB-TEMP_palatine-gland-capillary|PMID:1758683|PMID:39808103	UBERON:0001982		UBERON:0002447		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Palatine_glands
http://purl.obolibrary.org/obo/UBERON_8930016	palatine tonsil capillary	A capillary that is part of the palatine tonsil.	https://en.wikipedia.org/wiki/Ascending_palatine_artery|https://purl.org/ccf/ASCTB-TEMP_palatine-tonsil-capillary|PMID:37024450|PMID:36260813	UBERON:0001982	UBERON:0001982 and BFO:0000050 some UBERON:0002373			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Palatine_tonsil
