ID	LABEL	Definition	def_xref	is_a	part_of	develops_from	In_subset	Date	Contributor	Present_in_taxon	Wikipedia_image	xref
ID	LABEL	A IAO:0000115	>A oboInOwl:hasDbXref SPLIT=|	SC %	SC BFO:0000050 some %	SC RO:0002202 some %	AI oboInOwl:inSubset	AT dcterms:date^^xsd:dateTime	AI dcterms:contributor	AI RO:0002175	A foaf:depiction	A oboInOwl:hasDbXref SPLIT=|
http://purl.obolibrary.org/obo/UBERON_8930200	central anterior body of uterus	The region of the body of uterus that is located along the midline on the anterior aspect of the uterine corpus, above the isthmus and below the orifices of the uterine tubes.	https://purl.org/ccf/ASCTB-TEMP_central-anterior-body-of-uterus|PMID:29262069	UBERON:0034944	UBERON:0009853		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-26T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Uterus
http://purl.obolibrary.org/obo/UBERON_8930201	central anterior fundus of uterus	A zone of organ that is located in the medial anterior region of the superior dome-shaped portion of the uterus, positioned ventral to the midline of the uterine fundus.	https://purl.org/ccf/ASCTB-TEMP_central-anterior-fundus-of-uterus|PMID:32567320	UBERON:0034944	UBERON:1200003		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-26T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Uterus
http://purl.obolibrary.org/obo/UBERON_8930202	central anterior lower uterine segment	A zone of organ that is located in the medial anterior region of the lower uterine segment, the narrowing transitional area between the uterine body and cervix that becomes more prominent during late pregnancy.	https://purl.org/ccf/ASCTB-TEMP_central-anterior-lower-uterine-segment|PMID:13131157|PMID:27342045	UNKNOWN	UNKNOWN		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-26T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Uterus
http://purl.obolibrary.org/obo/UBERON_8930203	central posterior body of uterus	The region of the body of uterus that is located along the midline on the posterior aspect of the uterine corpus, above the isthmus and below the orifices of the uterine tubes.	https://purl.org/ccf/ASCTB-TEMP_central-posterior-body-of-uterus|PMID:29262069	UBERON:0034944	UBERON:0009853		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-26T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Uterus
http://purl.obolibrary.org/obo/UBERON_8930204	central posterior fundus of uterus	A zone of organ that is located in the medial posterior region of the superior dome-shaped portion of the uterus, positioned dorsal to the midline of the uterine fundus.	https://purl.org/ccf/ASCTB-TEMP_central-posterior-fundus-of-uterus|PMID:32567320	UBERON:0034944	UBERON:1200003		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-26T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Uterus
http://purl.obolibrary.org/obo/UBERON_8930205	central posterior lower uterine segment	A zone of organ that is located in the medial posterior region of the lower uterine segment, the narrowing transitional area between the uterine body and cervix that becomes more prominent during late pregnancy.	https://purl.org/ccf/ASCTB-TEMP_central-posterior-lower-uterine-segment|PMID:13131157|PMID:27342045	UNKNOWN	UNKNOWN		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-26T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Uterus
http://purl.obolibrary.org/obo/UBERON_8930210	connective tissue of the uterine serosa	A portion of connective tissue that is part of a serosa of uterus. This connective tissue layer underlies the mesothelium and forms the structural component of the perimetrium.	https://purl.org/ccf/ASCTB-TEMP_connective-tissue-of-the-uterine-serosa|PMID:42152375|PMID:42116181	UBERON:0002384	UBERON:0001297		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-26T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Perimetrium
http://purl.obolibrary.org/obo/UBERON_8930212	ectocervical stroma	A connective tissue stroma that is part of the ectocervix, underlying the ectocervical epithelium and composed primarily of collagen and elastin fibers.	https://purl.org/ccf/ASCTB-TEMP_ectocervical-stroma|PMID:33580897|PMID:8416558	UBERON:0003891	UBERON:0012249		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-26T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Cervix
http://purl.obolibrary.org/obo/UBERON_8930213	endocervical stroma	A layer of connective tissue that forms the supportive framework of the endocervix, underlying the endocervical epithelium.	https://purl.org/ccf/ASCTB-TEMP_endocervical-stroma|PMID:33580897|PMID:12877729	UBERON:0003891	UBERON:0000458		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-26T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_8930215	inferior uterine vein	A vein that drains blood from the lower portion of the uterus, typically arising from the uterine venous plexus and draining into the internal iliac vein.	https://purl.org/ccf/ASCTB-TEMP_inferior-uterine-vein|PMID:38493417|PMID:16996115	UBERON:0001638	UBERON:0000995		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-26T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
