ID	LABEL	Definition	def_xref	is_a	part_of	In_subset	Date	Contributor	Present_in_taxon	Wikipedia_image	xref
ID	LABEL	A IAO:0000115	>A oboInOwl:hasDbXref SPLIT=|	SC %	SC BFO:0000050 some %	AI oboInOwl:inSubset	AT dcterms:date^^xsd:dateTime	AI dcterms:contributor	AI RO:0002175	A foaf:depiction	A oboInOwl:hasDbXref SPLIT=|
http://purl.obolibrary.org/obo/UBERON_9900100	corona radiata	A granulosa cell layer forming the innermost stratum of the cumulus oophorus, composed of columnar granulosa cells directly apposed to the zona pellucida of the oocyte, which adhere to the oocyte prior to ovulation and must be dispersed by hyaluronidase from the sperm acrosome to permit fertilization.	https://purl.org/ccf/ASCTB-TEMP_corona-radiata		UBERON:0001306	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-04-27T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Corona_radiata_(embryology)
http://purl.obolibrary.org/obo/UBERON_9900101	corpus luteum granulosa lutein layer	A cell layer that forms the inner zone of the corpus luteum, composed of large luteal cells (granulosa lutein cells) derived from luteinized follicular granulosa cells, and that produces oestrogens via aromatase activity using androgens synthesized by the surrounding theca lutein layer.	https://purl.org/ccf/ASCTB-TEMP_corpus-luteum-granulosa-lutein-layer		UBERON:0002512	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-04-27T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Corpus_luteum
http://purl.obolibrary.org/obo/UBERON_9900102	corpus luteum granulosa theca layer	A cellular layer of the corpus luteum comprising both granulosa-lutein cells (large luteal cells derived from follicular granulosa cells, located centrally and arranged in cords around vascular spaces) and theca-lutein cells (small luteal cells derived from theca interna cells, located peripherally between the folds of the granulosa-lutein cell layer), which together form the principal steroidogenic parenchyma of the corpus luteum and cooperate in the biosynthesis of progesterone and estrogen.	https://purl.org/ccf/ASCTB-TEMP_corpus-luteum-granulosa-theca-layer		UBERON:0002512	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-04-27T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Gray1163.png/330px-Gray1163.png	
http://purl.obolibrary.org/obo/UBERON_9900103	cumulus oophorus oocyte complex	A reproductive structure consisting of the oocyte together with its surrounding cumulus oophorus cells within the antral follicle, interconnected by gap junctions that facilitate bidirectional communication essential for oocyte maturation and competence prior to ovulation.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://doi.org/10.1210/er.2018-00085|https://purl.org/ccf/ASCTB-TEMP_cumulus-oophorus-oocyte-complex		UBERON:0001305	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-04-27T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Gray1164.png/330px-Gray1164.png	Wikipedia:Cumulus_oophorus
http://purl.obolibrary.org/obo/UBERON_9900104	dominance antral follicle	A tertiary ovarian follicle that has been selected from the cohort of antral follicles during the follicular phase of the menstrual cycle, characterised by its ability to suppress the growth of co-developing follicles through increased oestradiol and inhibin secretion, and destined to reach full maturity and ovulate.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://purl.org/ccf/ASCTB-TEMP_dominance-antral-follicle	UBERON:0000037		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-04-27T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/f/f1/Order_of_changes_in_ovary.svg	
http://purl.obolibrary.org/obo/UBERON_9900105	early antral follicle	A tertiary ovarian follicle in the earliest stage of antrum formation, typically 2-5 mm in diameter, characterized by a small fluid-filled antral cavity, active granulosa cell proliferation under FSH stimulation, and belonging to the recruited cohort that enters the late luteal phase of the preceding menstrual cycle prior to follicle selection.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://purl.org/ccf/ASCTB-TEMP_early-antral-follicle	UBERON:0000037		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-04-27T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Order_of_changes_in_ovary.svg/500px-Order_of_changes_in_ovary.svg.png	Wikipedia:Folliculogenesis
http://purl.obolibrary.org/obo/UBERON_9900106	hemorrhagic anovulatory follicle	An ovarian follicle that fails to ovulate and undergoes intrafollicular hemorrhage, resulting in the antral cavity becoming filled with blood rather than follicular fluid, without rupture or formation of a corpus luteum.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://doi.org/10.1210/er.2018-00085|https://purl.org/ccf/ASCTB-TEMP_hemorrhagic-anovulatory-follicle	UBERON:0001305		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-04-27T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900107	luteinized unruptured follicle	An ovarian follicle that has undergone luteinization following the mid-cycle LH surge but has failed to rupture and release the oocyte, resulting in progesterone secretion by the granulosa-lutein cells in the absence of ovulation.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://doi.org/10.1210/er.2018-00085|https://purl.org/ccf/ASCTB-TEMP_luteinized-unruptured-follicle	UBERON:0001305		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-04-27T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900108	multilayer ovarian follicle	A preantral ovarian follicle in which the granulosa cells have proliferated to form multiple complete concentric layers surrounding the oocyte, representing the most advanced preantral stage immediately preceding antrum formation.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://doi.org/10.1210/er.2018-00085|https://purl.org/ccf/ASCTB-TEMP_multilayer-ovarian-follicle	UBERON:0001305		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-04-27T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/e/eb/Folliculogenesis_chart.gif	
