ID	LABEL	Definition	def_xref	is_a	part_of	develops_from	In_subset	Date	Contributor	Present_in_taxon	Wikipedia_image	xref
ID	LABEL	A IAO:0000115	>A oboInOwl:hasDbXref SPLIT=|	SC %	SC BFO:0000050 some %	SC RO:0002202 some %	AI oboInOwl:inSubset	AT dcterms:date^^xsd:dateTime	AI dcterms:contributor	AI RO:0002175	A foaf:depiction	A oboInOwl:hasDbXref SPLIT=|
http://purl.obolibrary.org/obo/UBERON_9900001	antral follicle	An ovarian follicle characterized by the presence of a fluid-filled cavity called the antrum that develops during folliculogenesis.	https://purl.org/ccf/ASCTB-TEMP_antral-follicle|PMID:42484017|PMID:42483999				http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		FMA:18641
http://purl.obolibrary.org/obo/UBERON_9900004	central inferior ovary	An anatomical subdivision of the ovarian medulla that is located in the inferior (lower) portion of the central ovarian region, containing vascular stroma, blood vessels, lymphatic vessels, and nerves.	https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary|PMID:17999378|PMID:22666170		UBERON:0013192		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Medulla_of_ovary
http://purl.obolibrary.org/obo/UBERON_9900005	central ovary	An organ part that is the central region of the ovary, positioned between the lateral and medial aspects and encompassing tissue from both cortex and medulla in the mid-region of the organ.	https://purl.org/ccf/ASCTB-TEMP_central-ovary|PMID:17999378|PMID:22666170	UBERON:0000064	UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900006	central superior antimesenteric ovary	An anatomical region of the ovary corresponding to the central-mediolateral and superior-inferosuperior portion of the free border (antimesenteric side) opposite to the mesovarium attachment.	https://purl.org/ccf/ASCTB-TEMP_central-superior-antimesenteric-ovary|PMID:41985840|PMID:41813503		UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Ovary.png/330px-Ovary.png	Wikipedia:Ovary|Wikipedia:Mesovarium
http://purl.obolibrary.org/obo/UBERON_9900007	central superior mesenteric ovary	An anatomical region of the ovary corresponding to the central-mediolateral and superior-inferosuperior portion of the hilar border (mesenteric side) adjacent to the mesovarium attachment.	https://purl.org/ccf/ASCTB-TEMP_central-superior-mesenteric-ovary|PMID:41985840|PMID:41813503		UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Ovary.png/330px-Ovary.png	Wikipedia:Ovary|Wikipedia:Mesovarium
http://purl.obolibrary.org/obo/UBERON_9900008	central superior ovary	An anatomical subdivision of the ovarian medulla that is located in the superior (upper) portion of the central ovarian region, containing vascular stroma, blood vessels, lymphatic vessels, and nerves.	https://purl.org/ccf/ASCTB-TEMP_central-superior-ovary|PMID:17999378|PMID:22666170		UBERON:0013192		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Medulla_of_ovary
http://purl.obolibrary.org/obo/UBERON_9900009	corona radiata	A cell layer of granulosa cells that radiates outward from the zona pellucida surrounding the oocyte within an ovarian follicle. The corona radiata consists of specialized granulosa cells arranged in a radial pattern, forming the outermost cellular layer directly adjacent to the zona pellucida. This structure is expelled with the oocyte during ovulation and must be penetrated by sperm for successful fertilization to occur.	https://purl.org/ccf/ASCTB-TEMP_corona-radiata|PMID:40604261|PMID:35499777|PMID:34967955	UBERON:0000119	UBERON:0005170		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900010	corpus luteum granulosa lutein layer	A cell layer of the corpus luteum that consists of large luteinized granulosa cells derived from the granulosa cell layer of the preovulatory follicle and forms the inner layer of the corpus luteum.	https://purl.org/ccf/ASCTB-TEMP_corpus-luteum-granulosa-lutein-layer|PMID:20959416	UBERON:0000119	UBERON:0002512	UBERON:0005170	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/5/57/Folliclesinovary.jpg	Wikipedia:Corpus_luteum
http://purl.obolibrary.org/obo/UBERON_9900011	corpus luteum theca lutein layer	A cell layer of the corpus luteum that consists of luteinized theca cells derived from the theca cell layer of the preovulatory follicle and forms the outer layer of the corpus luteum.	https://purl.org/ccf/ASCTB-TEMP_corpus-luteum-granulosa-theca-layer|PMID:20959416	UBERON:0000119	UBERON:0002512	UBERON:0000155	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/5/57/Folliclesinovary.jpg	Wikipedia:Corpus_luteum
http://purl.obolibrary.org/obo/UBERON_9900012	cortical blood vessels	A blood vessel that is located in the ovarian cortex, supplying oxygenated blood to the follicles and connective tissue stroma within the cortical region of the ovary.	https://purl.org/ccf/ASCTB-TEMP_cortical-blood-vessels|PMID:42079177|PMID:41840688	UBERON:0001981	UBERON:0013191		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900013	cumulus oophorus oocyte complex	A multicellular anatomical structure consisting of an oocyte surrounded by layers of cumulus oophorus cells (cumulus cells) within the ovarian follicle, released as a functional unit during ovulation and required for fertilization.	https://doi.org/10.1210/er.2018-00085|https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://purl.org/ccf/ASCTB-TEMP_cumulus-oophorus-oocyte-complex|PMID:15219785|PMID:16944419|PMID:11315942	UBERON:0010000	UBERON:0001305		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://upload.wikimedia.org/wikipedia/commons/c/ca/Human_ovarian_follicle.jpg	Wikipedia:Oocyte|Wikipedia:Cumulus_oophorus|FMA:18659
http://purl.obolibrary.org/obo/UBERON_9900014	dominant antral follicle	A tertiary ovarian follicle that has been selected for continued growth and maturation through preferential responsiveness to follicle-stimulating hormone, typically becoming the single follicle that will ovulate during a menstrual cycle.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://purl.org/ccf/ASCTB-TEMP_dominance-antral-follicle|PMID:16928805|PMID:11157797	UBERON:0000037			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovarian_follicle
http://purl.obolibrary.org/obo/UBERON_9900015	early antral follicle	A tertiary ovarian follicle at the initial stage of antrum formation, characterized by the presence of small fluid-filled spaces between granulosa cells that have begun to coalesce.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://purl.org/ccf/ASCTB-TEMP_early-antral-follicle|PMID:18063620|PMID:11157797	UBERON:0000037		UBERON:0000036	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovarian_follicle
http://purl.obolibrary.org/obo/UBERON_9900017	lateral inferior antimesenteric ovary	An anatomical subdivision of the ovary located in the lateral and inferior region, specifically on the antimesenteric side (the side opposite to the mesovarium, the peritoneal fold that attaches the ovary to the broad ligament).	https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-antimesenteric-ovary|PMID:32123174|PMID:42435003	UBERON:0000064	UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovary
http://purl.obolibrary.org/obo/UBERON_9900018	lateral inferior mesenteric ovary	An anatomical subdivision of the ovary located in the lateral and inferior region, specifically on the mesenteric side (the side adjacent to the mesovarium, the peritoneal fold that attaches the ovary to the broad ligament).	https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-mesenteric-ovary|PMID:32123174|PMID:42435003	UBERON:0000064	UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovary
http://purl.obolibrary.org/obo/UBERON_9900020	lateral ovary	An organ part that is the lateral region of the ovary, comprising the outer aspect of the organ oriented away from the midline of the body.	https://purl.org/ccf/ASCTB-TEMP_lateral-ovary|PMID:17999378|PMID:22666170	UBERON:0000064	UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900029	medial inferior ovary	A spatial subdivision of the ovary representing the inferior (caudal) region of its medial (midline-facing) surface, defined by coordinate-based anatomical mapping rather than distinct histological or functional boundaries.	https://purl.org/ccf/ASCTB-TEMP_medial-inferior-ovary|PMID:42479259	UBERON:0000064	UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovary
http://purl.obolibrary.org/obo/UBERON_9900030	medial ovary	An organ part that is the medial region of the ovary, comprising the inner aspect of the organ oriented toward the midline of the body.	https://purl.org/ccf/ASCTB-TEMP_medial-ovary|PMID:17999378|PMID:22666170	UBERON:0000064	UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900031	medial superior antimesenteric ovary	An organ part of the ovary that is located in the medial and superior region on the antimesenteric side, which is the side opposite to the hilum where the ovarian ligament attaches to the uterus via the mesovarium.	https://purl.org/ccf/ASCTB-TEMP_medial-superior-antimesenteric-ovary|PMID:41886635|PMID:41430284	UBERON:0000064	UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovary
http://purl.obolibrary.org/obo/UBERON_9900032	medial superior mesenteric ovary	An organ part of the ovary that is located in the medial and superior region on the mesenteric side, which is the side adjacent to the hilum where the ovarian ligament and mesovarium attach and through which blood vessels and nerves enter the ovary.	https://purl.org/ccf/ASCTB-TEMP_medial-superior-mesenteric-ovary|PMID:41886635|PMID:41430284	UBERON:0000064	UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovary
http://purl.obolibrary.org/obo/UBERON_9900033	medial superior ovary	A spatial subdivision of the ovary representing the superior (cranial) region of its medial (midline-facing) surface, defined by coordinate-based anatomical mapping rather than distinct histological or functional boundaries.	https://purl.org/ccf/ASCTB-TEMP_medial-superior-ovary|PMID:42479259	UBERON:0000064	UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovary
http://purl.obolibrary.org/obo/UBERON_9900034	multilayer ovarian follicle	An ovarian follicle characterized by the presence of two or more layers of granulosa cells surrounding the oocyte, representing a stage of folliculogenesis between primary and antral follicle development.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://doi.org/10.1210/er.2018-00085|https://purl.org/ccf/ASCTB-TEMP_multilayer-ovarian-follicle|PMID:39549739|PMID:19786400	UBERON:0000036		UBERON:0000035	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900035	ovarian corticomedullary junction	An anatomical junction that is the boundary between the ovarian cortex and the ovarian medulla, located in the ovary.	https://purl.org/ccf/ASCTB-TEMP_ovarian-corticomedullary-junction|PMID:42376416|PMID:42041081	UBERON:0007651	UBERON:0000992		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900036	ovarian medullary vasculature	A vasculature that is part of the ovarian medulla. This network of blood vessels provides vascular supply to the highly vascularized stroma of the ovarian medulla and forms the tissue of the hilum through which blood vessels enter the ovary.	https://purl.org/ccf/ASCTB-TEMP_ovarian-medullary-vasculature|PMID:23204433|PMID:22479331	UBERON:0002049	UBERON:0013192		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900037	pre-selection antral follicle	A tertiary ovarian follicle in the stage prior to follicle selection, characterized by continued growth but not yet exhibiting the preferential responsiveness to gonadotropins that distinguishes the dominant follicle.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://purl.org/ccf/ASCTB-TEMP_pre-selection-antral-follicle|PMID:16928805|PMID:11157797	UBERON:0000037			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovarian_follicle
http://purl.obolibrary.org/obo/UBERON_9900038	pre-selection antral follicle	A tertiary ovarian follicle in the stage prior to follicle selection, characterized by continued growth but not yet exhibiting the preferential responsiveness to gonadotropins that distinguishes the dominant follicle.	https://purl.org/ccf/ASCTB-TEMP_pre-selection-antral-follicle|PMID:16928805|PMID:11157797	UBERON:0000037			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovarian_follicle
http://purl.obolibrary.org/obo/UBERON_9900039	preantral follicle	A maturing ovarian follicle with multiple layers of granulosa cells that has not yet developed an antral cavity.	https://purl.org/ccf/ASCTB-TEMP_preantral-follicle|PMID:42460665|PMID:42447034				http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		FMA:18637
http://purl.obolibrary.org/obo/UBERON_9900040	selection antral follicle	A tertiary ovarian follicle undergoing the selection process during which one follicle becomes dominant through differential expression of gonadotropin receptors and enhanced responsiveness to follicle-stimulating hormone.	https://doi.org/10.1093/oxfordjournals.humrep.a136365|https://purl.org/ccf/ASCTB-TEMP_selection-antral-follicle|PMID:16928805|PMID:11157797	UBERON:0000037			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-07-23T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Ovarian_follicle
