defined_class	defined_class_label	structure	structure_label
http://purl.obolibrary.org/obo/UBERON_0003437	eyelid nerve	http://purl.obolibrary.org/obo/UBERON_0001711	eyelid
http://purl.obolibrary.org/obo/UBERON_0003438	iris nerve	http://purl.obolibrary.org/obo/UBERON_0001769	iris
http://purl.obolibrary.org/obo/UBERON_0011096	lacrimal nerve	http://purl.obolibrary.org/obo/UBERON_0001817	lacrimal gland
http://purl.obolibrary.org/obo/UBERON_0035642	laryngeal nerve	http://purl.obolibrary.org/obo/UBERON_0001737	larynx
http://purl.obolibrary.org/obo/UBERON_0003721	lingual nerve	http://purl.obolibrary.org/obo/UBERON_0001723	tongue
http://purl.obolibrary.org/obo/UBERON_0022298	lower eyelid nerve	http://purl.obolibrary.org/obo/UBERON_0001713	lower eyelid
http://purl.obolibrary.org/obo/UBERON_0018406	mental nerve	http://purl.obolibrary.org/obo/UBERON_0008199	chin
http://purl.obolibrary.org/obo/UBERON_0035648	nerve innervating pinna	http://purl.obolibrary.org/obo/UBERON_0001757	pinna
http://purl.obolibrary.org/obo/UBERON_0035650	nerve of clitoris	http://purl.obolibrary.org/obo/UBERON_0002411	clitoris
http://purl.obolibrary.org/obo/UBERON_0035649	nerve of penis	http://purl.obolibrary.org/obo/UBERON_0000989	penis
http://purl.obolibrary.org/obo/UBERON_0011391	perineal nerve	http://purl.obolibrary.org/obo/UBERON_0002356	perineum
http://purl.obolibrary.org/obo/UBERON_0003715	splanchnic nerve	http://purl.obolibrary.org/obo/UBERON_0000916	abdomen
http://purl.obolibrary.org/obo/UBERON_0022299	upper eyelid nerve	http://purl.obolibrary.org/obo/UBERON_0001712	upper eyelid
