#curie_map:
#  CARO: "http://purl.obolibrary.org/obo/CARO_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  TAO: "http://purl.obolibrary.org/obo/TAO_"
#  VSAO: "http://purl.obolibrary.org/obo/VSAO_"
#  ZFA: "http://purl.obolibrary.org/obo/ZFA_"
#mapping_set_id: "http://purl.obolibrary.org/obo/uberon/mappings/zfa-mappings.sssom.tsv"
#license: "https://creativecommons.org/licenses/by/3.0/"
subject_id	subject_label	predicate_id	object_id	mapping_justification	mapping_cardinality
ZFA:0000000	Brachet's cleft	semapv:crossSpeciesExactMatch	TAO:0000000	semapv:UnspecifiedMatching	1:1
ZFA:0000001	Kupffer's vesicle	semapv:crossSpeciesExactMatch	TAO:0000001	semapv:UnspecifiedMatching	1:1
ZFA:0000003	adaxial cell	semapv:crossSpeciesExactMatch	CL:0007016	semapv:UnspecifiedMatching	1:n
ZFA:0000003	adaxial cell	semapv:crossSpeciesExactMatch	TAO:0000003	semapv:UnspecifiedMatching	1:n
ZFA:0000004	anterior axial hypoblast	semapv:crossSpeciesExactMatch	TAO:0000004	semapv:UnspecifiedMatching	1:1
ZFA:0000005	artery	semapv:crossSpeciesExactMatch	TAO:0000005	semapv:UnspecifiedMatching	1:1
ZFA:0000006	ball	semapv:crossSpeciesExactMatch	TAO:0000006	semapv:UnspecifiedMatching	1:1
ZFA:0000007	blood	semapv:crossSpeciesExactMatch	TAO:0000007	semapv:UnspecifiedMatching	1:1
ZFA:0000008	brain	semapv:crossSpeciesExactMatch	TAO:0000008	semapv:UnspecifiedMatching	1:1
ZFA:0000009	cardiac ventricle	semapv:crossSpeciesExactMatch	TAO:0000009	semapv:UnspecifiedMatching	1:1
ZFA:0000010	cardiovascular system	semapv:crossSpeciesExactMatch	TAO:0000010	semapv:UnspecifiedMatching	1:1
ZFA:0000011	caudal artery	semapv:crossSpeciesExactMatch	TAO:0000011	semapv:UnspecifiedMatching	1:1
ZFA:0000012	central nervous system	semapv:crossSpeciesExactMatch	TAO:0000012	semapv:UnspecifiedMatching	1:1
ZFA:0000013	cranial ganglion	semapv:crossSpeciesExactMatch	TAO:0000013	semapv:UnspecifiedMatching	1:1
ZFA:0000014	dorsal aorta	semapv:crossSpeciesExactMatch	TAO:0000014	semapv:UnspecifiedMatching	1:1
ZFA:0000016	ectoderm	semapv:crossSpeciesExactMatch	TAO:0000016	semapv:UnspecifiedMatching	1:1
ZFA:0000017	endoderm	semapv:crossSpeciesExactMatch	TAO:0000017	semapv:UnspecifiedMatching	1:1
ZFA:0000018	epiblast	semapv:crossSpeciesExactMatch	TAO:0000018	semapv:UnspecifiedMatching	1:1
ZFA:0000019	epiphysis	semapv:crossSpeciesExactMatch	TAO:0000019	semapv:UnspecifiedMatching	1:1
ZFA:0000020	extraembryonic structure	semapv:crossSpeciesExactMatch	CARO:0000042	semapv:UnspecifiedMatching	1:n
ZFA:0000020	extraembryonic structure	semapv:crossSpeciesExactMatch	TAO:0000020	semapv:UnspecifiedMatching	1:n
ZFA:0000022	floor plate	semapv:crossSpeciesExactMatch	TAO:0000022	semapv:UnspecifiedMatching	1:1
ZFA:0000023	forerunner cell group	semapv:crossSpeciesExactMatch	TAO:0000023	semapv:UnspecifiedMatching	1:1
ZFA:0000024	retinal ganglion cell layer	semapv:crossSpeciesExactMatch	TAO:0000024	semapv:UnspecifiedMatching	1:1
ZFA:0000026	hatching gland	semapv:crossSpeciesExactMatch	TAO:0000026	semapv:UnspecifiedMatching	1:1
ZFA:0000027	paired fin skeleton	semapv:crossSpeciesExactMatch	TAO:0000027	semapv:UnspecifiedMatching	1:1
ZFA:0000028	heart primordium	semapv:crossSpeciesExactMatch	TAO:0000028	semapv:UnspecifiedMatching	1:1
ZFA:0000029	hindbrain	semapv:crossSpeciesExactMatch	TAO:0000029	semapv:UnspecifiedMatching	1:1
ZFA:0000030	macula utricle	semapv:crossSpeciesExactMatch	TAO:0000030	semapv:UnspecifiedMatching	1:1
ZFA:0000031	hypochord	semapv:crossSpeciesExactMatch	TAO:0000031	semapv:UnspecifiedMatching	1:1
ZFA:0000032	hypothalamus	semapv:crossSpeciesExactMatch	TAO:0000032	semapv:UnspecifiedMatching	1:1
ZFA:0000033	intermediate cell mass of mesoderm	semapv:crossSpeciesExactMatch	TAO:0000033	semapv:UnspecifiedMatching	1:1
ZFA:0000034	lateral line system	semapv:crossSpeciesExactMatch	TAO:0000034	semapv:UnspecifiedMatching	1:1
ZFA:0000035	lens	semapv:crossSpeciesExactMatch	TAO:0000035	semapv:UnspecifiedMatching	1:1
ZFA:0000036	liver and biliary system	semapv:crossSpeciesExactMatch	TAO:0000036	semapv:UnspecifiedMatching	1:1
ZFA:0000037	anatomical structure	semapv:crossSpeciesExactMatch	CARO:0000003	semapv:UnspecifiedMatching	1:n
ZFA:0000037	anatomical structure	semapv:crossSpeciesExactMatch	TAO:0000037	semapv:UnspecifiedMatching	1:n
ZFA:0000038	margin	semapv:crossSpeciesExactMatch	TAO:0000038	semapv:UnspecifiedMatching	1:1
ZFA:0000039	median axial vein	semapv:crossSpeciesExactMatch	TAO:0000039	semapv:UnspecifiedMatching	1:1
ZFA:0000040	median fin fold	semapv:crossSpeciesExactMatch	TAO:0000040	semapv:UnspecifiedMatching	1:1
ZFA:0000041	mesoderm	semapv:crossSpeciesExactMatch	TAO:0000041	semapv:UnspecifiedMatching	1:1
ZFA:0000042	midbrain hindbrain boundary	semapv:crossSpeciesExactMatch	TAO:0000042	semapv:UnspecifiedMatching	1:1
ZFA:0000043	muscle pioneer somite 1	semapv:crossSpeciesExactMatch	TAO:0000043	semapv:UnspecifiedMatching	1:1
ZFA:0000044	myotome somite 14	semapv:crossSpeciesExactMatch	TAO:0000044	semapv:UnspecifiedMatching	1:1
ZFA:0000045	neural crest	semapv:crossSpeciesExactMatch	TAO:0000045	semapv:UnspecifiedMatching	1:1
ZFA:0000046	retinal neural layer	semapv:crossSpeciesExactMatch	TAO:0000046	semapv:UnspecifiedMatching	1:1
ZFA:0000047	peripheral olfactory organ	semapv:crossSpeciesExactMatch	TAO:0000047	semapv:UnspecifiedMatching	1:1
ZFA:0000048	olfactory placode	semapv:crossSpeciesExactMatch	TAO:0000048	semapv:UnspecifiedMatching	1:1
ZFA:0000049	optic recess	semapv:crossSpeciesExactMatch	TAO:0000049	semapv:UnspecifiedMatching	1:1
ZFA:0000050	optic vesicle	semapv:crossSpeciesExactMatch	TAO:0000050	semapv:UnspecifiedMatching	1:1
ZFA:0000051	otic vesicle	semapv:crossSpeciesExactMatch	TAO:0000051	semapv:UnspecifiedMatching	1:1
ZFA:0000052	dorsal actinotrichium	semapv:crossSpeciesExactMatch	TAO:0000052	semapv:UnspecifiedMatching	1:1
ZFA:0000053	presumptive segmental plate	semapv:crossSpeciesExactMatch	TAO:0000053	semapv:UnspecifiedMatching	1:1
ZFA:0000054	pericardium	semapv:crossSpeciesExactMatch	TAO:0000054	semapv:UnspecifiedMatching	1:1
ZFA:0000056	pharynx	semapv:crossSpeciesExactMatch	TAO:0000056	semapv:UnspecifiedMatching	1:1
ZFA:0000058	polster	semapv:crossSpeciesExactMatch	TAO:0000058	semapv:UnspecifiedMatching	1:1
ZFA:0000059	postoptic commissure	semapv:crossSpeciesExactMatch	TAO:0000059	semapv:UnspecifiedMatching	1:1
ZFA:0000060	prechordal plate	semapv:crossSpeciesExactMatch	TAO:0000060	semapv:UnspecifiedMatching	1:1
ZFA:0000062	presumptive forebrain	semapv:crossSpeciesExactMatch	TAO:0000062	semapv:UnspecifiedMatching	1:1
ZFA:0000063	presumptive neural plate	semapv:crossSpeciesExactMatch	TAO:0000063	semapv:UnspecifiedMatching	1:1
ZFA:0000064	presumptive retinal pigmented epithelium	semapv:crossSpeciesExactMatch	TAO:0000064	semapv:UnspecifiedMatching	1:1
ZFA:0000066	proctodeum	semapv:crossSpeciesExactMatch	TAO:0000066	semapv:UnspecifiedMatching	1:1
ZFA:0000067	pronephric mesoderm	semapv:crossSpeciesExactMatch	TAO:0000067	semapv:UnspecifiedMatching	1:1
ZFA:0000068	proneural cluster	semapv:crossSpeciesExactMatch	TAO:0000068	semapv:UnspecifiedMatching	1:1
ZFA:0000069	rhombomere 6	semapv:crossSpeciesExactMatch	TAO:0000069	semapv:UnspecifiedMatching	1:1
ZFA:0000071	shield	semapv:crossSpeciesExactMatch	TAO:0000071	semapv:UnspecifiedMatching	1:1
ZFA:0000072	somite 1	semapv:crossSpeciesExactMatch	TAO:0000072	semapv:UnspecifiedMatching	1:1
ZFA:0000073	somite 5	semapv:crossSpeciesExactMatch	TAO:0000073	semapv:UnspecifiedMatching	1:1
ZFA:0000074	somite 26	semapv:crossSpeciesExactMatch	TAO:0000074	semapv:UnspecifiedMatching	1:1
ZFA:0000075	spinal cord	semapv:crossSpeciesExactMatch	TAO:0000075	semapv:UnspecifiedMatching	1:1
ZFA:0000076	swim bladder	semapv:crossSpeciesExactMatch	TAO:0000076	semapv:UnspecifiedMatching	1:1
ZFA:0000077	tail bud	semapv:crossSpeciesExactMatch	TAO:0000077	semapv:UnspecifiedMatching	1:1
ZFA:0000078	ventral actinotrichium	semapv:crossSpeciesExactMatch	TAO:0000078	semapv:UnspecifiedMatching	1:1
ZFA:0000079	telencephalon	semapv:crossSpeciesExactMatch	TAO:0000079	semapv:UnspecifiedMatching	1:1
ZFA:0000080	trigeminal neural crest	semapv:crossSpeciesExactMatch	TAO:0000080	semapv:UnspecifiedMatching	1:1
ZFA:0000081	trunk mesenchyme	semapv:crossSpeciesExactMatch	TAO:0000081	semapv:UnspecifiedMatching	1:1
ZFA:0000082	vein	semapv:crossSpeciesExactMatch	TAO:0000082	semapv:UnspecifiedMatching	1:1
ZFA:0000083	ventral mesoderm	semapv:crossSpeciesExactMatch	TAO:0000083	semapv:UnspecifiedMatching	1:1
ZFA:0000084	yolk	semapv:crossSpeciesExactMatch	CL:0000428	semapv:UnspecifiedMatching	1:n
ZFA:0000084	yolk	semapv:crossSpeciesExactMatch	TAO:0000084	semapv:UnspecifiedMatching	1:n
ZFA:0000085	apical ectodermal ridge pectoral fin bud	semapv:crossSpeciesExactMatch	TAO:0000085	semapv:UnspecifiedMatching	1:n
ZFA:0000085	apical ectodermal ridge pectoral fin bud	semapv:crossSpeciesExactMatch	TAO:0000736	semapv:UnspecifiedMatching	1:n
ZFA:0000086	EVL	semapv:crossSpeciesExactMatch	TAO:0000086	semapv:UnspecifiedMatching	1:1
ZFA:0000088	yolk syncytial layer	semapv:crossSpeciesExactMatch	TAO:0000088	semapv:UnspecifiedMatching	1:1
ZFA:0000090	apical ectodermal ridge dorsal fin	semapv:crossSpeciesExactMatch	TAO:0000090	semapv:UnspecifiedMatching	1:1
ZFA:0000091	axial chorda mesoderm	semapv:crossSpeciesExactMatch	TAO:0000091	semapv:UnspecifiedMatching	1:n
ZFA:0000091	axial chorda mesoderm	semapv:crossSpeciesExactMatch	TAO:0001219	semapv:UnspecifiedMatching	1:n
ZFA:0000092	axis	semapv:crossSpeciesExactMatch	TAO:0000092	semapv:UnspecifiedMatching	1:1
ZFA:0000093	blastomere	semapv:crossSpeciesExactMatch	TAO:0000093	semapv:UnspecifiedMatching	1:1
ZFA:0000094	blood island	semapv:crossSpeciesExactMatch	TAO:0000094	semapv:UnspecifiedMatching	1:1
ZFA:0000095	pharyngeal arch 3-7 skeleton	semapv:crossSpeciesExactMatch	TAO:0000095	semapv:UnspecifiedMatching	1:1
ZFA:0000096	cardinal system	semapv:crossSpeciesExactMatch	TAO:0000096	semapv:UnspecifiedMatching	1:1
ZFA:0000097	carotid artery	semapv:crossSpeciesExactMatch	TAO:0000097	semapv:UnspecifiedMatching	1:1
ZFA:0000098	proliferative region	semapv:crossSpeciesExactMatch	TAO:0000098	semapv:UnspecifiedMatching	1:1
ZFA:0000099	brain vasculature	semapv:crossSpeciesExactMatch	TAO:0000099	semapv:UnspecifiedMatching	1:1
ZFA:0000100	cerebellum	semapv:crossSpeciesExactMatch	TAO:0000100	semapv:UnspecifiedMatching	1:1
ZFA:0000101	diencephalon	semapv:crossSpeciesExactMatch	TAO:0000101	semapv:UnspecifiedMatching	1:1
