?x	?label
<http://owltools.org/Q>	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/CARO_0000000>	"anatomical entity"
<http://purl.obolibrary.org/obo/CARO_0030000>	"biological entity"
<http://purl.obolibrary.org/obo/UBERON_0000005>	"chemosensory organ"
<http://purl.obolibrary.org/obo/UBERON_0000007>	"pituitary gland"
<http://purl.obolibrary.org/obo/UBERON_0000010>	"peripheral nervous system"
<http://purl.obolibrary.org/obo/UBERON_0000011>	"parasympathetic nervous system"
<http://purl.obolibrary.org/obo/UBERON_0000012>	"somatic nervous system"
<http://purl.obolibrary.org/obo/UBERON_0000013>	"sympathetic nervous system"
<http://purl.obolibrary.org/obo/UBERON_0000044>	"dorsal root ganglion"
<http://purl.obolibrary.org/obo/UBERON_0000045>	"ganglion"
<http://purl.obolibrary.org/obo/UBERON_0000052>	"fornix of brain"
<http://purl.obolibrary.org/obo/UBERON_0000053>	"macula lutea"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"anatomical structure"
<http://purl.obolibrary.org/obo/UBERON_0000073>	"regional part of nervous system"
<http://purl.obolibrary.org/obo/UBERON_0000120>	"blood brain barrier"
<http://purl.obolibrary.org/obo/UBERON_0000121>	"perineurium"
<http://purl.obolibrary.org/obo/UBERON_0000122>	"neuron projection bundle"
<http://purl.obolibrary.org/obo/UBERON_0000123>	"endoneurium"
<http://purl.obolibrary.org/obo/UBERON_0000124>	"epineurium"
<http://purl.obolibrary.org/obo/UBERON_0000125>	"neural nucleus"
<http://purl.obolibrary.org/obo/UBERON_0000126>	"cranial nerve nucleus"
<http://purl.obolibrary.org/obo/UBERON_0000127>	"facial nucleus"
<http://purl.obolibrary.org/obo/UBERON_0000128>	"olivary body"
<http://purl.obolibrary.org/obo/UBERON_0000200>	"gyrus"
<http://purl.obolibrary.org/obo/UBERON_0000201>	"endothelial blood brain barrier"
<http://purl.obolibrary.org/obo/UBERON_0000202>	"glial blood brain barrier"
<http://purl.obolibrary.org/obo/UBERON_0000203>	"pallium"
<http://purl.obolibrary.org/obo/UBERON_0000204>	"ventral part of telencephalon"
<http://purl.obolibrary.org/obo/UBERON_0000315>	"subarachnoid space"
<http://purl.obolibrary.org/obo/UBERON_0000345>	"myelin"
<http://purl.obolibrary.org/obo/UBERON_0000348>	"ophthalmic nerve"
<http://purl.obolibrary.org/obo/UBERON_0000349>	"limbic system"
<http://purl.obolibrary.org/obo/UBERON_0000369>	"corpus striatum"
<http://purl.obolibrary.org/obo/UBERON_0000373>	"tapetum of corpus callosum"
<http://purl.obolibrary.org/obo/UBERON_0000375>	"mandibular nerve"
<http://purl.obolibrary.org/obo/UBERON_0000377>	"maxillary nerve"
<http://purl.obolibrary.org/obo/UBERON_0000391>	"leptomeninx"
<http://purl.obolibrary.org/obo/UBERON_0000395>	"cochlear ganglion"
<http://purl.obolibrary.org/obo/UBERON_0000407>	"sympathetic trunk"
<http://purl.obolibrary.org/obo/UBERON_0000408>	"vertebral ganglion"
<http://purl.obolibrary.org/obo/UBERON_0000411>	"visual cortex"
<http://purl.obolibrary.org/obo/UBERON_0000416>	"subdural space"
<http://purl.obolibrary.org/obo/UBERON_0000429>	"enteric plexus"
<http://purl.obolibrary.org/obo/UBERON_0000430>	"ventral intermediate nucleus of thalamus"
<http://purl.obolibrary.org/obo/UBERON_0000431>	"ventral medial complex of thalamus"
<http://purl.obolibrary.org/obo/UBERON_0000432>	"endopeduncular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0000433>	"posterior paraventricular nucleus of thalamus"
<http://purl.obolibrary.org/obo/UBERON_0000434>	"anterior paraventricular nucleus of thalamus"
<http://purl.obolibrary.org/obo/UBERON_0000435>	"lateral tuberal nucleus"
<http://purl.obolibrary.org/obo/UBERON_0000437>	"arachnoid barrier layer"
<http://purl.obolibrary.org/obo/UBERON_0000439>	"arachnoid trabecula"
<http://purl.obolibrary.org/obo/UBERON_0000445>	"habenular trigone"
<http://purl.obolibrary.org/obo/UBERON_0000446>	"septum of telencephalon"
<http://purl.obolibrary.org/obo/UBERON_0000451>	"prefrontal cortex"
<http://purl.obolibrary.org/obo/UBERON_0000454>	"cerebral subcortex"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"material anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0000467>	"anatomical system"
<http://purl.obolibrary.org/obo/UBERON_0000908>	"hippocampal commissure"
<http://purl.obolibrary.org/obo/UBERON_0000929>	"pharyngeal branch of vagus nerve"
<http://purl.obolibrary.org/obo/UBERON_0000934>	"ventral nerve cord"
<http://purl.obolibrary.org/obo/UBERON_0000935>	"anterior commissure"
<http://purl.obolibrary.org/obo/UBERON_0000936>	"posterior commissure"
<http://purl.obolibrary.org/obo/UBERON_0000941>	"cranial nerve II"
<http://purl.obolibrary.org/obo/UBERON_0000942>	"frontal nerve (branch of ophthalmic)"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"brain"
<http://purl.obolibrary.org/obo/UBERON_0000956>	"cerebral cortex"
<http://purl.obolibrary.org/obo/UBERON_0000959>	"optic chiasma"
<http://purl.obolibrary.org/obo/UBERON_0000961>	"thoracic ganglion"
<http://purl.obolibrary.org/obo/UBERON_0000962>	"nerve of cervical vertebra"
<http://purl.obolibrary.org/obo/UBERON_0000963>	"head sensillum"
<http://purl.obolibrary.org/obo/UBERON_0000966>	"retina"
<http://purl.obolibrary.org/obo/UBERON_0000971>	"ommatidium"
<http://purl.obolibrary.org/obo/UBERON_0000988>	"pons"
<http://purl.obolibrary.org/obo/UBERON_0001016>	"nervous system"
<http://purl.obolibrary.org/obo/UBERON_0001017>	"central nervous system"
<http://purl.obolibrary.org/obo/UBERON_0001018>	"axon tract"
<http://purl.obolibrary.org/obo/UBERON_0001019>	"nerve fasciculus"
<http://purl.obolibrary.org/obo/UBERON_0001020>	"nervous system commissure"
<http://purl.obolibrary.org/obo/UBERON_0001021>	"nerve"
<http://purl.obolibrary.org/obo/UBERON_0001027>	"sensory nerve"
<http://purl.obolibrary.org/obo/UBERON_0001031>	"sheath of Schwann"
<http://purl.obolibrary.org/obo/UBERON_0001047>	"neural glomerulus"
<http://purl.obolibrary.org/obo/UBERON_0001053>	"arthropod neurohemal organ"
<http://purl.obolibrary.org/obo/UBERON_0001056>	"corpus cardiacum"
<http://purl.obolibrary.org/obo/UBERON_0001058>	"mushroom body"
<http://purl.obolibrary.org/obo/UBERON_0001059>	"pars intercerebralis"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0001063>	"flocculus"
<http://purl.obolibrary.org/obo/UBERON_0001148>	"median nerve"
<http://purl.obolibrary.org/obo/UBERON_0001267>	"femoral nerve"
<http://purl.obolibrary.org/obo/UBERON_0001322>	"sciatic nerve"
<http://purl.obolibrary.org/obo/UBERON_0001323>	"tibial nerve"
<http://purl.obolibrary.org/obo/UBERON_0001324>	"common fibular nerve"
<http://purl.obolibrary.org/obo/UBERON_0001384>	"primary motor cortex"
<http://purl.obolibrary.org/obo/UBERON_0001393>	"auditory cortex"
<http://purl.obolibrary.org/obo/UBERON_0001492>	"radial nerve"
<http://purl.obolibrary.org/obo/UBERON_0001493>	"axillary nerve"
<http://purl.obolibrary.org/obo/UBERON_0001494>	"ulnar nerve"
<http://purl.obolibrary.org/obo/UBERON_0001579>	"olfactory nerve"
<http://purl.obolibrary.org/obo/UBERON_0001620>	"central retinal artery"
<http://purl.obolibrary.org/obo/UBERON_0001641>	"transverse sinus"
<http://purl.obolibrary.org/obo/UBERON_0001642>	"superior sagittal sinus"
<http://purl.obolibrary.org/obo/UBERON_0001643>	"oculomotor nerve"
<http://purl.obolibrary.org/obo/UBERON_0001644>	"trochlear nerve"
<http://purl.obolibrary.org/obo/UBERON_0001645>	"trigeminal nerve"
<http://purl.obolibrary.org/obo/UBERON_0001646>	"abducens nerve"
<http://purl.obolibrary.org/obo/UBERON_0001647>	"facial nerve"
<http://purl.obolibrary.org/obo/UBERON_0001648>	"vestibulocochlear nerve"
<http://purl.obolibrary.org/obo/UBERON_0001649>	"glossopharyngeal nerve"
<http://purl.obolibrary.org/obo/UBERON_0001650>	"hypoglossal nerve"
<http://purl.obolibrary.org/obo/UBERON_0001663>	"cerebral vein"
<http://purl.obolibrary.org/obo/UBERON_0001664>	"inferior cerebral vein"
<http://purl.obolibrary.org/obo/UBERON_0001672>	"anterior cerebral vein"
<http://purl.obolibrary.org/obo/UBERON_0001673>	"central retinal vein"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"trigeminal ganglion"
<http://purl.obolibrary.org/obo/UBERON_0001699>	"sensory root of facial nerve"
<http://purl.obolibrary.org/obo/UBERON_0001700>	"geniculate ganglion"
<http://purl.obolibrary.org/obo/UBERON_0001701>	"glossopharyngeal ganglion"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"cranial ganglion"
<http://purl.obolibrary.org/obo/UBERON_0001715>	"oculomotor nuclear complex"
<http://purl.obolibrary.org/obo/UBERON_0001717>	"spinal nucleus of trigeminal nerve"
<http://purl.obolibrary.org/obo/UBERON_0001718>	"mesencephalic nucleus of trigeminal nerve"
<http://purl.obolibrary.org/obo/UBERON_0001719>	"nucleus ambiguus"
<http://purl.obolibrary.org/obo/UBERON_0001720>	"cochlear nucleus"
<http://purl.obolibrary.org/obo/UBERON_0001721>	"inferior vestibular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0001722>	"medial vestibular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0001727>	"taste bud"
