?x	?label
<http://owltools.org/Q>	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/UBERON_0000059>	"large intestine"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"anatomical structure"
<http://purl.obolibrary.org/obo/UBERON_0000159>	"anal canal"
<http://purl.obolibrary.org/obo/UBERON_0000160>	"intestine"
<http://purl.obolibrary.org/obo/UBERON_0000162>	"cloaca"
<http://purl.obolibrary.org/obo/UBERON_0000163>	"embryonic cloaca"
<http://purl.obolibrary.org/obo/UBERON_0000164>	"primitive urogenital sinus"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"mouth"
<http://purl.obolibrary.org/obo/UBERON_0000166>	"oral opening"
<http://purl.obolibrary.org/obo/UBERON_0000167>	"oral cavity"
<http://purl.obolibrary.org/obo/UBERON_0000168>	"proximal-distal subdivision of colon"
<http://purl.obolibrary.org/obo/UBERON_0000314>	"cecum mucosa"
<http://purl.obolibrary.org/obo/UBERON_0000317>	"colonic mucosa"
<http://purl.obolibrary.org/obo/UBERON_0000320>	"duodenal mucosa"
<http://purl.obolibrary.org/obo/UBERON_0000325>	"gastric gland"
<http://purl.obolibrary.org/obo/UBERON_0000328>	"gut wall"
<http://purl.obolibrary.org/obo/UBERON_0000331>	"ileal mucosa"
<http://purl.obolibrary.org/obo/UBERON_0000333>	"intestinal gland"
<http://purl.obolibrary.org/obo/UBERON_0000355>	"pharyngeal mucosa"
<http://purl.obolibrary.org/obo/UBERON_0000378>	"tongue muscle"
<http://purl.obolibrary.org/obo/UBERON_0000388>	"epiglottis"
<http://purl.obolibrary.org/obo/UBERON_0000396>	"vallate papilla"
<http://purl.obolibrary.org/obo/UBERON_0000397>	"colonic epithelium"
<http://purl.obolibrary.org/obo/UBERON_0000399>	"jejunal mucosa"
<http://purl.obolibrary.org/obo/UBERON_0000400>	"jejunal epithelium"
<http://purl.obolibrary.org/obo/UBERON_0000401>	"mandibular ramus"
<http://purl.obolibrary.org/obo/UBERON_0000424>	"gastric pit"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"material anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0000467>	"anatomical system"
<http://purl.obolibrary.org/obo/UBERON_0000569>	"ileocecal valve"
<http://purl.obolibrary.org/obo/UBERON_0000945>	"stomach"
<http://purl.obolibrary.org/obo/UBERON_0001007>	"digestive system"
<http://purl.obolibrary.org/obo/UBERON_0001035>	"dento-alveolar joint"
<http://purl.obolibrary.org/obo/UBERON_0001041>	"foregut"
<http://purl.obolibrary.org/obo/UBERON_0001042>	"chordate pharynx"
<http://purl.obolibrary.org/obo/UBERON_0001043>	"esophagus"
<http://purl.obolibrary.org/obo/UBERON_0001044>	"saliva-secreting gland"
<http://purl.obolibrary.org/obo/UBERON_0001045>	"midgut"
<http://purl.obolibrary.org/obo/UBERON_0001046>	"hindgut"
<http://purl.obolibrary.org/obo/UBERON_0001051>	"hypopharynx"
<http://purl.obolibrary.org/obo/UBERON_0001052>	"rectum"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0001064>	"ventral pancreatic duct"
<http://purl.obolibrary.org/obo/UBERON_0001065>	"parotid main excretory duct"
<http://purl.obolibrary.org/obo/UBERON_0001073>	"ileocecal junction"
<http://purl.obolibrary.org/obo/UBERON_0001096>	"wall of esophagus"
<http://purl.obolibrary.org/obo/UBERON_0001113>	"lobe of liver"
<http://purl.obolibrary.org/obo/UBERON_0001114>	"right lobe of liver"
<http://purl.obolibrary.org/obo/UBERON_0001115>	"left lobe of liver"
<http://purl.obolibrary.org/obo/UBERON_0001116>	"quadrate lobe of liver"
<http://purl.obolibrary.org/obo/UBERON_0001117>	"caudate lobe of liver"
<http://purl.obolibrary.org/obo/UBERON_0001143>	"hepatic vein"
<http://purl.obolibrary.org/obo/UBERON_0001149>	"bare area of liver"
<http://purl.obolibrary.org/obo/UBERON_0001152>	"cystic duct"
<http://purl.obolibrary.org/obo/UBERON_0001153>	"caecum"
<http://purl.obolibrary.org/obo/UBERON_0001154>	"vermiform appendix"
<http://purl.obolibrary.org/obo/UBERON_0001155>	"colon"
<http://purl.obolibrary.org/obo/UBERON_0001156>	"ascending colon"
<http://purl.obolibrary.org/obo/UBERON_0001157>	"transverse colon"
<http://purl.obolibrary.org/obo/UBERON_0001158>	"descending colon"
<http://purl.obolibrary.org/obo/UBERON_0001159>	"sigmoid colon"
<http://purl.obolibrary.org/obo/UBERON_0001160>	"fundus of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001161>	"body of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001162>	"cardia of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001163>	"lesser curvature of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001164>	"greater curvature of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001165>	"pyloric antrum"
<http://purl.obolibrary.org/obo/UBERON_0001166>	"pylorus"
<http://purl.obolibrary.org/obo/UBERON_0001167>	"wall of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001168>	"wall of small intestine"
<http://purl.obolibrary.org/obo/UBERON_0001169>	"wall of large intestine"
<http://purl.obolibrary.org/obo/UBERON_0001170>	"mesentery of small intestine"
<http://purl.obolibrary.org/obo/UBERON_0001171>	"portal lobule"
<http://purl.obolibrary.org/obo/UBERON_0001172>	"hepatic acinus"
<http://purl.obolibrary.org/obo/UBERON_0001173>	"biliary tree"
<http://purl.obolibrary.org/obo/UBERON_0001174>	"common bile duct"
<http://purl.obolibrary.org/obo/UBERON_0001175>	"common hepatic duct"
<http://purl.obolibrary.org/obo/UBERON_0001176>	"right hepatic duct"
<http://purl.obolibrary.org/obo/UBERON_0001177>	"left hepatic duct"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"mucosa of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001200>	"submucosa of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001201>	"serosa of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001202>	"pyloric sphincter"
<http://purl.obolibrary.org/obo/UBERON_0001203>	"muscularis mucosae of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001204>	"mucosa of small intestine"
<http://purl.obolibrary.org/obo/UBERON_0001205>	"submucosa of small intestine"
<http://purl.obolibrary.org/obo/UBERON_0001206>	"serosa of small intestine"
<http://purl.obolibrary.org/obo/UBERON_0001207>	"mucosa of large intestine"
<http://purl.obolibrary.org/obo/UBERON_0001208>	"submucosa of large intestine"
<http://purl.obolibrary.org/obo/UBERON_0001209>	"serosa of large intestine"
<http://purl.obolibrary.org/obo/UBERON_0001210>	"muscularis mucosae of small intestine"
<http://purl.obolibrary.org/obo/UBERON_0001211>	"Peyer's patch"
<http://purl.obolibrary.org/obo/UBERON_0001212>	"duodenal gland"
<http://purl.obolibrary.org/obo/UBERON_0001213>	"intestinal villus"
<http://purl.obolibrary.org/obo/UBERON_0001238>	"lamina propria of small intestine"
<http://purl.obolibrary.org/obo/UBERON_0001239>	"muscularis mucosae of large intestine"
<http://purl.obolibrary.org/obo/UBERON_0001240>	"muscularis mucosae of intestine"
<http://purl.obolibrary.org/obo/UBERON_0001241>	"crypt of Lieberkuhn of small intestine"
<http://purl.obolibrary.org/obo/UBERON_0001242>	"intestinal mucosa"
<http://purl.obolibrary.org/obo/UBERON_0001243>	"serosa of intestine"
<http://purl.obolibrary.org/obo/UBERON_0001245>	"anus"
<http://purl.obolibrary.org/obo/UBERON_0001246>	"interlobular bile duct"
<http://purl.obolibrary.org/obo/UBERON_0001247>	"falciform ligament"
<http://purl.obolibrary.org/obo/UBERON_0001248>	"hilum of spleen"
<http://purl.obolibrary.org/obo/UBERON_0001249>	"spleen lymphoid follicle"
<http://purl.obolibrary.org/obo/UBERON_0001250>	"red pulp of spleen"
<http://purl.obolibrary.org/obo/UBERON_0001251>	"marginal zone of spleen"
<http://purl.obolibrary.org/obo/UBERON_0001262>	"wall of intestine"
<http://purl.obolibrary.org/obo/UBERON_0001265>	"trabecula of spleen"
<http://purl.obolibrary.org/obo/UBERON_0001266>	"splenic cord"
<http://purl.obolibrary.org/obo/UBERON_0001276>	"epithelium of stomach"
<http://purl.obolibrary.org/obo/UBERON_0001277>	"intestinal epithelium"
<http://purl.obolibrary.org/obo/UBERON_0001278>	"epithelium of large intestine"
<http://purl.obolibrary.org/obo/UBERON_0001279>	"portal triad"
<http://purl.obolibrary.org/obo/UBERON_0001280>	"liver parenchyma"
<http://purl.obolibrary.org/obo/UBERON_0001281>	"hepatic sinusoid"
<http://purl.obolibrary.org/obo/UBERON_0001282>	"intralobular bile duct"
<http://purl.obolibrary.org/obo/UBERON_0001283>	"bile canaliculus"
<http://purl.obolibrary.org/obo/UBERON_0001357>	"inferior rectal artery"
<http://purl.obolibrary.org/obo/UBERON_0001458>	"skin of lip"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"digestive tract"
<http://purl.obolibrary.org/obo/UBERON_0001571>	"genioglossus muscle"
<http://purl.obolibrary.org/obo/UBERON_0001572>	"hyoglossus muscle"
<http://purl.obolibrary.org/obo/UBERON_0001573>	"styloglossus"
<http://purl.obolibrary.org/obo/UBERON_0001574>	"palatoglossus muscle"
<http://purl.obolibrary.org/obo/UBERON_0001575>	"extrinsic muscle of tongue"
<http://purl.obolibrary.org/obo/UBERON_0001576>	"intrinsic muscle of tongue"
<http://purl.obolibrary.org/obo/UBERON_0001581>	"depressor labii inferioris"
<http://purl.obolibrary.org/obo/UBERON_0001610>	"lingual artery"
