ID	label	SYNONYMS
BFO:0000001	entity	
BFO:0000002	continuant	
BFO:0000004	independent continuant	
BFO:0000040	material entity	
CARO:0000000	anatomical entity	
CARO:0030000	biological entity	
CL:0000175	luteal cell	lutein cell
CL:0000178	Leydig cell	interstitial cell|interstitial cell of Leydig
CL:0000216	Sertoli cell	
CL:0000436	vaginal lubricant secreting cell	
CL:0000477	ovarian follicle cell	follicle cell
CL:0000503	theca cell	
CL:0000525	syncytiotrophoblast cell	plasmidotrophoblast|syncytial trophoblast|syntrophoblast
CL:0000579	border follicle cell	
CL:0000590	small luteal cell	small lutein cell|theca lutein cell
CL:0000592	large luteal cell	granulosa lutein cell|granulosoluteocytus
CL:0000671	centripetally migrating follicle cell	
CL:0002094	interstitial cell of ovary	
CL:0002095	hilus cell of ovary	hilar cell of ovary
CL:0002132	stromal cell of ovary	ovarian stromal cell
CL:0002133	stromal cell of ovarian cortex	
CL:0002134	stromal cell of ovarian medulla	
CL:0002149	epithelial cell of uterus	
CL:0002152	columnar cell of endocervix	
CL:0002231	epithelial cell of prostate	prostate epithelial cell
CL:0002232	epithelial cell of prostatic duct	ductal epithelial cell of prostate
CL:0002233	epithelial cell of prostatic acinus	acinar epithelial cell of prostate
CL:0002234	basal cell of prostatic acinus	basal epithelial cell of prostatic acinus
CL:0002235	luminal cell of prostatic acinus	
CL:0002236	basal epithelial cell of prostatic duct	
CL:0002237	luminal epithelial cell of prostatic duct	
CL:0002238	male gonocyte	male primordial germ cell|testis primordial germ cell
CL:0002239	ooblast	ovary primordial germ cell|ovigerm
CL:0002244	squamous cell of ectocervix	ectocervical squamous cell
CL:0002255	stromal cell of endometrium	endometrial stromal cell
CL:0002313	endocrine-paracrine cell of prostate gland	glandular cell of prostate|neuro-epithelial cell of prostate gland
CL:0002339	prostate stem cell	CD133-positive prostate epithelial cell
CL:0002340	luminal cell of prostate epithelium	
CL:0002341	basal cell of prostate epithelium	
CL:0002359	placental hematopoietic stem cell	
CL:0002366	myometrial cell	myometrium smooth muscle cell
CL:0002481	peritubular myoid cell	
CL:0002535	epithelial cell of cervix	cervical canal epithelial cell|cervical canal of uterus epithelial cell|cervix epithelial cell|cervix of uterus epithelial cell|epithelial cell of cervical canal|epithelial cell of cervical canal of uterus|epithelial cell of cervix of uterus|epithelial cell of neck of uterus|epithelial cell of uterine cervix|neck of uterus epithelial cell|uterine cervix epithelial cell
CL:0002558	fibroblast of villous mesenchyme	
CL:0002577	placental epithelial cell	
CL:0002601	uterine smooth muscle cell	
CL:0002622	prostate stromal cell	
CL:0002625	seminiferous tubule epithelial cell	
CL:0002656	glandular cell of endometrium	
CL:0007022	micropylar cell	plug cell
CL:0008033	decidual pericyte	decidual perivascular cell
CL:1000299	fibroblast of connective tissue of prostate	
CL:1000300	fibroblast of outer membrane of prostatic capsule	
CL:1000301	fibroblast of subepithelial connective tissue of prostatic gland	
CL:1000304	fibroblast of connective tissue of nonglandular part of prostate	
CL:1000305	fibroblast of connective tissue of glandular part of prostate	
CL:1000465	chromaffin cell of ovary	
CL:1000466	chromaffin cell of right ovary	
CL:1000467	chromaffin cell of left ovary	
CL:1000487	smooth muscle cell of prostate	smooth muscle fiber of prostate
CL:1001575	uterine cervix squamous cell	cervix squamous cell|cervix squamous epithelial cell|cervix, uterine squamous epithelial cells|uterine cervix squamous epithelial cell|uterine cervix squamous epithelial cells
CL:1001578	vagina squamous cell	vagina squamous epithelial cell|vagina squamous epithelial cells|vaginal squamous cell|vaginal squamous epithelial cell
CL:1001587	uterine cervix glandular cell	cervix glandular cell|cervix, uterine glandular cell|cervix, uterine glandular cells
CL:1001590	epididymis glandular cell	epididymal glandular cell|epididymis glandular cells
CL:1001591	oviduct glandular cell	fallopian tube glandular cell|fallopian tube glandular cells|uterine tube glandular cell
CL:1001597	seminal vesicle glandular cell	seminal vesicle glandular cells
CL:1001606	foreskin keratinocyte	
CL:1001608	foreskin fibroblast	BJ fibroblast
CL:2000002	decidual cell	decidua cell|decidual stromal cell
CL:2000045	foreskin melanocyte	
CL:2000059	prostate gland microvascular endothelial cell	
CL:2000060	placental villous trophoblast	vCTB|villous cytotrophoblast
CL:2000061	placental amniotic mesenchymal stromal cell	
CL:2000062	placental villus capillary endothelial cell	
CL:2000063	ovarian fibroblast	
CL:2000064	ovarian surface epithelial cell	
CL:2000078	placental pericyte	
CL:2000082	melanocyte of foreskin	
CL:2000091	endometrial microvascular endothelial cells	
UBERON:0000002	uterine cervix	canalis cervicis uteri|caudal segment of uterus|cervical canal|cervical canal of uterus|cervix|cervix of uterus|cervix uteri|neck of uterus|uterine cervix
UBERON:0000035	primary ovarian follicle	folliculus ovaricus primarius|ovary primary follicle|ovary primary follicle|preantral follicle of ovary|primary egg follicle|primary follicle|primary follicle of ovary|primary ovarian follicle
UBERON:0000036	secondary ovarian follicle	antral follicle of ovary|folliculus ovaricus secondarius|ovary secondary follicle|pre-antral follicle|pre-ovulatory follicle|preantral follicle|secondary egg follicle|secondary follicle|secondary follicle of ovary
UBERON:0000037	tertiary ovarian follicle	Graafian follicle|antral follicle|antral ovarian follicle|folliculi ovarici vesiculosi|folliculus ovaricus tertiarius|folliculus ovaricus tertiarius (vesiculosus)|folliculus ovaricus tertiarius (vesiculous)|ovary antral follicle|tertiary egg follicle|tertiary follicle of ovary|vesicular follicle of ovary|vesicular ovarian follicle
UBERON:0000038	follicular fluid	antral fluid, ovarian follicle|liquor follicularis|liquor folliculi|liquor folliculi|ovarian follicular fluid|ovary follicle fluid|ovary follicular fluid
UBERON:0000039	follicular antrum	antral cavity|antrum folliculare|antrum follicularum|ovarian follicle antrum
UBERON:0000051	fornix of vagina	fornix|fornix vaginae|vaginal fornices|vaginal fornix
UBERON:0000061	anatomical structure	biological structure|connected biological structure
