label	as_iri	uberon_id	note
small intestine Epithelium		UBERON:0001902	confirmed_match (confidence: high)
small intestine muscularis mucosa		UBERON:0001210	confirmed_match (confidence: high)
small intestine muscularis externa		UBERON:0011201	confirmed_match (confidence: high)
small intestine submucosal plexus of Meissner		UBERON:0005304	confirmed_match (confidence: high)
small intestine myenteric plexus of Auerbach		UBERON:8410063	confirmed_match (confidence: high)
lymphatic vessel		UBERON:0001473	confirmed_match (confidence: high)
small intestine mucosa		UBERON:0001204	confirmed_match (confidence: high)
small intestine muscularis propria		UBERON:0011201	confirmed_match (confidence: high)
small intestine serosa		UBERON:0001206	confirmed_match (confidence: high)
small intestine submucosa		UBERON:0001205	confirmed_match (confidence: high)
small intestine circular/longitudinal muscle		UBERON:0011201	confirmed_match (confidence: high)
antral follicle		UBERON:0000037	possible_match (UBERON:0000037 'tertiary ovarian follicle' has 'antral follicle' as a BROAD synonym, suggesting that 'antral follicle' may be a broader category than tertiary follicle alone. The literature may distinguish early vs late antral follicles, while UBERON:0000037 specifically refers to the most mature stage. Further investigation needed to determine if this is truly equivalent or if a broader antral follicle class is needed.)
preantral follicle		UBERON:0000036	possible_match (UBERON:0000036 'secondary ovarian follicle' has 'preantral follicle' as an EXACT synonym. UBERON:0000035 'primary ovarian follicle' also has 'preantral follicle of ovary' as a RELATED synonym. The EXACT match to secondary follicle is more specific, making UBERON:0000036 the more likely match. However, the term may be used broadly in the literature to refer to both primary and secondary stages.)
