label	definition	reason	similar_terms	suggestion
small intestine Lamina propria/Gut associated lymphoid tissue (GALT)	Not written - composite term flagged for name correction	Composite slash term violates UBERON naming conventions. Cannot determine which single structure the source intends to reference. Both 'lamina propria of small intestine' (UBERON:0001204) and 'gut-associated lymphoid tissue' (UBERON:0001962) already exist as separate, well-defined terms.	UBERON:0001204=lamina propria of small intestine; UBERON:0001962=gut-associated lymphoid tissue; UBERON:0003454=small intestine Peyer's patch	Curator should: (1) Contact ASCTB source to clarify intent and correct the slash notation. (2) If they mean GALT in small intestine, consider creating 'gut-associated lymphoid tissue of small intestine' as intersection_of: UBERON:0001962 ! GALT + part_of UBERON:0002108 ! small intestine. (3) If they mean both structures, split into two separate term requests. (4) If they mean specifically lymphoid tissue within the lamina propria, use existing UBERON:0001204 and note that it contains lymphoid tissue in its definition.
small intestine endothelial	INCOMPLETE TERM NAME - likely intended as 'endothelium of small intestine vasculature' or referring to an endothelial cell type. In UBERON, endothelium terms follow the pattern 'endothelium of X' (e.g., UBERON:0001917 'endothelium of artery', UBERON:0001915 'endothelium of capillary') with logical definition: genus UBERON:0001986 (endothelium) and part_of the containing structure. If this refers to a cell type, it belongs in Cell Ontology (CL:0000115 endothelial cell), not UBERON anatomical structures.	Term name is incomplete and ambiguous. Parent assignment to 'submucosa of duodenum' (UBERON:0003332) is anatomically incorrect - endothelium is part of blood vessels, not a direct component of submucosa layers. The term cannot be properly classified without clarification of whether it refers to: (1) endothelium tissue of small intestine vasculature, (2) endothelium of a specific vessel type (arteries, veins, capillaries), or (3) a cell type that belongs in Cell Ontology.	UBERON:0001986=endothelium; UBERON:0001915=endothelium of capillary; UBERON:0001917=endothelium of artery; UBERON:0001919=endothelium of vein	Request clarification from submitter. If tissue structure intended, create regional term following UBERON pattern: 'endothelium of small intestine vasculature' or more specific terms like 'endothelium of small intestine artery', 'endothelium of small intestine capillary', etc. with appropriate genus and part_of axioms. If cell type intended, redirect to Cell Ontology for 'endothelial cell' with appropriate location qualifiers.
central inferior antimesenteric ovary	An anatomical space of the ovary located in the central-inferior region on the antimesenteric border, which is the side of the ovary facing away from the mesovarium attachment.	Very fine-grained spatial subdivision without distinct histological or functional characteristics. UBERON typically models structures with biological distinctiveness rather than pure coordinate-based spatial zones. These terms appear to be created for detailed cell mapping (HRA ASCTB project) and may be better represented in a spatial reference system or coordinate annotation framework.	UBERON:0000992=ovary; UBERON:0001342=mesovarium; UBERON:0006960=ovary stroma	Curator should decide whether: (1) to add these as anatomical_space subclasses with part_of ovary, (2) to handle via a separate spatial annotation or coordinate system for the HRA project, or (3) to mark as out-of-scope for UBERON if they lack biological significance beyond spatial positioning. If added, consider creating intermediate grouping classes like 'inferior region of ovary', 'mesenteric border of ovary', etc., to organize the hierarchy rather than adding many individual fine-grained zones directly under ovary.
central inferior mesenteric ovary	An anatomical space of the ovary located in the central-inferior region on the mesenteric border, which is the side of the ovary facing toward the mesovarium attachment.	Very fine-grained spatial subdivision without distinct histological or functional characteristics. UBERON typically models structures with biological distinctiveness rather than pure coordinate-based spatial zones. These terms appear to be created for detailed cell mapping (HRA ASCTB project) and may be better represented in a spatial reference system or coordinate annotation framework.	UBERON:0000992=ovary; UBERON:0001342=mesovarium; UBERON:0006960=ovary stroma	Curator should decide whether: (1) to add these as anatomical_space subclasses with part_of ovary, (2) to handle via a separate spatial annotation or coordinate system for the HRA project, or (3) to mark as out-of-scope for UBERON if they lack biological significance beyond spatial positioning. If added, consider creating intermediate grouping classes like 'inferior region of ovary', 'mesenteric border of ovary', etc., to organize the hierarchy rather than adding many individual fine-grained zones directly under ovary.
central superior ovary (parent term)		The parent term 'central superior ovary' does not exist in UBERON and must be created before these child terms can be added. This represents a novel fine-grained spatial parcellation scheme for the ovary.		The entire ovarian spatial parcellation system (medial/central/lateral × superior/inferior × mesenteric/antimesenteric) appears to be an HRA-specific 3D coordinate reference framework. UBERON currently has only cortex/medulla subdivisions of the ovary. Before adding these terms, the curators should: (1) Decide if this level of spatial granularity is appropriate for UBERON or if it belongs in a separate spatial reference ontology; (2) If accepted, create the full hierarchy: central ovary → central superior ovary → central superior mesenteric/antimesenteric ovary; (3) Establish clear anatomical boundaries and measurement criteria for each zone; (4) Find published anatomical literature supporting these spatial divisions.
lateral inferior ovary	The inferior portion of the lateral aspect of the ovary, a region of the ovary that faces the lateral pelvic wall and extends from the ovarian ligament attachment to the inferior pole.	The terms 'lateral ovary', 'lateral inferior ovary', and 'lateral superior ovary' do not appear in standard anatomical literature (Gray's Anatomy, Terminologia Anatomica), Wikipedia, or UBERON. The ovary has recognized subdivisions (cortex, medulla, germinal epithelium) and surfaces (lateral surface facing pelvic wall, medial surface facing uterus), but 'lateral ovary' as a named substructure is not established in classical anatomy. These terms may originate from HRA ASCTB table-specific spatial subdivision schemes or imaging protocols rather than classical anatomical nomenclature.		Curator should: (1) Verify the source and intended meaning of these terms in the HRA ASCTB context. (2) Consider whether these represent valid spatial subdivisions that should be added to UBERON (e.g., 'lateral surface of ovary' with superior/inferior regions), or whether they should be modeled using spatial relation ontology (BSPO) qualifiers instead of creating new anatomical structure terms. (3) If these are imaging-specific regional designations rather than anatomically distinct structures, consider representing them as qualities or spatial regions rather than anatomical entities. (4) Consult TA2 (Terminologia Anatomica 2nd ed.) and FMA for any precedent for dividing the ovarian surface into named regions.
lateral superior ovary	The superior portion of the lateral aspect of the ovary, a region of the ovary that faces the lateral pelvic wall and extends from the superior pole toward the ovarian ligament attachment.	Same as lateral inferior ovary - non-standard anatomical term not found in classical anatomy references.		Same curation workflow as lateral inferior ovary. These two terms form a pair and should be curated together.
lateral superior antimesenteric ovary	A region of the ovary located in the lateral and superior portion along the antimesenteric border, representing the free border opposite to the mesovarium attachment site.	Very granular spatial subdivision. ASCTB has created an 18-region 3D grid system (3 mediolateral × 3 craniocaudal × 2 mesenteric/antimesenteric) for tissue mapping. While 'mesenteric' and 'antimesenteric' borders are valid anatomical concepts (mesovarium attachment vs free border), the specific fine-grained regional subdivisions are not established in standard anatomical literature (Gray's Anatomy, TA2). UBERON typically includes histologically or functionally distinct regions (e.g., ovarian cortex, medulla) rather than arbitrary spatial grid cells.	UBERON:0013191=ovarian cortex; UBERON:0013192=ovarian medulla; UBERON:0001342=mesovarium	Curator should evaluate whether UBERON's scope includes tissue-mapping spatial subdivisions. If yes: 1) Consider creating intermediate regional terms for consistency. 2) Add definitions emphasizing these are spatial subdivisions, not histologically distinct regions. 3) Consider adding relationships like 'adjacent_to UBERON:0001342 ! mesovarium' for the mesenteric terms. If no: Mark as out-of-scope and suggest spatial annotation approach using BSPO (spatial ontology) terms instead.
lateral superior mesenteric ovary	A region of the ovary located in the lateral and superior portion along the mesenteric border, at or near the site where the mesovarium attaches to suspend the ovary.	Same as above - very granular spatial subdivision from ASCTB 3D grid system, not established in standard anatomical literature.	UBERON:0013191=ovarian cortex; UBERON:0013192=ovarian medulla; UBERON:0001342=mesovarium	Same as above. Additionally, consider that the mesovarium attachment site (ovarian hilum) might be a more appropriate UBERON term to create instead of these grid subdivisions.
medial inferior antimesenteric ovary	An anatomical region of the ovary located on the medial inferior aspect on the side opposite the mesovarium attachment, corresponding to the antimesenteric (free lateral) border of the ovary in its inferior medial quadrant.	This term represents a highly granular spatial subdivision of the ovary that is not found in standard anatomical ontologies. The parent 'medial inferior ovary' itself is not in UBERON. UBERON contains only one ovary subdivision pattern for laterality (left/right ovary) and basic structural parts (cortex, medulla, capsule, etc.), not fine-grained spatial quadrants. The mesovarium (UBERON:0013771) exists as the mesentery of the ovary, but UBERON does not subdivide the ovary into mesenteric vs antimesenteric regions or medial/lateral/inferior/superior quadrants.		DECISION REQUIRED: The curator must decide whether: (1) UBERON should expand to include such fine-grained spatial subdivisions of the ovary to support HRA mapping needs, which would require adding the entire hierarchy (medial ovary, medial inferior ovary, and their mesenteric/antimesenteric subdivisions); (2) These terms should be kept in a separate HRA-specific extension/module rather than core UBERON; (3) A different modeling approach should be used (e.g., using spatial relation properties like 'in medial inferior part of' rather than creating named anatomical entities for every possible spatial region). If option (1) is chosen, similar subdivisions would need to be considered for consistency: lateral ovary, superior ovary, lateral superior/inferior ovary, etc., which could lead to a combinatorial explosion of terms. Standard anatomical practice uses compositional descriptions (e.g., 'cells in the medial aspect of the ovarian cortex') rather than named regions for such granular locations.
