table	as_iri	label	uberon_id	parent_id	parent_label	references	term_type
	https://purl.org/ccf/ASCTB-TEMP_antral-follicle	antral follicle		UBERON:0001305	ovarian follicle		leaf
	https://purl.org/ccf/ASCTB-TEMP_central-inferior-antimesenteric-ovary	central inferior antimesenteric ovary		https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary	central inferior ovary		leaf
	https://purl.org/ccf/ASCTB-TEMP_central-inferior-mesenteric-ovary	central inferior mesenteric ovary		https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary	central inferior ovary		leaf
	https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary	central inferior ovary		https://purl.org/ccf/ASCTB-TEMP_central-ovary	central ovary		leaf
	https://purl.org/ccf/ASCTB-TEMP_central-ovary	central ovary		UBERON:0000992	ovary		leaf
	https://purl.org/ccf/ASCTB-TEMP_central-superior-antimesenteric-ovary	central superior antimesenteric ovary		https://purl.org/ccf/ASCTB-TEMP_central-superior-ovary	central superior ovary		leaf
	https://purl.org/ccf/ASCTB-TEMP_central-superior-mesenteric-ovary	central superior mesenteric ovary		https://purl.org/ccf/ASCTB-TEMP_central-superior-ovary	central superior ovary		leaf
	https://purl.org/ccf/ASCTB-TEMP_central-superior-ovary	central superior ovary		https://purl.org/ccf/ASCTB-TEMP_central-ovary	central ovary		leaf
	https://purl.org/ccf/ASCTB-TEMP_corona-radiata	corona radiata		UBERON:0005170	granulosa cell layer		leaf
	https://purl.org/ccf/ASCTB-TEMP_corpus-luteum-granulosa-lutein-layer	corpus luteum granulosa lutein layer		UBERON:0002512	corpus luteum		leaf
	https://purl.org/ccf/ASCTB-TEMP_corpus-luteum-granulosa-theca-layer	corpus luteum granulosa theca layer		UBERON:0002512	corpus luteum		leaf
	https://purl.org/ccf/ASCTB-TEMP_cortical-blood-vessels	cortical blood vessels		UBERON:0013191	ovarian cortex		leaf
	https://purl.org/ccf/ASCTB-TEMP_cumulus-oophorus-oocyte-complex	cumulus oophorus oocyte complex		UBERON:0003982	mature ovarian follicle	https://doi.org/10.1210/er.2018-00085, https://doi.org/10.1093/oxfordjournals.humrep.a136365	leaf
	https://purl.org/ccf/ASCTB-TEMP_dominance-antral-follicle	dominance antral follicle		https://purl.org/ccf/ASCTB-TEMP_antral-follicle	antral follicle	https://doi.org/10.1093/oxfordjournals.humrep.a136365	leaf
	https://purl.org/ccf/ASCTB-TEMP_early-antral-follicle	early antral follicle		https://purl.org/ccf/ASCTB-TEMP_antral-follicle	antral follicle	https://doi.org/10.1093/oxfordjournals.humrep.a136365	leaf
