label	as_iri	issue_type	parent_id	parent_label	detail
central inferior antimesenteric ovary	https://purl.org/ccf/ASCTB-TEMP_central-inferior-antimesenteric-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary	central inferior ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
central inferior mesenteric ovary	https://purl.org/ccf/ASCTB-TEMP_central-inferior-mesenteric-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary	central inferior ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
central inferior ovary	https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_central-ovary	central ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
central superior antimesenteric ovary	https://purl.org/ccf/ASCTB-TEMP_central-superior-antimesenteric-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_central-superior-ovary	central superior ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
central superior mesenteric ovary	https://purl.org/ccf/ASCTB-TEMP_central-superior-mesenteric-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_central-superior-ovary	central superior ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
central superior ovary	https://purl.org/ccf/ASCTB-TEMP_central-superior-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_central-ovary	central ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
dominance antral follicle	https://purl.org/ccf/ASCTB-TEMP_dominance-antral-follicle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_antral-follicle	antral follicle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
early antral follicle	https://purl.org/ccf/ASCTB-TEMP_early-antral-follicle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_antral-follicle	antral follicle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
lateral inferior antimesenteric ovary	https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-antimesenteric-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-ovary	lateral inferior ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
lateral inferior mesenteric ovary	https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-mesenteric-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-ovary	lateral inferior ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
lateral inferior ovary	https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_lateral-ovary	lateral ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
lateral superior antimesenteric ovary	https://purl.org/ccf/ASCTB-TEMP_lateral-superior-antimesenteric-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_lateral-superior-ovary	lateral superior ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
lateral superior mesenteric ovary	https://purl.org/ccf/ASCTB-TEMP_lateral-superior-mesenteric-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_lateral-superior-ovary	lateral superior ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
lateral superior ovary	https://purl.org/ccf/ASCTB-TEMP_lateral-superior-ovary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_lateral-ovary	lateral ovary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
