iri	label	definition	definitionXrefs	classAxiomUsages	classAxiomExampleUsage
http://purl.obolibrary.org/obo/BFO_0000050	part_of			10118	metanephric glomerular epithelium **SubClassOf** part of **some** metanephric nephron|head of femur **SubClassOf** part of **some** proximal epiphysis of femur|endocardium **SubClassOf** part of **some** heart|semicircular canal ampulla **SubClassOf** part of **some** semicircular duct|cardiac muscle of left atrium **EquivalentTo** cardiac muscle tissue **and** part of **some** left cardiac atrium
http://purl.obolibrary.org/obo/BFO_0000051	has_part			647	reticulum trabeculare **SubClassOf** has part **some** trabecular meshwork cell|thymoid **SubClassOf** has part **some** forkhead box protein N1|atrioventricular bundle **SubClassOf** has part **some** myocyte of atrioventricular node|fundic gastric gland **SubClassOf** has part **some** parietal cell|inner cambium layer of periosteum **SubClassOf** has part **some** preosteoblast
http://purl.obolibrary.org/obo/BFO_0000053				5	 **EquivalentTo** [http://purl.obolibrary.org/obo/BFO_0000053](http://purl.obolibrary.org/obo/BFO_0000053) **some** [http://purl.obolibrary.org/obo/PATO_0001405](http://purl.obolibrary.org/obo/PATO_0001405)|has part **some** nucleus **EquivalentTo** [http://purl.obolibrary.org/obo/BFO_0000053](http://purl.obolibrary.org/obo/BFO_0000053) **some** [http://purl.obolibrary.org/obo/PATO_0002505](http://purl.obolibrary.org/obo/PATO_0002505)|[http://purl.obolibrary.org/obo/BFO_0000053](http://purl.obolibrary.org/obo/BFO_0000053) **some** [http://purl.obolibrary.org/obo/PATO_0001407](http://purl.obolibrary.org/obo/PATO_0001407) **SubClassOf** has part **some** nucleus|[http://purl.obolibrary.org/obo/BFO_0000053](http://purl.obolibrary.org/obo/BFO_0000053) **some** [http://purl.obolibrary.org/obo/PATO_0001908](http://purl.obolibrary.org/obo/PATO_0001908) **SubClassOf** has part **some** nucleus
http://purl.obolibrary.org/obo/BFO_0000056	participates in			7	perichondral bone **SubClassOf** participates in **some** perichondral ossification|regenerating anatomical structure **EquivalentTo** anatomical structure **and** participates in **some** regeneration|regenerating fin/limb **EquivalentTo** paired limb/fin **and** participates in **some** regeneration|migrating mesenchyme population **EquivalentTo** mesenchyme **and** participates in **some** cell migration|granulation tissue **SubClassOf** participates in **some** wound healing
http://purl.obolibrary.org/obo/BFO_0000062	preceded by	X preceded_by Y iff: end(Y) before_or_simultaneous_with start(X)		18	fully formed stage **SubClassOf** preceded by **some** organogenesis stage|fully formed stage **and** part of **some** Caenorhabditis elegans **SubClassOf** preceded by **some** nematode larval stage|post-juvenile adult stage **SubClassOf** preceded by **some** sexually immature stage|neurula stage **SubClassOf** preceded by **some** gastrula stage|organogenesis stage **SubClassOf** preceded by **some** neurula stage
http://purl.obolibrary.org/obo/BFO_0000063	precedes			6	
http://purl.obolibrary.org/obo/BFO_0000066	occurs in			13	extracellular negative regulation of signal transduction **EquivalentTo** negative regulation of signal transduction **and** occurs in **some** extracellular region|extracellular regulation of signal transduction **EquivalentTo** regulation of signal transduction **and** occurs in **some** extracellular region|intracellular lipid transport **SubClassOf** occurs in **some** intracellular|extracellular transport **EquivalentTo** transport **and** occurs in **some** extracellular region|receptor signaling protein activity **EquivalentTo** signal transducer activity **and** occurs in **some** intracellular
http://purl.obolibrary.org/obo/BFO_0000067	contains process			13	long bone epiphyseal plate ossification zone **SubClassOf** contains process **some** ossification|long bone epiphyseal plate hypertrophic zone **SubClassOf** contains process **some** chondrocyte hypertrophy|blood island **SubClassOf** contains process **some** hemopoiesis|long bone epiphyseal plate hypertrophic zone **SubClassOf** contains process **some** chondrocyte development|long bone epiphyseal plate proliferative zone **SubClassOf** contains process **some** extracellular matrix constituent secretion
http://purl.obolibrary.org/obo/BSPO_0000096	anterior_to			13	upper lobe of lung **EquivalentTo** lobe of lung **and** anterior to **some** lower lobe of lung **and** in anterior side of **some** lung|pre-chordal neural plate **SubClassOf** anterior to **some** midbrain hindbrain boundary neural plate|proatlas **SubClassOf** anterior to **some** vertebral bone 1|interparietal bone **SubClassOf** anterior to **some** occipital bone|vertebral bone 1 **SubClassOf** anterior to **some** vertebral bone 2
http://purl.obolibrary.org/obo/BSPO_0000097	distal_to			6	acropodium region **SubClassOf** distal to **some** metapodium region|zeugopod **SubClassOf** distal to **some** stylopod
