AEO:0000013	single-cell tissue	UBERON:0000468	multi-cellular organism	GO:0005623|GO:0031012	cell|extracellular matrix
AEO:0000078	lumen of tube				
AEO:0000079	lumen of epithelial sac				
AEO:0000080	foramen				
AEO:0000081	matrix-based tissue	UBERON:0000468	multi-cellular organism	GO:0005623|GO:0031012	cell|extracellular matrix
AEO:0000082	bone	NCBITaxon:6072	Eumetazoa	UBERON:0000479	tissue
AEO:0000083	endochondral bone	AEO:0000168|NCBITaxon:6072	skeletal system|Eumetazoa	CL:0000058|CL:0000062|CL:0000138|UBERON:0000479	chondroblast|osteoblast|chondrocyte|tissue
AEO:0000085	membrane bone	AEO:0000168|NCBITaxon:6072	skeletal system|Eumetazoa	CL:0000062|UBERON:0000479	osteoblast|tissue
AEO:0000086	sesamoid bone	AEO:0000168|NCBITaxon:6072	skeletal system|Eumetazoa	CL:0000058|CL:0000062|CL:0000138|UBERON:0000479	chondroblast|osteoblast|chondrocyte|tissue
AEO:0000087	cartilage	AEO:0000168	skeletal system	GO:0005623|GO:0031012	cell|extracellular matrix
AEO:0000090	ligament	AEO:0000168	skeletal system	CL:0000327|CL:0000057|GO:0031012	extracellular matrix secreting cell|fibroblast|extracellular matrix
AEO:0000091	tendon	AEO:0000168	skeletal system	CL:0000327|CL:0000057|GO:0031012	extracellular matrix secreting cell|fibroblast|extracellular matrix
AEO:0000092	aponeurosis	UBERON:0000468	multi-cellular organism	CL:0000327|GO:0031012	extracellular matrix secreting cell|extracellular matrix
AEO:0000093	non-connected functional system	UBERON:0000468	multi-cellular organism		
AEO:0000094	sense organ	UBERON:0000467	anatomical system	GO:0005623	cell
AEO:0000095	fluid-based anatomical entity	NCBITaxon:6072	Eumetazoa	UBERON:0000479	tissue
AEO:0000096	gland	NCBITaxon:6072	Eumetazoa	UBERON:0000479	tissue
AEO:0000097	ducted gland	NCBITaxon:6072	Eumetazoa	UBERON:0000479	tissue
AEO:0000098	ductless gland	NCBITaxon:6072	Eumetazoa	UBERON:0000479	tissue
AEO:0000099	keratin-based structure				
AEO:0000100	chitin-based structure				
AEO:0000103	body	UBERON:0000468	multi-cellular organism	BFO:0000050|BFO:0000050|BFO:0000050|GO:0005623|BFO:0000050|BFO:0000050	null|null|null|cell|null|null
AEO:0000106	head	UBERON:0000468	multi-cellular organism	BFO:0000050|BFO:0000050|BFO:0000050|GO:0005623|BFO:0000050|BFO:0000050	null|null|null|cell|null|null
AEO:0000108	neck	UBERON:0000468	multi-cellular organism	BFO:0000050|BFO:0000050|BFO:0000050|GO:0005623|BFO:0000050|BFO:0000050	null|null|null|cell|null|null
AEO:0000109	tail	UBERON:0000468	multi-cellular organism	BFO:0000050|BFO:0000050|BFO:0000050|GO:0005623|BFO:0000050|BFO:0000050	null|null|null|cell|null|null
AEO:0000111	mesothelium	UBERON:0000468	multi-cellular organism	GO:0005911|CL:0000076|UBERON:0005769|GO:0031012	cell-cell junction|squamous epithelial cell|basement membrane of epithelium|extracellular matrix
AEO:0000114	epithelial tube	UBERON:0000468	multi-cellular organism	GO:0005911|UBERON:0005769|CL:0000068|GO:0031012	cell-cell junction|basement membrane of epithelium|duct epithelial cell|extracellular matrix
AEO:0000115	epithelial sac	UBERON:0000468	multi-cellular organism	GO:0005911|UBERON:0005769|CL:0000075|GO:0031012	cell-cell junction|basement membrane of epithelium|columnar/cuboidal epithelial cell|extracellular matrix
AEO:0000117	arborising epithelial duct system	UBERON:0000468	multi-cellular organism	GO:0005911|UBERON:0005769|CL:0000068|CL:0000075|GO:0031012	cell-cell junction|basement membrane of epithelium|duct epithelial cell|columnar/cuboidal epithelial cell|extracellular matrix
AEO:0000118	epithelial plexus	UBERON:0000468	multi-cellular organism	GO:0005911|UBERON:0005769|CL:0000068|GO:0031012	cell-cell junction|basement membrane of epithelium|duct epithelial cell|extracellular matrix
AEO:0000119	epithelial vesicle	UBERON:0000468	multi-cellular organism	GO:0005911|UBERON:0005769|CL:0000075|GO:0031012	cell-cell junction|basement membrane of epithelium|columnar/cuboidal epithelial cell|extracellular matrix
AEO:0000122	muscle tissue	UBERON:0000468	multi-cellular organism	GO:0005623|GO:0031012	cell|extracellular matrix
AEO:0000123	neural tissue	UBERON:0000468	multi-cellular organism	GO:0005623|GO:0031012	cell|extracellular matrix
AEO:0000125	developing anatomical structure				
AEO:0000126	larva			GO:0005623	cell
AEO:0000127	apoptosing developing anatomical entity			CL:0000445	apoptosis fated cell
AEO:0000129	functioning and developing structure				
AEO:0000131	developing structure with stem cells			CL:0000034	stem cell
AEO:0000132	transitional anatomical structure				
AEO:0000135	ganglion	UBERON:0000468	multi-cellular organism	GO:0005623|GO:0031012	cell|extracellular matrix
AEO:0000136	neuronal nucleus	UBERON:0000468	multi-cellular organism	CL:0000127|GO:0031012|CL:0000129	astrocyte|extracellular matrix|microglial cell
AEO:0000137	nerve	UBERON:0000468	multi-cellular organism	GO:0005623|GO:0031012	cell|extracellular matrix
AEO:0000138	nerve plexus	UBERON:0000468	multi-cellular organism	CL:0000527|CL:0000526|GO:0031012	efferent neuron|afferent neuron|extracellular matrix
AEO:0000139	nerve fiber tract	UBERON:0000468	multi-cellular organism	GO:0005623|GO:0031012	cell|extracellular matrix
AEO:0000140	striated muscle tissue	UBERON:0000468	multi-cellular organism	CL:0000737|GO:0031012	striated muscle cell|extracellular matrix
AEO:0000141	smooth muscle tissue	UBERON:0000468	multi-cellular organism	CL:0000192|GO:0031012	smooth muscle cell|extracellular matrix
AEO:0000142	cardiac muscle tissue	UBERON:0000468	multi-cellular organism	CL:0000746|GO:0031012	cardiac muscle cell|extracellular matrix
AEO:0000143	smooth muscle sphincter	UBERON:0000468	multi-cellular organism	CL:0000192|GO:0031012	smooth muscle cell|extracellular matrix
AEO:0000144	striated muscle sphincter	UBERON:0000468	multi-cellular organism	CL:0000737|GO:0031012	striated muscle cell|extracellular matrix
AEO:0000145	mesenchymal tissue	UBERON:0000468	multi-cellular organism	GO:0005623|GO:0031012	cell|extracellular matrix
AEO:0000146	dense mesenchyme tissue	UBERON:0000468	multi-cellular organism	CL:0000057|GO:0031012	fibroblast|extracellular matrix
AEO:0000147	cartilagenous condensation	AEO:0000168	skeletal system	CL:0000335|CL:0000058|CL:0000057|GO:0031012	mesenchyme condensation cell|chondroblast|fibroblast|extracellular matrix
AEO:0000148	developing mesenchymal condensation	UBERON:0000468	multi-cellular organism	CL:0000335|CL:0000057|GO:0031012	mesenchyme condensation cell|fibroblast|extracellular matrix
AEO:0000149	pre-muscle condensation	UBERON:0000468	multi-cellular organism	CL:0000335|CL:0000057|GO:0031012|CL:0000680	mesenchyme condensation cell|fibroblast|extracellular matrix|muscle precursor cell
