UBERON:0000000	processual entity				
UBERON:0000002	uterine cervix	UBERON:0000995	uterus		
UBERON:0000003	naris	UBERON:0000033|UBERON:0005725	head|olfactory system		
UBERON:0000004	olfactory apparatus	UBERON:0001456|UBERON:0001032|UBERON:0001004	face|sensory system|respiratory system	BFO:0000050	null
UBERON:0000005	chemosensory organ	UBERON:0001016|UBERON:0005726	nervous system|chemosensory system		
UBERON:0000006	islet of Langerhans	UBERON:0000016	endocrine pancreas		
UBERON:0000007	pituitary gland	UBERON:0001894|UBERON:0000949	diencephalon|endocrine system	UBERON:0002196|UBERON:0002198	adenohypophysis|neurohypophysis
UBERON:0000009	submucosa	UBERON:0000060	anatomical wall	UBERON:0011822	dense irregular connective tissue
UBERON:0000010	peripheral nervous system	UBERON:0001016	nervous system		
UBERON:0000011	parasympathetic nervous system	UBERON:0002410	autonomic nervous system		
UBERON:0000012	somatic nervous system	UBERON:0000010	peripheral nervous system		
UBERON:0000013	sympathetic nervous system	UBERON:0002410	autonomic nervous system		
UBERON:0000014	zone of skin	UBERON:0002097	skin of body		
UBERON:0000015	anatomical boundary				
UBERON:0000016	endocrine pancreas	UBERON:0001264	pancreas		
UBERON:0000017	exocrine pancreas	UBERON:0002330|UBERON:0001264	exocrine system|pancreas		
UBERON:0000018	compound eye	UBERON:0002104	visual system	UBERON:0000971	ommatidium
UBERON:0000019	camera-type eye	UBERON:0004088|UBERON:0002104	ocular region|visual system		
UBERON:0000020	sense organ	UBERON:0001032	sensory system		
UBERON:0000021	cutaneous appendage	UBERON:0002416|UBERON:0000062	integumental system|organ		
UBERON:0000022	feather	UBERON:0002416|UBERON:0000062	integumental system|organ		
UBERON:0000023	wing	UBERON:0000468	multi-cellular organism	BFO:0000050|BFO:0000050|BFO:0000050|BFO:0000050|BFO:0000050	null|null|null|null|null
UBERON:0000024	forelimb wing	UBERON:0000153|UBERON:0010708	anterior region of body|pectoral complex	UBERON:0001440|BFO:0000050|BFO:0000050|BFO:0000050|BFO:0000050	forelimb skeleton|null|null|null|null
UBERON:0000025	tube	UBERON:0000468	multi-cellular organism		
UBERON:0000026	appendage	UBERON:0000468	multi-cellular organism	BFO:0000050|BFO:0000050|BFO:0000050|BFO:0000050|BFO:0000050	null|null|null|null|null
UBERON:0000029	lymph node	UBERON:0002465|UBERON:0000062	lymphoid system|organ	UBERON:0002391	lymph
UBERON:0000030	lamina propria	UBERON:0000344	mucosa	UBERON:0011825	loose connective tissue
UBERON:0000031	lamina propria of trachea	UBERON:0003570|UBERON:0000379	respiratory system connective tissue|tracheal mucosa	UBERON:0011825	loose connective tissue
UBERON:0000033	head	UBERON:0007811	craniocervical region	BFO:0000050|BFO:0000050|BFO:0000050|BFO:0000050|BFO:0000050	null|null|null|null|null
UBERON:0000035	primary ovarian follicle	UBERON:0000992	female gonad		
UBERON:0000036	secondary ovarian follicle	UBERON:0000992	female gonad		
UBERON:0000037	tertiary ovarian follicle	UBERON:0000992	female gonad		
UBERON:0000038	follicular fluid	UBERON:0001305	ovarian follicle		
UBERON:0000039	follicular antrum	UBERON:0001305	ovarian follicle		
