label	as_iri	uberon_id	note
Epithelium		UBERON:0013636	confirmed_match (confidence: high)
muscularis mucosa		UBERON:0006676	confirmed_match (confidence: high)
muscularis externa		UBERON:0006660	confirmed_match (confidence: high)
submucosal plexus of Meissner		UBERON:0005304	confirmed_match (confidence: high)
connective tissue		UBERON:0002384	confirmed_match (confidence: high)
myenteric plexus of Auerbach		UBERON:0002439	confirmed_match (confidence: high)
mucosa		UBERON:0000344	confirmed_match (confidence: high)
submucosa		UBERON:0000009	confirmed_match (confidence: high)
serosa		UBERON:0000042	confirmed_match (confidence: high)
muscularis propria		UBERON:0006660	confirmed_match (confidence: high)
circular/longitudinal muscle		UBERON:0006660	possible_match (The term might be an informal reference to the muscularis externa/muscular coat, which typically contains both circular and longitudinal layers. However, the slash notation is non-standard and UBERON already has this parent term.)
