label	as_iri	issue_type	parent_id	parent_label	detail
alveolar capillary	https://purl.org/ccf/ASCTB-TEMP_alveolar-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_pre-alveolar-capillary	pre-alveolar capillary	Parent not yet in UBERON; subagent should search OLS4 for correct parent
alveolar mucosa capillary	https://purl.org/ccf/ASCTB-TEMP_alveolar-mucosa-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_alveolar-mucosa-arteriole	alveolar mucosa arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
anterior lingual gland capillary	https://purl.org/ccf/ASCTB-TEMP_anterior-lingual-gland-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_anterior-lingual-gland-arteriole	anterior lingual gland arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
branch of superficial white pulp capillary of spleen	https://purl.org/ccf/ASCTB-TEMP_branch-of-superficial-white-pulp-capillary-of-spleen	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_superficial-white-pulp-capillary-of-spleen	superficial white pulp capillary of spleen	Parent not yet in UBERON; subagent should search OLS4 for correct parent
bronchial capillary	https://purl.org/ccf/ASCTB-TEMP_bronchial-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_bronchial-arteriole	bronchial arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
buccal mucosa capillary	https://purl.org/ccf/ASCTB-TEMP_buccal-mucosa-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_buccal-mucosa-arteriole	buccal mucosa arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
deep parotid gland capillary	https://purl.org/ccf/ASCTB-TEMP_deep-parotid-gland-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_deep-parotid-gland-arteriole	deep parotid gland arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
inferior labial gland capillary	https://purl.org/ccf/ASCTB-TEMP_inferior-labial-gland-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_inferior-labial-gland-arteriole	inferior labial gland arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
internal primary capillary plexus of median eminence	https://purl.org/ccf/ASCTB-TEMP_internal-primary-capillary-plexus-of-median-eminence	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_external-primary-capillary-plexus-of-median-eminence	external primary capillary plexus of median eminence	Parent not yet in UBERON; subagent should search OLS4 for correct parent
lobular capillary of pancreas	https://purl.org/ccf/ASCTB-TEMP_lobular-capillary-of-pancreas	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_intralobular-arteriole-of-pancreas	intralobular arteriole of pancreas	Parent not yet in UBERON; subagent should search OLS4 for correct parent
mandibular pulp capillary	https://purl.org/ccf/ASCTB-TEMP_mandibular-pulp-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_mandibular-pulp-arteriole	mandibular pulp arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
maxillary pulp capillary	https://purl.org/ccf/ASCTB-TEMP_maxillary-pulp-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_maxillary-pulp-arteriole	maxillary pulp arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
palatine gland capillary	https://purl.org/ccf/ASCTB-TEMP_palatine-gland-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_palatine-gland-arteriole	palatine gland arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
palatine tonsil capillary	https://purl.org/ccf/ASCTB-TEMP_palatine-tonsil-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_palatine-tonsil-arteriole	palatine tonsil arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
periductal capillary of accessory pancreatic duct	https://purl.org/ccf/ASCTB-TEMP_periductal-capillary-of-accessory-pancreatic-duct	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_periductal-arteriole-of-accessory-pancreatic-duct	periductal arteriole of accessory pancreatic duct	Parent not yet in UBERON; subagent should search OLS4 for correct parent
