iri,label,gland,gland label
UBERON:0001263,"pancreatic acinus",UBERON:0000017,"exocrine pancreas"
UBERON:0004000,"tarsal gland acinus",UBERON:0001818,"tarsal gland"
UBERON:0011846,"acinus of sebaceous gland",UBERON:0001821,"sebaceous gland"
UBERON:0011847,"acinus of parotid gland",UBERON:0001831,"parotid gland"
UBERON:0011850,"acinus of salivary gland",UBERON:0001044,"saliva-secreting gland"
UBERON:0011854,"acinus of areolar gland",UBERON:0011827,"areolar gland"
UBERON:0011856,"acinus of lactiferous gland",UBERON:0001911,"mammary gland"
UBERON:0011857,"acinus of lacrimal gland",UBERON:0001817,"lacrimal gland"
UBERON:0011858,"acinus of exocrine gland",UBERON:0002365,"exocrine gland"
UBERON:0013232,"serous acinus",UBERON:0000409,"serous gland"
UBERON:0014717,"mucous acinus",UBERON:0000414,"mucous gland"
UBERON:0015785,"acinus of olfactory gland",UBERON:0002232,"olfactory gland"
