table	as_iri	label	uberon_id	parent_id	parent_label	references	term_type
brain	https://purl.org/ccf/ASCTB-TEMP_amygdaloid-complex	amygdaloid complex		UBERON:0019264	gray matter of forebrain	https://doi.org/10.1101/2022.10.12.511898	leaf
brain	https://purl.org/ccf/ASCTB-TEMP_atrium-of-lateral-ventricle	atrium of lateral ventricle		UBERON:0002285	telencephalic ventricle		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_body-of-hippocampus	body of hippocampus		UBERON:0002421	hippocampal formation		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_cingulate-gyrus-retrospleninal-part	cingulate gyrus, retrospleninal part		UBERON:0002967	cingulate gyrus		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_extended-amygdala	extended amygdala		UBERON:0001876	amygdala		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_frontomarginal-gyrus	frontomarginal gyrus		UBERON:0016525	frontal lobe		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_head-of-hippocampus	head of hippocampus		UBERON:0002421	hippocampal formation		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_ifj1	ifj1		https://purl.org/ccf/ASCTB-TEMP_inferior-frontal-junction	inferior frontal junction		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_ifj2	ifj2		https://purl.org/ccf/ASCTB-TEMP_inferior-frontal-junction	inferior frontal junction		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_ifs1	ifs1		UBERON:0002761	inferior frontal sulcus		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_ifs2	ifs2		UBERON:0002761	inferior frontal sulcus		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_ifs3	ifs3		UBERON:0002761	inferior frontal sulcus		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_ifs4	ifs4		UBERON:0002761	inferior frontal sulcus		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_inferior-frontal-junction	inferior frontal junction		UBERON:0016525	frontal lobe		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_occipitoparietal-transition-region	occipitoparietal transition region		UBERON:0002021	occipital lobe		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_occipitotemporal-fusiform-gyrus-occipital-part	occipitotemporal (fusiform) gyrus, occipital part		UBERON:0002021	occipital lobe		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_occipitotemporal-transition-region	occipitotemporal transition region		UBERON:0002021	occipital lobe		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_septal-nuclei	septal nuclei		UBERON:0002743	basal forebrain		leaf
brain	https://purl.org/ccf/ASCTB-TEMP_thalamus	thalamus		UBERON:0019264	gray matter of forebrain	https://doi.org/10.1101/2022.10.12.511898	leaf
