uberon
Ontology Comparison Report
==========================

Files used:
- file 1 (old): uberon-lastbuild.obo; data version: releases/2013-03-24
- file 2 (new): uberon.obo; data version: releases/2013-04-20

NEW TERMS
=========

ID	name	namespace
UBERON:0013688	tonsil germinal center	
UBERON:0013689	appendix lymphoid tissue	
UBERON:0013691	buttock	
UBERON:0013692	inframammary fold	
UBERON:0013693	cerebral cortex neuropil	
UBERON:0013694	brain endothelium	
UBERON:0013695	colon endothelium	
UBERON:0013696	tonsil epithelium	
UBERON:0013697	exocrine pancreas epithelium	
UBERON:0013698	strand of pubic hair	
UBERON:0013699	strand of axillary hair	
UBERON:0013700	axial musculature	
UBERON:0013701	main body axis	
UBERON:0013702	body proper	
UBERON:0013703	integumentary projection	


OBSOLETIONS
===========
UBERON:0005894, locomotive weight-bearing appendage


TERM MERGES
===========

None


TERM CHANGES
============

KEY:  'A' : added, 'D' : deleted, 'C' : changed

Term ID	name	def	comment	subset	synonym	xref	is_a	intersection_of	union_of	disjoint_from	relationship	is_obsolete	consider	
UBERON:0000002						1 A								
UBERON:0000004						1 A								
UBERON:0000006						1 A								
UBERON:0000007						1 A								
UBERON:0000010						1 A								
UBERON:0000011						1 A								
UBERON:0000013						1 A								
UBERON:0000016						1 A								
UBERON:0000017						1 A								
UBERON:0000020						1 A								
UBERON:0000021						1 A	1 D, 1 A							
UBERON:0000026		C	C		1 D, 1 A									
UBERON:0000029						1 A								
UBERON:0000033						1 A								
UBERON:0000038						1 A								
UBERON:0000043						1 A								
UBERON:0000044						1 A								
UBERON:0000045						1 A								
UBERON:0000056						1 A								
UBERON:0000057						1 A								
UBERON:0000059						1 A								
UBERON:0000062										1 A				
UBERON:0000074						1 A								
UBERON:0000079						1 A								
UBERON:0000080						1 A								
UBERON:0000088						1 A								
UBERON:0000159						1 A								
UBERON:0000160						1 A								
UBERON:0000165						1 A								
UBERON:0000167						1 A								
UBERON:0000173						1 A								
UBERON:0000178						1 A								
UBERON:0000180						1 A								
UBERON:0000211						1 A								
UBERON:0000305						1 A								
UBERON:0000310						1 A								
UBERON:0000317						1 A								
UBERON:0000320						1 A								
UBERON:0000326						1 A								
UBERON:0000329						1 A								
UBERON:0000331						1 A								
UBERON:0000344						1 A								
UBERON:0000347						1 A								
UBERON:0000349						1 A								
UBERON:0000358						1 A								
UBERON:0000359						1 A								
UBERON:0000362						1 A								
UBERON:0000365						1 A								
UBERON:0000376						1 A								
UBERON:0000389						1 A								
UBERON:0000391						1 A								
UBERON:0000397						1 A								
UBERON:0000399						1 A								
UBERON:0000400						1 A								
UBERON:0000402						1 A								
UBERON:0000403						1 A								
UBERON:0000407						1 A								
UBERON:0000411						1 A								
UBERON:0000412						1 A								
UBERON:0000428						1 A								
UBERON:0000439		C			1 A	1 A		2 A						
UBERON:0000467						1 A								
UBERON:0000468					3 D, 1 A	1 D								
UBERON:0000473						1 A								
UBERON:0000474						1 A								
UBERON:0000475						1 A								
UBERON:0000478						1 A								
UBERON:0000479						1 A								
UBERON:0000483						1 A								
UBERON:0000912						1 A								
UBERON:0000916						1 A								
UBERON:0000922						1 A								
UBERON:0000924						1 A								
UBERON:0000925						1 A								
UBERON:0000926						1 A								
UBERON:0000941						1 A								
UBERON:0000945						1 A								
UBERON:0000947						1 A								
UBERON:0000948						1 A								
UBERON:0000949						1 A								
UBERON:0000955						1 A								
UBERON:0000956						1 A								
UBERON:0000964						1 A								
UBERON:0000965						1 A								
UBERON:0000966						1 A								
UBERON:0000970						1 A								
UBERON:0000972							1 D, 1 A							
UBERON:0000974						1 A								
UBERON:0000975						1 A								
UBERON:0000976						1 A								
UBERON:0000977						1 A								
UBERON:0000978						1 A								
UBERON:0000979						1 A								
UBERON:0000981						1 A								
UBERON:0000983						1 A								
UBERON:0000987							1 D, 1 A							
UBERON:0000988						1 A								
UBERON:0000989						1 A								
UBERON:0000990						1 A								
UBERON:0000992						1 A								
UBERON:0000995						1 A								
UBERON:0000996						1 A								
UBERON:0000997						1 A								
UBERON:0000998						1 A								
UBERON:0000999						1 A								
UBERON:0001000						1 A								
UBERON:0001003						1 A								
UBERON:0001004						1 A								
UBERON:0001007						1 A								
UBERON:0001008						1 A								
UBERON:0001009						1 A								
UBERON:0001013						1 A								
UBERON:0001016						1 A								
UBERON:0001017						1 A								
UBERON:0001037						1 A								
UBERON:0001040						1 A								
UBERON:0001043						1 A								
UBERON:0001044						1 A								
UBERON:0001049						1 A								
UBERON:0001051						1 A								
UBERON:0001052						1 A								
UBERON:0001088						1 A								
UBERON:0001090						1 A								
UBERON:0001091						1 A								
UBERON:0001103						1 A								
UBERON:0001124						1 A								
UBERON:0001132						1 A								
UBERON:0001133						1 A								
UBERON:0001134						1 A								
UBERON:0001135						1 A								
UBERON:0001136						1 A								
UBERON:0001137						1 A								
UBERON:0001153						1 A								
UBERON:0001154						1 A								
UBERON:0001155						1 A								
UBERON:0001156						1 A								
UBERON:0001157						1 A								
UBERON:0001158						1 A								
