ClassID	ClassLabel	RO_0002496 existence starts during or after ID	RO_0002496 existence starts during or after Label	RO_0002497 existence ends during or before ID	RO_0002497 existence ends during or before Label
AEO:0000013	single-cell tissue	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000127	apoptosing developing anatomical entity	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000129	functioning and developing structure	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000131	developing structure with stem cells	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000153	mesenchymal tissue with stem cells	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000162	ridge				
AEO:0000173	surface sense organ	HsapDv:0000024	CS17 (human)	UBERON:0000066	fully formed stage
AEO:0000180	non-joint-associated cartilage	HsapDv:0000022	Carnegie stage 15 (human)	UBERON:0000066	fully formed stage
AEO:0000185	exoskeletal tissue	HsapDv:0000022	Carnegie stage 15 (human)	UBERON:0000066	fully formed stage
AEO:0000187	multi-tissue structure with stem cells	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000188	acellular fluid anatomical entity	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000189	epithelial tissue with stem cells	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000196	larval anatomical structure	UBERON:0000106|UBERON:0000069	zygote stage|larval stage	UBERON:0000069|UBERON:0000071	larval stage|death stage
AEO:0000210	row	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000211	non-connected developing functional system	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000215	open cavity				
AEO:0000217	migrating developing tissue	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0000493	fat tissue	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0001003	acellular extracellular matrix	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0001006	excreta	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0001007	developing epithelium	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0001013	neuronal column	HsapDv:0000018	CS11 (human)	UBERON:0000066	fully formed stage
AEO:0001014	differentiating neuronal condensation	HsapDv:0000018	CS11 (human)	UBERON:0000071	death stage
AEO:0001019	developing germ cell population	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0001020	reproductive cell population	UBERON:0000106	zygote stage	UBERON:0000071	death stage
AEO:0001021	stem cell population	UBERON:0000106	zygote stage	UBERON:0000071	death stage
BFO:0000030	object				
BFO:0000040	material entity				
CARO:0000048	gonochoristic organism	UBERON:0000106	zygote stage	UBERON:0000071	death stage
CARO:0000049	protandrous hermaphroditic organism	UBERON:0000106	zygote stage	UBERON:0000071	death stage
CARO:0000050	protogynous hermaphroditic organism	UBERON:0000106	zygote stage	UBERON:0000071	death stage
CARO:0000062	cell space				
