ID	LABEL	Definition	def_xref	genus	location	In_subset	Date	Contributor	Present_in_taxon	Wikipedia_image	xref
ID	LABEL	A IAO:0000115	>A oboInOwl:hasDbXref SPLIT=|	EC %	EC BFO:0000050 some %	AI oboInOwl:inSubset	AT dcterms:date^^xsd:dateTime	AI dcterms:contributor	AI RO:0002175	A foaf:depiction	A oboInOwl:hasDbXref SPLIT=|
http://purl.obolibrary.org/obo/UBERON_9900002	anterior vertebral muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_anterior-vertebral-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900007	circular pharyngeal muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_circular-pharyngeal-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900011	dorsum of foot muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_dorsum-of-foot-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900013	external ear muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|https://purl.org/ccf/ASCTB-TEMP_external-ear-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900016	hypothenar hand muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_hypothenar-hand-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900020	intermediate back muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_intermediate-back-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900024	intrinsic eye muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_intrinsic-eye-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900027	lateral vertebral muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_lateral-vertebral-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900032	longitudinal pharyngeal muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_longitudinal-pharyngeal-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900036	middle ear muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_middle-ear-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900040	muscle of facial expression	[PENDING]	https://fipat.library.dal.ca/ta2/|https://purl.org/ccf/ASCTB-TEMP_muscle-of-facial-expression			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900044	palmar interosseous muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_palmar-interosseous-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900045	pelvic floor muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|https://purl.org/ccf/ASCTB-TEMP_pelvic-floor-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900046	plantar interosseous muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_plantar-interosseous-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900047	posterior abdominal wall muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_posterior-abdominal-wall-muscle			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
