1	Nervous system	NS	
1.1	Cerebrospinal axis	CSA	"This is the ""old"" CNS. The term is preferred for structural/topographical nomenclatures."
1.1.1	Cerebral cortex	CTX	layers 1-6.
1.1.1.1	Primary visual cortex	VISp	"The primary and associative sensory and motor cortices are assumed to be common across mammals, even though there may be specific cases such as moles. The cortex of marine mammals also needs to be clarified."
1.1.1.2	Associative visual cortex	VISa	"The primary, associative sensory and motor cortices are assumed to be common across mammals, even though there may be specific cases such as moles. The cortex of marine mammals also needs to be clarified."
1.1.1.3	Primary auditory cortex	AUDp	"The primary sensory and motor cortices are assumed to be common across mammals, even though there may be specific cases such as moles. The cortex of marine mammals also needs to be clarified."
1.1.1.4	Associative auditory cortex	AUDa	"The primary and associative sensory and motor cortices are assumed to be common across mammals, even though there may be specific cases such as moles. The cortex of marine mammals also needs to be clarified."
1.1.1.5	Primary somatosensory cortex	SSp	"The primary sensory and motor cortices are assumed to be common across mammals, even though there may be specific cases such as moles. The cortex of marine mammals also needs to be clarified."
1.1.1.6	Associative somatosensory cortex	SSa	"The primary sensory and motor cortices are assumed to be common across mammals, even though there may be specific cases such as moles. The cortex of marine mammals also needs to be clarified."
1.1.1.7	Primary motor cortex	MOp	"The primary sensory and motor cortices are assumed to be common across mammals, even though there may be specific cases such as moles. The cortex of marine mammals also needs to be clarified. The cerebral cortex can be organized in occipital, parietal, etc. parts, but the landmarks that mark their borders are difficult to "
1.1.1.8	Associative motor cortex	MOa	"The primary sensory and motor cortices are assumed to be common across mammals, even though there may be specific cases such as moles. The cortex of marine mammals also needs to be clarified. The cerebral cortex can be organized in occipital, parietal, etc. parts, but the landmarks that mark their borders are difficult to "
1.1.1.9	Anterior cingulate cortex	ACA	"Defined as the medio-dorsal cortex, rostral to the splenium of the corpus callosum. All mammals have it, except those that do not have a corpus callosum."
1.1.1.10	Posterior cingulate cortex	RSP	"Defined as the medio-dorsal cortex, caudal to the splenium of the corpus callosum. All mammals have it, except those that do not have a corpus callosum. Also known as retrosplenial cortex (RSP)."
1.1.1.11	Medial cortex	Mctx	"The cortex of the medial side of the brain, ventral from anterior cingulate cortex. It would include the prelimbic, infralimbic, and possibly some common orbital cortices."
1.1.1.12	Olfactory bulb	OB 	Not really necessary.
1.1.1.12.1	Main olfactory bulb	MOB	
1.1.1.12.2	Accessory (vomeronasal) olfactory bulb	AOB	
1.1.1.12.3	Anterior olfactory nucleus	AON	"It is divided in several nuclei, but they are species-specific."
1.1.1.13	Hippocampal formation	HIP	
1.1.1.13.1	Dentate gyrus	DG	
1.1.1.13.2	CA1 field	CA1	
1.1.1.13.3	CA2 field	CA2	
1.1.1.13.4	CA3 field	CA3	
1.1.1.13.5	Subiculum	Sub	
1.1.1.14	Insula	INS	"Possibly to be subdivided, includes the taste and pain-related cortical regions."
1.1.1.15	Piriform cortex	PIR	
1.1.1.16	Entorhinal cortex	ENT	
1.1.1.17	Claustrum	CLA	"layer 7, or 6a. Same for EP."
1.1.1.18	Endopiriform nucleus	EP	Usually divided into ventral and dorsal nuclei
1.1.1.19	Amygdala	Amy	"Heterogeneous brain region, made of variable numbers of regions (nuclei). Considered here as separate brain part, under cerebral cortex, but not sure whether is best."
1.1.1.19.1	Cortical amygdala	COA	"The first three parts of the amygdala are defined topographically and hodologically. The reason for this approach is the structural-topographic character of this nomenclature. A different way to divide the amygdala would be in the cortical subplate nuclei, the cortical nuclei, the striatal part of the amygdala, the olfactory amygdala, etc."
1.1.1.19.2	Medial amygdala	MEA	"The first three parts of the amygdala are defined topographically and hodologically. The reason for this approach is the structural-topographic character of this nomenclature. A different way to divide the amygdala would be in the cortical subplate nuclei, the cortical nuclei, the striatal part of the amygdala, the olfactory amygdala, etc."
1.1.1.19.3	Central amygdala	CEA	"The first three parts of the amygdala are defined topographically and hodologically. The reason for this approach is the structural-topographic character of this nomenclature. A different way to divide the amygdala would be in the cortical subplate nuclei, the cortical nuclei, the striatal part of the amygdala, the olfactory amygdala, etc."
1.1.1.19.4	Olfactory amygdala	OlfA	Consists of the amygdalar nuclei that receive either olfactory or vomeronasal inputs and are not included in the three topographical parts above.
1.1.1.19.5	Fronto-parietal amygdala	FPA	"The term is borrowed from Butler and Hodos 1996 (see Fig. 19-20, page360). Includes those nuclei that share consistent connections with the lateral cortex and frontal cortex, the lateral amygdalar nucleus and the anterior part of the basolateral amygdalar nucleus."
1.1.1.19.5.1	Lateral amygdala	LA	
1.1.1.19.5.2	Basolateral complex	BL	
1.1.2	Cerebral nuclei	CNU	
1.1.3.1	Striatum	STR	
1.1.3.1.1	Dorsal striatum	CP	"Also called caudo-putamen, while in more evolved mammals divided in caudate and putamen. The abbreviation is from the caudate-putamen."
1.1.3.1.2	Ventral striatum	STRv	"In rats, STRv also contains the fundus of the striatum (FS), which sometimes is partially overlapping with the rostral substantia innominata. Not sure whether all mammals have the FS."
1.1.3.1.2.1	Nucleus accumbens	ACB	Some authors further subdivide it into a core and a shell. Not sure whether all mammals have these 2 subdivisions clearly separated.
1.1.3.1.2.2	Olfactory tubercle	OT	
1.1.3.1.2.3	Septum (lateral part)	LS	Sometimes called medial striatum.
1.1.3.1.2.4	Meynert's nucleus	MA	
1.1.2.2	Pallidum	PAL	
1.1.2.2.1	Globus pallidus	GP	Sometimes called the dorsal pallidum.
1.1.2.2.1.1	Globus pallidus external part	GPex	"Some authors use the latin version: ""pars externa"". Also called the lateral part of the globus pallidus."
1.1.2.2.1.2	Globus pallidus internal part	GPin	"Some authors use the latin version: ""pars internal"". Also called the medial part of the globus pallidus. "
1.1.2.2.1.3	Globus pallidus ventral part	GPv	
1.1.2.2.3	Septum (medial part)	MS	
1.1.2.2.4	Nucleus of diagonal band (of Broca)	NDB	
1.1.2.2.5	Substantia innominata	SI	
1.1.2.2.6	Islands of Calleja	IS	"They are intercalated into SI, but are distinct regions. May be further subdivided into major island of calleja et al."
1.1.2.2.7	Bed nuclei of the stria terminalis	BST	"Makes (or is included) the rostral part of the pallidum. BST, as amygdala, is a heterogeneous collection of nuclei, which are divided in different ways, depending on the criteria. Need to check several species"
1.1.3	Brainstem	BS	
1.1.3.1	Diencephalon	IB	"The English translation would be ""between-brain"", or interbrain."
1.1.3.1.1	Thalamus	TH	
1.1.3.1.1.1	Dorsal thalamus	DOR	
1.1.3.1.1.1.1	"Dorsal thalamus, lateral group"	DORl	
1.1.3.1.1.1.1.1	Lateral dorsal nucleus	LD	
1.1.3.1.1.1.1.2	Lateral posterior nucleus	LP	"In monkeys and apes, LP is replaced by the pulvinar nucleus. "
1.1.3.1.1.1.1.3	Posterior nuclear nucleus	PO	
1.1.3.1.1.1.2	"Dorsal thalamus, ventral group"	DORv	The sizes and numbers of the thalamic nuclei in this group depends by species.
1.1.3.1.1.2.2.1	Ventral-anterior nucleus of the thalamus	VA	
1.1.3.1.1.2.2.2	Ventral-lateral nucleus of the thalamus	VL	
1.1.3.1.1.2.2.3	Ventral-medial nucleus of the thalamus	VM	
