label	as_iri	issue_type	parent_id	parent_label	detail
central anterior fundus of uterus	https://purl.org/ccf/ASCTB-TEMP_central-anterior-fundus-of-uterus	unknown_parent	FMA:17561	Fundus of uterus	Unrecognised parent ID format
central anterior lower uterine segment	https://purl.org/ccf/ASCTB-TEMP_central-anterior-lower-uterine-segment	unknown_parent		lower uterine segment	Unrecognised parent ID format
central posterior fundus of uterus	https://purl.org/ccf/ASCTB-TEMP_central-posterior-fundus-of-uterus	unknown_parent	FMA:17561	Fundus of uterus	Unrecognised parent ID format
central posterior lower uterine segment	https://purl.org/ccf/ASCTB-TEMP_central-posterior-lower-uterine-segment	unknown_parent		lower uterine segment	Unrecognised parent ID format
left anterior fundus of uterus	https://purl.org/ccf/ASCTB-TEMP_left-anterior-fundus-of-uterus	unknown_parent	FMA:17561	Fundus of uterus	Unrecognised parent ID format
left anterior lower uterine segment	https://purl.org/ccf/ASCTB-TEMP_left-anterior-lower-uterine-segment	unknown_parent		lower uterine segment	Unrecognised parent ID format
left posterior fundus of uterus	https://purl.org/ccf/ASCTB-TEMP_left-posterior-fundus-of-uterus	unknown_parent	FMA:17561	Fundus of uterus	Unrecognised parent ID format
left posterior lower uterine segment	https://purl.org/ccf/ASCTB-TEMP_left-posterior-lower-uterine-segment	unknown_parent		lower uterine segment	Unrecognised parent ID format
right anterior fundus of uterus	https://purl.org/ccf/ASCTB-TEMP_right-anterior-fundus-of-uterus	unknown_parent	FMA:17561	Fundus of uterus	Unrecognised parent ID format
right anterior lower uterine segment	https://purl.org/ccf/ASCTB-TEMP_right-anterior-lower-uterine-segment	unknown_parent		lower uterine segment	Unrecognised parent ID format
right posterior fundus of uterus	https://purl.org/ccf/ASCTB-TEMP_right-posterior-fundus-of-uterus	unknown_parent	FMA:17561	Fundus of uterus	Unrecognised parent ID format
right posterior lower uterine segment	https://purl.org/ccf/ASCTB-TEMP_right-posterior-lower-uterine-segment	unknown_parent		lower uterine segment	Unrecognised parent ID format
