label	as_iri	uberon_id	note
anterior vertebral muscle		UBERON:0008549	confirmed_match (confidence: high)
circular pharyngeal muscle		UBERON:0001569	confirmed_match (confidence: high)
lateral vertebral muscle		UBERON:0008611	confirmed_match (confidence: high)
hypothenar hand muscle		UBERON:0014377	confirmed_match (confidence: high)
palmar interosseous muscle		UBERON:0006505	confirmed_match (confidence: high)
plantar interosseous muscle		UBERON:0006502	confirmed_match (confidence: high)
spinotransversales muscle		UBERON:0002252	confirmed_match (confidence: high)
muscle of facial expression		UBERON:0001577	confirmed_match (confidence: high)
intrinsic eye muscle		UBERON:0011222	confirmed_match (confidence: high)
respiratory diaphragm muscle		UBERON:0001103	confirmed_match (confidence: high)
tibalis anterior muscle		UBERON:0001385	confirmed_match (confidence: high)
tibalis posterior muscle		UBERON:0001667	confirmed_match (confidence: high)
left crus of lumbar part of respiratory diaphragm muscle		UBERON:0014767	confirmed_match (confidence: high)
aryepiglottic part of oblique arytenoid muscle		UBERON:0011025	confirmed_match (confidence: high)
thyroepiglottic part of thyroarytenoid muscle		UBERON:0010927	confirmed_match (confidence: high)
thyropharyngeal part of inferior pharyngeal constrictor muscle		UBERON:0010936	confirmed_match (confidence: high)
right crus of lumbar part of respiratory diaphragm muscle		UBERON:0014766	confirmed_match (confidence: high)
costal part of respiratory diaphragm muscle		UBERON:0035831	confirmed_match (confidence: high)
iliocostalis cervicalis muscle		UBERON:0008546	confirmed_match (confidence: high)
pteryopharyngeal part of superior pharyngeal constrictor muscle		UBERON:0010956	confirmed_match (confidence: high)
ceratoglossus of hyoglossus muscle		UBERON:0008428	confirmed_match (confidence: high)
chondroglossus of hyoglossus muscle		UBERON:0011535	confirmed_match (confidence: high)
superior longitudinal lingual muscle		UBERON:0008582	confirmed_match (confidence: high)
transverse muscle		UBERON:0008583	confirmed_match (confidence: high)
vertical muscle		UBERON:0008584	confirmed_match (confidence: high)
opponens digiti minimi muscle		UBERON:0036176	confirmed_match (confidence: high)
levator costarum muscle		UBERON:8410070	confirmed_match (confidence: high)
external anal sphincter muscle		UBERON:0001367	confirmed_match (confidence: high)
tensor fascia latae muscle		UBERON:0001376	confirmed_match (confidence: high)
longus capitus muscle		UBERON:0001563	confirmed_match (confidence: high)
spermatic cord muscle		UBERON:0008488	confirmed_match (confidence: high)
sphincter urethrae muscle		UBERON:0004917	confirmed_match (confidence: high)
musculus uvulae muscle		UBERON:0010235	confirmed_match (confidence: high)
internal abdominal oblique muscle		UBERON:0005454	confirmed_match (confidence: high)
frontal belly of occipitofrontalis muscle		UBERON:0010952	confirmed_match (confidence: high)
rectus capitus anterior muscle		UBERON:0008453	confirmed_match (confidence: high)
occipital belly of occipitofrontalis muscle		UBERON:0010947	confirmed_match (confidence: high)
splenius capitus muscle		UBERON:0000711	confirmed_match (confidence: high)
rectus capitius posterior minor muscle		UBERON:0008455	confirmed_match (confidence: high)
