table	as_iri	label	term_type	source_parent_id	source_parent_label	status	mapped_uberon_id	mapped_label	label_correction	label_correction_reason	parent_correction	parent_correction_label	mapping_evidence	curator_notes
muscular-system	https://purl.org/ccf/ASCTB-TEMP_anterior-cervical-intertransversarii-muscle	anterior cervical intertransversarii muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	new_term_leaf	UBERON:9900001	(new term: anterior cervical intertransversarii muscle)			UBERON:0006072	cervical region of vertebral column		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_anterior-vertebral-muscle	anterior vertebral muscle	group	UBERON:0002377	muscle of neck	confirmed_match	UBERON:0008549	prevertebral muscle						
muscular-system	https://purl.org/ccf/ASCTB-TEMP_articularis-genu-muscle	articularis genu muscle	leaf	http://purl.org/sig/ont/fma/fma22424	Muscle of anterior compartment of thigh	new_term_leaf	UBERON:9900003	(new term: articularis genu muscle)			UBERON:0000376	hindlimb stylopod		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_aryepiglottic-part-of-oblique-arytenoid-muscle	aryepiglottic part of oblique arytenoid muscle	leaf	http://purl.org/sig/ont/fma/fma46583	Oblique arytenoid	confirmed_match	UBERON:0011025	aryepiglotticus muscle					UBERON:0011025 'aryepiglotticus muscle' already records the exact synonym 'ary-epiglottic part of oblique arytenoid' with xref FMA:46602, and is asserted part_of UBERON:0008575 (oblique arytenoid, FMA:46583). The source FMA parent FMA:46583 maps to UBERON:0008575. No new term required.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_ceratoglossus-of-hyoglossus-muscle	ceratoglossus of hyoglossus muscle	leaf	UBERON:0001572	hyoglossus muscle	confirmed_match	UBERON:0008428	ceratoglossus					Source label 'ceratoglossus of hyoglossus muscle' is a longer descriptive variant of the UBERON primary label 'ceratoglossus' (synonym 'ceratoglossus muscle'). Same structure: a named subdivision of the hyoglossus muscle. Excluded from new-term template; the source label could optionally be added as a RELATED synonym to UBERON:0008428.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_chondroglossus-of-hyoglossus-muscle	chondroglossus of hyoglossus muscle	leaf	UBERON:0001572	hyoglossus muscle	confirmed_match	UBERON:0011535	chondroglossus muscle					Source label 'chondroglossus of hyoglossus muscle' is a descriptive variant of the UBERON primary label 'chondroglossus muscle'. Same structure: a subdivision of (or muscle slip associated with) the hyoglossus. Excluded from new-term template; the source label could optionally be added as a RELATED synonym to UBERON:0011535.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_circular-pharyngeal-muscle	circular pharyngeal muscle	group	UBERON:0002377	muscle of neck	confirmed_match	UBERON:0001569	constrictor muscle of pharynx						
muscular-system	https://purl.org/ccf/ASCTB-TEMP_clavicular-head-of-pectoralis-major-muscle	clavicular head of pectoralis major muscle	leaf	UBERON:0002381	pectoralis major	new_term_leaf	UBERON:9900008	(new term: clavicular head of pectoralis major muscle)			UBERON:0002381	pectoralis major		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_costal-part-of-respiratory-diaphragm-muscle	costal part of respiratory diaphragm muscle	leaf	UBERON:0000975	sternum	confirmed_match	UBERON:0035831	costal diaphragm					UBERON:0035831 has EXACT synonym 'costal part of diaphragm' (FMA:58277). The source label 'respiratory diaphragm muscle' resolves to UBERON:0001103 (diaphragm), which has 'diaphragm muscle' as an EXACT synonym. Therefore 'costal part of respiratory diaphragm muscle' = 'costal part of diaphragm' = UBERON:0035831. FMA xref also aligns (FMA:58277).	Supplied parent UBERON:0000975 is 'sternum' — wrong anatomical domain for a part of the diaphragm. The correct parent for a costal-diaphragm subdivision is UBERON:0001103 (diaphragm). The existing UBERON term UBERON:0035831 (costal diaphragm) already has 'part_of UBERON:0001103'. || SUGGESTION: Use UBERON:0001103 (diaphragm) as the parent. No new term needed: confirmed match to UBERON:0035831 makes this term ineligible for the leaf template.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_dorsal-part-of-intertransversarii-laterales-lumborum-muscle	dorsal part of intertransversarii laterales lumborum muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_meningohypophyseal-artery	meningohypophyseal artery	new_term_leaf	UBERON:9900010	(new term: dorsal part of intertransversarii laterales lumborum muscle)			UBERON:0001137	dorsum		Source-supplied parent label 'meningohypophyseal artery' is wrong-domain (a cranial artery cannot parent a lumbar back muscle) and is clearly a data-entry error in the input. The parent muscle 'intertransversarii laterales lumborum' (FMA:32576 / FMA:32577) and the higher class 'intertransversarii lumborum' do not yet exist in UBERON, so no exact named-muscle parent is available; the dorsal part has been placed under genus UBERON:0001630 (muscle organ) and part_of UBERON:0001137 (dorsum/back) by analogy with other deep back muscles such as longissimus, spinalis, and rotator muscle of the vertebral column. The bone-landmark 'accessory process of lumbar vertebra' is not in UBERON, so the more general UBERON:0001077 (transverse process of vertebra) is used for has_muscle_origin (the accessory process is a small projection on the posterior aspect of the transverse process region). || SUGGESTION: Curator should: (1) consider adding parent terms 'intertransversarii lumborum muscle group' and 'intertransversarii laterales lumborum muscle' to UBERON (FMA:32576, FMA:32577) so this dorsal part can be made part_of its true named-muscle parent; (2) optionally add 'accessory process of lumbar vertebra' (FMA:34047) for a more precise has_muscle_origin; (3) consider whether a 'muscle of vertebral column' is_a (UBERON:0004518) is preferable to the generic muscle organ once the parent muscle exists.
