label	as_iri	issue_type	parent_id	parent_label	detail
anterior cervical intertransversarii muscle	https://purl.org/ccf/ASCTB-TEMP_anterior-cervical-intertransversarii-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
articularis genu muscle	https://purl.org/ccf/ASCTB-TEMP_articularis-genu-muscle	fma_parent	FMA:22424	Muscle of anterior compartment of thigh	Subagent should resolve FMA→UBERON via OLS4
aryepiglottic part of oblique arytenoid muscle	https://purl.org/ccf/ASCTB-TEMP_aryepiglottic-part-of-oblique-arytenoid-muscle	fma_parent	FMA:46583	Oblique arytenoid	Subagent should resolve FMA→UBERON via OLS4
dorsal part of intertransversarii laterales lumborum muscle	https://purl.org/ccf/ASCTB-TEMP_dorsal-part-of-intertransversarii-laterales-lumborum-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_meningohypophyseal-artery	meningohypophyseal artery	Parent not yet in UBERON; subagent should search OLS4 for correct parent
dorsum of foot muscle	https://purl.org/ccf/ASCTB-TEMP_dorsum-of-foot-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	intertransversarii laterales lumborum muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
inferior head of lateral pterygoid muscle	https://purl.org/ccf/ASCTB-TEMP_inferior-head-of-lateral-pterygoid-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_supraperiosteal-arteriole	supraperiosteal arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
intertransversarii laterales lumborum muscle	https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
intrinsic eye muscle	https://purl.org/ccf/ASCTB-TEMP_intrinsic-eye-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_posterolateral-spinal-vein	posterolateral spinal vein	Parent not yet in UBERON; subagent should search OLS4 for correct parent
left crus of lumbar part of respiratory diaphragm muscle	https://purl.org/ccf/ASCTB-TEMP_left-crus-of-lumbar-part-of-respiratory-diaphragm-muscle	fma_parent	FMA:323951	Pre-aortic thoracic lymph node group	Subagent should resolve FMA→UBERON via OLS4
levatores costarum breves of levator costarum muscle	https://purl.org/ccf/ASCTB-TEMP_levatores-costarum-breves-of-levator-costarum-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_thoracic-wall-muscle	thoracic wall muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
