table	as_iri	label	uberon_id	parent_id	parent_label	references
muscular-system	https://purl.org/ccf/ASCTB-TEMP_anterior-cervical-intertransversarii-muscle	anterior cervical intertransversarii muscle		https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_anterior-vertebral-muscle	anterior vertebral muscle		UBERON:0002377	muscle of neck	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_articularis-genu-muscle	articularis genu muscle		http://purl.org/sig/ont/fma/fma22424	Muscle of anterior compartment of thigh	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_aryepiglottic-part-of-oblique-arytenoid-muscle	aryepiglottic part of oblique arytenoid muscle		http://purl.org/sig/ont/fma/fma46583	Oblique arytenoid	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_ceratoglossus-of-hyoglossus-muscle	ceratoglossus of hyoglossus muscle		UBERON:0001572	hyoglossus muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_chondroglossus-of-hyoglossus-muscle	chondroglossus of hyoglossus muscle		UBERON:0001572	hyoglossus muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_circular-pharyngeal-muscle	circular pharyngeal muscle		UBERON:0002377	muscle of neck	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_clavicular-head-of-pectoralis-major-muscle	clavicular head of pectoralis major muscle		UBERON:0002381	pectoralis major	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_costal-part-of-respiratory-diaphragm-muscle	costal part of respiratory diaphragm muscle		UBERON:0000975	sternum	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_dorsal-part-of-intertransversarii-laterales-lumborum-muscle	dorsal part of intertransversarii laterales lumborum muscle		https://purl.org/ccf/ASCTB-TEMP_meningohypophyseal-artery	meningohypophyseal artery	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_dorsum-of-foot-muscle	dorsum of foot muscle		https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	intertransversarii laterales lumborum muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_external-anal-sphincter-muscle	external anal sphincter muscle		UBERON:0001876	amygdala	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_external-ear-muscle	external ear muscle		UBERON:0001678	temporal bone	https://fipat.library.dal.ca/ta2/
muscular-system	https://purl.org/ccf/ASCTB-TEMP_frontal-belly-of-occipitofrontalis-muscle	frontal belly of occipitofrontalis muscle		UBERON:0005893	leg bone	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_hamstring-portion-of-adductor-magnus-muscle	hamstring portion of adductor magnus muscle		UBERON:0001092	vertebral bone 1	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_hypothenar-hand-muscle	hypothenar hand muscle		UBERON:0001677	sphenoid bone	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_iliocostalis-cervicalis-muscle	iliocostalis cervicalis muscle		UBERON:0001272	innominate bone	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_inferior-head-of-lateral-pterygoid-muscle	inferior head of lateral pterygoid muscle		https://purl.org/ccf/ASCTB-TEMP_supraperiosteal-arteriole	supraperiosteal arteriole	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_inferior-longitudinal-lingual-muscle	inferior longitudinal lingual muscle		UBERON:0001194	splenic artery	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_intermediate-back-muscle	intermediate back muscle		UBERON:0002397	maxilla	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_internal-abdominal-oblique-muscle	internal abdominal oblique muscle		UBERON:0003690	fused sacrum	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_interspinales-cervicalis-muscle	interspinales cervicalis muscle		UBERON:0000979	tibia	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	intertransversarii laterales lumborum muscle		https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_intrinsic-eye-muscle	intrinsic eye muscle		https://purl.org/ccf/ASCTB-TEMP_posterolateral-spinal-vein	posterolateral spinal vein	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_lateral-compartmet-of-leg-muscle	lateral compartmet of leg muscle		UBERON:0001537	anterior tibial artery	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_lateral-posterior-cervical-intertransversarii-muscle	lateral posterior cervical intertransversarii muscle		UBERON:0001546	posterior tibial vein	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_lateral-vertebral-muscle	lateral vertebral muscle		UBERON:0002250	popliteal artery	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_left-crus-of-lumbar-part-of-respiratory-diaphragm-muscle	left crus of lumbar part of respiratory diaphragm muscle		http://purl.org/sig/ont/fma/fma323951	Pre-aortic thoracic lymph node group	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_levator-costarum-muscle	levator costarum muscle		UBERON:0001677	sphenoid bone	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_levatores-costarum-breves-of-levator-costarum-muscle	levatores costarum breves of levator costarum muscle		https://purl.org/ccf/ASCTB-TEMP_thoracic-wall-muscle	thoracic wall muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_levatores-costarum-longi-of-levator-costarum-muscle	levatores costarum longi of levator costarum muscle		https://purl.org/ccf/ASCTB-TEMP_levator-costarum-muscle	levator costarum muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_longitudinal-pharyngeal-muscle	longitudinal pharyngeal muscle		https://purl.org/ccf/ASCTB-TEMP_vasa-recta-of-colon	vasa recta of colon	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_longus-capitus-muscle	longus capitus muscle		UBERON:0002377	muscle of neck	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_medial-lumbar-intertransversarii-muscle	medial lumbar intertransversarii muscle		https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_medial-posterior-cervical-intertransversarii-muscle	medial posterior cervical intertransversarii muscle		https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_middle-ear-muscle	middle ear muscle		UBERON:0002376	cranial muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_multifidus-cervicis-muscle	multifidus cervicis muscle		UBERON:0010990	transversospinales muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_multifidus-lumborum-muscle	multifidus lumborum muscle		UBERON:0010990	transversospinales muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_multifidus-thoracis-muscle	multifidus thoracis muscle		UBERON:0010990	transversospinales muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_muscle-of-facial-expression	muscle of facial expression		UBERON:0002376	cranial muscle	https://fipat.library.dal.ca/ta2/
muscular-system	https://purl.org/ccf/ASCTB-TEMP_musculus-uvulae-muscle	musculus uvulae muscle		UBERON:0003682	palatal muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_occipital-belly-of-occipitofrontalis-muscle	occipital belly of occipitofrontalis muscle		https://purl.org/ccf/ASCTB-TEMP_neuromeningeal-trunk	neuromeningeal trunk	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_opponens-digiti-minimi-muscle	opponens digiti minimi muscle		UBERON:0001624	anterior cerebral artery	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_palmar-interosseous-muscle	palmar interosseous muscle		UBERON:0009095	tip of renal papilla	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
