source_group	label_or_field	reason	suggestion
needs_mapping_fma_12252	NEEDS_MAPPING:FMA:12252 (parent)	The supplied FMA parent ID FMA:12252 resolves to 'Subclavian lymphatic trunk' in FMA, which is not anatomically a parent of a diaphragm muscle. Likely an input data error; the correct FMA ID for diaphragm is FMA:13295.	Treat as input error. The term itself is a confirmed match for UBERON:0001103, so the parent mapping question is moot — exclude from template.
needs_mapping_fma_22424	articularis genu muscle (parent FMA:22424)	Source parent FMA:22424 is the articularis genus muscle itself (self-referential mapping in the ASCTB input). No UBERON equivalent exists for this term — it is the new term being created. Genus resolved to UBERON:0001630 (muscle organ) and part_of to UBERON:0000376 (hindlimb stylopod / thigh) by analogy with UBERON:0001379 (vastus lateralis).	Accept the leaf_template_rows mapping; no further FMA→UBERON parent lookup is needed.
needs_mapping_fma_22424	articularis genu muscle has_muscle_insertion	Anatomical insertion is on the suprapatellar bursa / synovial membrane of the knee joint. UBERON currently lacks specific terms for 'suprapatellar bursa' or 'synovial membrane of knee joint capsule'.	Omit has_muscle_insertion for now; curator may add later if/when those structures are added to UBERON.
needs_mapping_fma_323951	_parent_FMA:323951	FMA:323951 (lumbar part of diaphragm) is not directly xref'd in UBERON. The closest UBERON concept is UBERON:0014765 'crus of diaphragm' (which is the lumbar/vertebral part of the diaphragm). Not needed here because the child term itself matches an existing UBERON term.	If a separate UBERON term for the lumbar part of the diaphragm is desired, it could be added with FMA:323951 as xref; otherwise treat UBERON:0014765 as functionally equivalent.
uberon_0000975	__parent_id__	Supplied parent UBERON:0000975 is 'sternum' — wrong anatomical domain for a part of the diaphragm. The correct parent for a costal-diaphragm subdivision is UBERON:0001103 (diaphragm). The existing UBERON term UBERON:0035831 (costal diaphragm) already has 'part_of UBERON:0001103'.	Use UBERON:0001103 (diaphragm) as the parent. No new term needed: confirmed match to UBERON:0035831 makes this term ineligible for the leaf template.
uberon_0000979	interspinales cervicalis muscle	Source-supplied parent_id UBERON:0000979 resolves to 'tibia', which is clearly an upstream data error (interspinales cervicis is a deep neck muscle, not a leg bone). Used anatomical knowledge and similar UBERON deep neck muscles (rectus capitis posterior major UBERON:0008454, longus colli UBERON:0001121, semispinalis cervicis precedent) to determine the appropriate genus and part_of.	Curator should ignore the source UBERON:0000979 parent assignment. The chosen genus 'muscle of vertebral column' (UBERON:0004518) is consistent with other named vertebral-column muscles in UBERON; part_of 'neck' (UBERON:0000974) follows the precedent of rectus capitis posterior major. has_muscle_origin and has_muscle_insertion are both set to UBERON:0001076 (neural spine / spinous process of vertebra) because the muscle spans between adjacent cervical spinous processes; UBERON does not currently have a more specific 'spinous process of cervical vertebra' class. innervated_by is the dorsal ramus of spinal nerve (UBERON:0006839); a more specific 'medial branch of dorsal ramus of cervical spinal nerve' class does not exist in UBERON.
uberon_0001092	hamstring portion of adductor magnus muscle	Source parent UBERON:0001092 (vertebral bone 1 / atlas vertebra) is anatomically incorrect for a thigh muscle subdivision. Refined parent is UBERON:0000370 (adductor magnus), with the term modelled as a muscle head (UBERON:0011906) part_of adductor magnus.	Use UBERON:0000370 as the part_of parent. UBERON:0000370's own definition explicitly describes this 'hamstring portion' as the part arising from the ischial tuberosity.
uberon_0001194	inferior longitudinal lingual muscle	Input parent_id UBERON:0001194 resolves to 'splenic artery' — clearly wrong for this term. Correct parent assigned from anatomical context: UBERON:0001576 'intrinsic muscle of tongue' (genus), mirroring sibling intrinsic tongue muscles (UBERON:0008582 superior longitudinal, UBERON:0008583 transverse, UBERON:0008584 vertical).	Verify upstream parent ID assignment; the source row likely intended UBERON:0001576 (intrinsic muscle of tongue) or UBERON:0000378 (tongue muscle).
uberon_0001537	lateral compartment of leg muscle	Source-supplied parent UBERON:0001537 refers to 'anterior tibial artery', not an anatomical region containing leg muscles — clearly a wrong mapping in the input. No existing UBERON class for 'lateral compartment of leg' (the fascial compartment) was found via awk over uberon-edit.obo, so no part_of target could be populated. Closest precedent term is UBERON:0002463 'muscle of posterior compartment of hindlimb stylopod' which uses is_a UBERON:0014892 (skeletal muscle organ, vertebrate) plus muscle-overlay relations; this term follows that pattern. Conceptually this is a collective/group class (fibularis longus + fibularis brevis); curator may wish to (a) reroute to the groups template and/or (b) first add a new UBERON term for 'lateral compartment of leg' (subdivision of leg) to serve as a proper part_of target.	Curator: confirm name correction; consider creating UBERON term for 'lateral compartment of leg' (fascial compartment) before finalising, then add relationship: part_of <new term>. Alternatively, reclassify as group term with genus UBERON:0014892 and location set to the new compartment term.
uberon_0001546	lateral posterior cervical intertransversarii muscle	Source parent_id UBERON:0001546 resolves to 'posterior tibial vein', which is anatomically incorrect for a cervical paraspinal muscle. No specific UBERON term currently exists for this muscle; closest existing classes are UBERON:0001630 (muscle organ) as genus and UBERON:0004465 (musculature of neck) as collective. Existing 'm. intertransversarius capitis' classes (UBERON:3010664, UBERON:3010667) are amphibian-sourced and not equivalent.	Use UBERON:0001630 (muscle organ) as is_a and UBERON:0000974 (neck) as part_of, with has_muscle_origin/insertion = UBERON:0018143 (transverse process of cervical vertebra) and innervated_by = UBERON:0006838 (ventral ramus of spinal nerve). No real PMID located; rely on existing def_xref (FIPAT TA2 + ISBN:9780323393225 Drake Gray's Anatomy + ASCTB-TEMP placeholder); curator may wish to add a primary anatomical reference such as Standring Gray's Anatomy.
