defined_class	parent_class	jaw_region	laterality	synonym	FMA_xref	FMA_label	taxon	creator	date_created		human_preferred
UBERON:8490026	UBERON:0018577	UBERON:0001709	left	ADA tooth 16|FDI tooth 28	FMA:55701	left upper third secondary molar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490027	UBERON:0018576	UBERON:0001709	left	ADA tooth 15|FDI tooth 27	FMA:55700	left upper second secondary molar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490028	UBERON:0018575	UBERON:0001709	left	ADA tooth 14|FDI tooth 26	FMA:55699	left upper first secondary molar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490029	UBERON:0018572	UBERON:0001709	left	ADA tooth 13|FDI tooth 25	FMA:55691	left upper second secondary premolar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490030	UBERON:0018571	UBERON:0001709	left	ADA tooth 12|FDI tooth 24	FMA:55690	left upper first secondary premolar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490031	UBERON:0018561	UBERON:0001709	left	ADA tooth 11|FDI tooth 23	FMA:55799	left upper secondary canine tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490032	UBERON:0016455	UBERON:0001709	left	ADA tooth 10|FDI tooth 22	FMA:55683	left upper lateral secondary incisor tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490033	UBERON:0016454	UBERON:0001709	left	ADA tooth 9|FDI tooth 21	FMA:55682	left upper central secondary incisor tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490034	UBERON:0018580	UBERON:0001710	left	ADA tooth 17|FDI tooth 38	FMA:55702	left lower third secondary molar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490035	UBERON:0018579	UBERON:0001710	left	ADA tooth 18|FDI tooth 37	FMA:55703	left lower second secondary molar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
