Uberon Label	Uberon Id	EFO LABEL(S)	MAPPING TYPE	ONTOLOGY TERM(S)	ONTOLOGY(S)	Comment
feather	UBERON:0000022	feather	Automatic	EFO_0000955	http://www.ebi.ac.uk/efo/	y
wing	UBERON:0000023	wing	Automatic	EFO_0000885	http://www.ebi.ac.uk/efo/	y
appendage	UBERON:0000026	appendage	Automatic	EFO_0000799	http://www.ebi.ac.uk/efo/	y
head	UBERON:0000033	head	Automatic	EFO_0000964	http://www.ebi.ac.uk/efo/	y
ganglion	UBERON:0000045	ganglion	Automatic	EFO_0000899	http://www.ebi.ac.uk/efo/	y
vessel	UBERON:0000055	blood vessel	Automatic	EFO_0000817	http://www.ebi.ac.uk/efo/	y
ureter	UBERON:0000056	ureter	Automatic	EFO_0000930	http://www.ebi.ac.uk/efo/	y
urethra	UBERON:0000057	urethra	Automatic	EFO_0000931	http://www.ebi.ac.uk/efo/	y
renal glomerulus	UBERON:0000074	renal glomerulus	Automatic	EFO_0003667	http://www.ebi.ac.uk/efo/	y
mesonephros	UBERON:0000080	mesonephros	Automatic	EFO_0000928	http://www.ebi.ac.uk/efo/	y
metanephros	UBERON:0000081	kidney	Automatic	EFO_0000929	http://www.ebi.ac.uk/efo/	y
intestine	UBERON:0000160	intestine	Automatic	EFO_0000834	http://www.ebi.ac.uk/efo/	y
mouth	UBERON:0000165	mouth structure	Automatic	EFO_0000825	http://www.ebi.ac.uk/efo/	y
blood	UBERON:0000178	blood	Automatic	EFO_0000296	http://www.ebi.ac.uk/efo/	y
ligament	UBERON:0000211	ligament	Automatic	EFO_0001966	http://www.ebi.ac.uk/efo/	y
colonic mucosa	UBERON:0000317	colon mucosa	Automatic	EFO_0003038	http://www.ebi.ac.uk/efo/	y
blastocyst	UBERON:0000358	blastocyst	Automatic	EFO_0000295	http://www.ebi.ac.uk/efo/	y
prefrontal cortex	UBERON:0000451	prefrontal cortex	Automatic	EFO_0001384	http://www.ebi.ac.uk/efo/	y
decidua basalis	UBERON:0000453	decidua basalis	Automatic	EFO_0001918	http://www.ebi.ac.uk/efo/	y
testis	UBERON:0000473	testis	Automatic	EFO_0000984	http://www.ebi.ac.uk/efo/	y
extraembryonic structure	UBERON:0000478	extraembryonic tissue	Automatic	EFO_0001406	http://www.ebi.ac.uk/efo/	y
abdomen	UBERON:0000916	abdomen	Automatic	EFO_0000968	http://www.ebi.ac.uk/efo/	y
ectoderm	UBERON:0000924	ectoderm	Automatic	EFO_0000414	http://www.ebi.ac.uk/efo/	y
endoderm	UBERON:0000925	endoderm	Automatic	EFO_0002545	http://www.ebi.ac.uk/efo/	y
mesoderm	UBERON:0000926	mesoderm	Automatic	EFO_0001981	http://www.ebi.ac.uk/efo/	y
mesectoderm	UBERON:0000927	mesectoderm anlage	Automatic	EFO_0003336	http://www.ebi.ac.uk/efo/	y
stomach	UBERON:0000945	stomach	Automatic	EFO_0000837	http://www.ebi.ac.uk/efo/	y
aorta	UBERON:0000947	aorta	Automatic	EFO_0000265	http://www.ebi.ac.uk/efo/	y
heart	UBERON:0000948	heart	Automatic	EFO_0000815	http://www.ebi.ac.uk/efo/	y
brain	UBERON:0000955	brain	Automatic	EFO_0000302	http://www.ebi.ac.uk/efo/	y
cornea	UBERON:0000964	cornea structure	Automatic	EFO_0000377	http://www.ebi.ac.uk/efo/	y
retina	UBERON:0000966	retina structure	Automatic	EFO_0000832	http://www.ebi.ac.uk/efo/	y
antenna	UBERON:0000972	antenna	Automatic	EFO_0000874	http://www.ebi.ac.uk/efo/	y
neck	UBERON:0000974	neck	Automatic	EFO_0000967	http://www.ebi.ac.uk/efo/	y
humerus	UBERON:0000976	humerus	Automatic	EFO_0001398	http://www.ebi.ac.uk/efo/	y
pleura	UBERON:0000977	pleura	Automatic	EFO_0001980	http://www.ebi.ac.uk/efo/	y
tibia	UBERON:0000979	tibia	Automatic	EFO_0003054	http://www.ebi.ac.uk/efo/	y
femur	UBERON:0000981	femur	Automatic	EFO_0001396	http://www.ebi.ac.uk/efo/	y
haltere	UBERON:0000987	haltere	Automatic	EFO_0000886	http://www.ebi.ac.uk/efo/	y
pons	UBERON:0000988	pons	Automatic	EFO_0001394	http://www.ebi.ac.uk/efo/	y
penis	UBERON:0000989	penis	Automatic	EFO_0000987	http://www.ebi.ac.uk/efo/	y
oviduct	UBERON:0000993	oviduct	Automatic	EFO_0000974	http://www.ebi.ac.uk/efo/	y
spermathecum	UBERON:0000994	spermathecum	Automatic	EFO_0000977	http://www.ebi.ac.uk/efo/	y
uterus	UBERON:0000995	uterus	Automatic	EFO_0000975	http://www.ebi.ac.uk/efo/	y
vagina	UBERON:0000996	vagina	Automatic	EFO_0000976	http://www.ebi.ac.uk/efo/	y
seminal vesicle	UBERON:0000998	seminal vesicle	Automatic	EFO_0000986	http://www.ebi.ac.uk/efo/	y
ejaculatory duct	UBERON:0000999	ejaculatory duct	Automatic	EFO_0000985	http://www.ebi.ac.uk/efo/	y
vas deferens	UBERON:0001000	ductus deferens	Automatic	EFO_0000981	http://www.ebi.ac.uk/efo/	y
cuticle	UBERON:0001002	exoskeleton	Automatic	EFO_0000944	http://www.ebi.ac.uk/efo/	y
epidermis	UBERON:0001003	epidermis	Automatic	EFO_0000954	http://www.ebi.ac.uk/efo/	y
musculature	UBERON:0001015	muscular system	Automatic	EFO_0000801	http://www.ebi.ac.uk/efo/	y
chordotonal organ	UBERON:0001038	chordotonal organ	Automatic	EFO_0000940	http://www.ebi.ac.uk/efo/	y
yolk sac	UBERON:0001040	yolk sac	Automatic	EFO_0003078	http://www.ebi.ac.uk/efo/	y
esophagus	UBERON:0001043	esophagus	Automatic	EFO_0000835	http://www.ebi.ac.uk/efo/	y
midgut	UBERON:0001045	midgut	Automatic	EFO_0001950	http://www.ebi.ac.uk/efo/	y
primordium	UBERON:0001048	primordium	Automatic	EFO_0001652	http://www.ebi.ac.uk/efo/	y
hypopharynx	UBERON:0001051	laryngopharynx	Automatic	EFO_0001388	http://www.ebi.ac.uk/efo/	y
rectum	UBERON:0001052	rectum	Automatic	EFO_0000848	http://www.ebi.ac.uk/efo/	y
neurohemal organ	UBERON:0001053	neurohemal organ	Automatic	EFO_0000864	http://www.ebi.ac.uk/efo/	y
Malpighian tubule	UBERON:0001054	Malpighian tubule	Automatic	EFO_0000243	http://www.ebi.ac.uk/efo/	y
corpus cardiacum	UBERON:0001056	corpus cardiacum	Automatic	EFO_0000380	http://www.ebi.ac.uk/efo/	y
corpus allatum	UBERON:0001057	corpus allatum	Automatic	EFO_0000379	http://www.ebi.ac.uk/efo/	y
mushroom body	UBERON:0001058	mushroom body	Automatic	EFO_0000925	http://www.ebi.ac.uk/efo/	y
pars intercerebralis	UBERON:0001059	pars intercerebralis	Automatic	EFO_0000926	http://www.ebi.ac.uk/efo/	y
intervertebral disk	UBERON:0001066	intervertebral disc	Automatic	EFO_0001370	http://www.ebi.ac.uk/efo/	y
urine	UBERON:0001088	urine	Automatic	EFO_0001939	http://www.ebi.ac.uk/efo/	y
diaphragm	UBERON:0001103	diaphragm	Automatic	EFO_0000937	http://www.ebi.ac.uk/efo/	y
intercostal muscle	UBERON:0001111	intercostal muscle	Automatic	EFO_0001368	http://www.ebi.ac.uk/efo/	y
dorsum	UBERON:0001137	back	Automatic	EFO_0001405	http://www.ebi.ac.uk/efo/	y
caecum	UBERON:0001153	caecum	Automatic	EFO_0000850	http://www.ebi.ac.uk/efo/	y
vermiform appendix	UBERON:0001154	appendix	Automatic	EFO_0000849	http://www.ebi.ac.uk/efo/	y
colon	UBERON:0001155	colon	Automatic	EFO_0000361	http://www.ebi.ac.uk/efo/	y
ascending colon	UBERON:0001156	ascending colon	Automatic	EFO_0000843	http://www.ebi.ac.uk/efo/	y
transverse colon	UBERON:0001157	transverse colon	Automatic	EFO_0000844	http://www.ebi.ac.uk/efo/	y
descending colon	UBERON:0001158	descending colon	Automatic	EFO_0000845	http://www.ebi.ac.uk/efo/	y
sigmoid colon	UBERON:0001159	sigmoid colon	Automatic	EFO_0000846	http://www.ebi.ac.uk/efo/	y
pyloric antrum	UBERON:0001165	pyloric antrum	Automatic	EFO_0002555	http://www.ebi.ac.uk/efo/	y
Peyer's patch	UBERON:0001211	Peyer's patch	Automatic	EFO_0001381	http://www.ebi.ac.uk/efo/	y
pancreatic acinus	UBERON:0001263	exocrine pancreas cell	Automatic	CL_0000083	http://purl.org/obo/owl/CL#	y
pancreas	UBERON:0001264	pancreas	Automatic	EFO_0000855	http://www.ebi.ac.uk/efo/	y
ilium	UBERON:0001273	ilium	Automatic	EFO_0003049	http://www.ebi.ac.uk/efo/	y
endometrium	UBERON:0001295	endometrium	Automatic	EFO_0000980	http://www.ebi.ac.uk/efo/	y
myometrium	UBERON:0001296	myometrium	Automatic	EFO_0001970	http://www.ebi.ac.uk/efo/	y
epididymis	UBERON:0001301	epididymus	Automatic	EFO_0000982	http://www.ebi.ac.uk/efo/	y
sciatic nerve	UBERON:0001322	sciatic nerve	Automatic	EFO_0001417	http://www.ebi.ac.uk/efo/	y
brown adipose tissue	UBERON:0001348	brown fat	Automatic	EFO_0000812	http://www.ebi.ac.uk/efo/	y
cerebrospinal fluid	UBERON:0001359	cerebrospinal fluid	Automatic	EFO_0000329	http://www.ebi.ac.uk/efo/	y
biceps femoris	UBERON:0001374	biceps femoris	Automatic	EFO_0001418	http://www.ebi.ac.uk/efo/	y
vastus lateralis	UBERON:0001379	vastus lateralis	Automatic	EFO_0001937	http://www.ebi.ac.uk/efo/	y
tibialis anterior	UBERON:0001385	tibialis anterior muscle	Automatic	EFO_0001385	http://www.ebi.ac.uk/efo/	y
gastrocnemius	UBERON:0001388	gastrocnemius	Automatic	EFO_0001413	http://www.ebi.ac.uk/efo/	y
epiphysis	UBERON:0001437	pineal gland	Automatic	EFO_0000865	http://www.ebi.ac.uk/efo/	y
