#curie_map:
#  FBbt: "http://purl.obolibrary.org/obo/FBbt_"
#  ORCID: "https://orcid.org/"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  obo: "http://purl.obolibrary.org/obo/"
#mapping_set_id: "http://purl.obolibrary.org/obo/fbbt/fbbt-mappings.sssom.tsv"
#mapping_set_description: "Mappings between the Drosophila Anatomy Ontology and foreign ontologies."
#creator_id:
#  - "ORCID:0000-0002-1373-1705"
#  - "ORCID:0000-0002-6095-8718"
#license: "https://creativecommons.org/licenses/by/4.0/"
#subject_source: "obo:fbbt.owl"
#object_source: "obo:uberon/core.owl"
#mapping_date: "2024-07-12"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
FBbt:00000001	organism	semapv:crossSpeciesExactMatch	UBERON:0000468	multicellular organism	semapv:ManualMappingCuration	
FBbt:00000002	tagma	semapv:crossSpeciesExactMatch	UBERON:6000002	arthropod tagma	semapv:ManualMappingCuration	
FBbt:00000003	segment	semapv:crossSpeciesExactMatch	UBERON:0000914	organismal segment	semapv:ManualMappingCuration	
FBbt:00000004	head	semapv:crossSpeciesExactMatch	UBERON:6000004	panarthropod head	semapv:ManualMappingCuration	Somewhat redundant with ‘insect {adult/larval} head’
FBbt:00000005	ocular segment	semapv:crossSpeciesExactMatch	UBERON:6000005	insect ocular segment	semapv:ManualMappingCuration	
FBbt:00000006	head segment	semapv:crossSpeciesExactMatch	UBERON:6000006	insect head segment	semapv:ManualMappingCuration	
FBbt:00000007	procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6000007	procephalic segment	semapv:ManualMappingCuration	Uberon term should probably be named ‘insect procephalic segment’?
FBbt:00000008	labral segment	semapv:crossSpeciesExactMatch	UBERON:6000008	labral segment	semapv:ManualMappingCuration	Uberon term should probably be named ‘insect labral segment’?
FBbt:00000009	antennal segment	semapv:crossSpeciesExactMatch	UBERON:6000009	antennal segment	semapv:ManualMappingCuration	
FBbt:00000011	gnathal segment	semapv:crossSpeciesExactMatch	UBERON:6000011	insect gnathal segment	semapv:ManualMappingCuration	
FBbt:00000014	labial segment	semapv:crossSpeciesExactMatch	UBERON:6000014	insect labial segment	semapv:ManualMappingCuration	
FBbt:00000015	thorax	semapv:crossSpeciesExactMatch	UBERON:6000015	insect thorax	semapv:ManualMappingCuration	
FBbt:00000016	thoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000016	insect thoracic segment	semapv:ManualMappingCuration	
FBbt:00000017	prothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000017	insect prothoracic segment	semapv:ManualMappingCuration	
FBbt:00000018	mesothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000018	insect mesothoracic segment	semapv:ManualMappingCuration	
FBbt:00000019	metathoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000019	insect metathoracic segment	semapv:ManualMappingCuration	
FBbt:00000020	abdomen	semapv:crossSpeciesExactMatch	UBERON:6000020	insect abdomen	semapv:ManualMappingCuration	
FBbt:00000021	abdominal segment	semapv:crossSpeciesExactMatch	UBERON:6000021	insect abdominal segment	semapv:ManualMappingCuration	
FBbt:00000029	abdominal segment 8	semapv:crossSpeciesExactMatch	UBERON:6000029	insect abdominal segment 8	semapv:ManualMappingCuration	Why does Uberon only have terms for segments 8 and 9?
FBbt:00000030	abdominal segment 9	semapv:crossSpeciesExactMatch	UBERON:6000030	insect abdominal segment 9	semapv:ManualMappingCuration	Likewise
FBbt:00000038	chorion	semapv:crossSpeciesExactMatch	UBERON:0000920	egg chorion	semapv:ManualMappingCuration	
FBbt:00000042	vitelline membrane	semapv:crossSpeciesExactMatch	UBERON:0003125	vitelline membrane	semapv:ManualMappingCuration	
FBbt:00000046	dorsal appendage	semapv:crossSpeciesExactMatch	UBERON:6000046	insect dorsal appendage	semapv:ManualMappingCuration	
FBbt:00000052	embryo	semapv:crossSpeciesExactMatch	UBERON:0000922	embryo	semapv:ManualMappingCuration	
FBbt:00000093	ventral midline of embryo	semapv:crossSpeciesExactMatch	UBERON:0009571	ventral midline	semapv:ManualMappingCuration	
FBbt:00000095	amnioserosa	semapv:crossSpeciesExactMatch	UBERON:0010302	amnioserosa	semapv:ManualMappingCuration	Uberon term commented as “may be obsoleted once added to the insect ontology”
FBbt:00000096	ventral furrow	semapv:crossSpeciesExactMatch	UBERON:6000096	insect ventral furrow	semapv:ManualMappingCuration	
FBbt:00000097	cephalic furrow	semapv:crossSpeciesExactMatch	UBERON:6000097	insect cephalic furrow	semapv:ManualMappingCuration	
FBbt:00000104	mesoderm anlage	semapv:crossSpeciesExactMatch	UBERON:6000104	insect mesoderm anlage	semapv:ManualMappingCuration	
FBbt:00000110	germ layer	semapv:crossSpeciesExactMatch	UBERON:0000923	germ layer	semapv:ManualMappingCuration	
FBbt:00000111	ectoderm	semapv:crossSpeciesExactMatch	UBERON:0000924	ectoderm	semapv:ManualMappingCuration	
FBbt:00000112	dorsal ectoderm	semapv:crossSpeciesExactMatch	UBERON:6000112	insect dorsal ectoderm	semapv:ManualMappingCuration	
FBbt:00000119	anterior ectoderm	semapv:crossSpeciesExactMatch	UBERON:6000119	insect anterior ectoderm	semapv:ManualMappingCuration	
