#curie_map:
#  AAO: "http://purl.obolibrary.org/obo/AAO_"
#  CARO: "http://purl.obolibrary.org/obo/CARO_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  EHDAA2: "http://purl.obolibrary.org/obo/EHDAA2_"
#  EMAPA: "http://purl.obolibrary.org/obo/EMAPA_"
#  EV: "http://purl.obolibrary.org/obo/EV_"
#  FBbt: "http://purl.obolibrary.org/obo/FBbt_"
#  FMA: "http://purl.org/sig/ont/fma/fma"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  KUPO: "http://purl.obolibrary.org/obo/KUPO_"
#  MA: "http://purl.obolibrary.org/obo/MA_"
#  NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#  ORCID: "https://orcid.org/"
#  SCTID: "http://purl.obolibrary.org/obo/SCTID_"
#  VHOG: "http://purl.obolibrary.org/obo/VHOG_"
#  VSAO: "http://purl.obolibrary.org/obo/VSAO_"
#  WBbt: "http://purl.obolibrary.org/obo/WBbt_"
#  XAO: "http://purl.obolibrary.org/obo/XAO_"
#  ZFA: "http://purl.obolibrary.org/obo/ZFA_"
#  obo: "http://purl.obolibrary.org/obo/"
#mapping_set_id: "http://purl.obolibrary.org/obo/cl/cl.sssom.tsv"
#creator_id:
#  - "ORCID:0000-0002-1373-1705"
#  - "ORCID:0000-0002-6095-8718"
#license: "http://creativecommons.org/licenses/by/4.0/"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	mapping_date
CL:0000000		semapv:crossSpeciesExactMatch	FBbt:00007002	cell	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000000		semapv:crossSpeciesExactMatch	ZFA:0009000	cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000000	cell	skos:broadMatch	VHOG:0001533		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000000	cell	skos:exactMatch	GO:0005623		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000000	cell	semapv:crossSpeciesExactMatch	KUPO:0000002		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000000	cell	semapv:crossSpeciesExactMatch	WBbt:0004017		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000000	cell	semapv:crossSpeciesExactMatch	XAO:0003012		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000000	cell	semapv:crossSpeciesExactMatch	FMA:68646		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000006		semapv:crossSpeciesExactMatch	ZFA:0009001	receptor cell (sensu Animalia)	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000007		semapv:crossSpeciesExactMatch	ZFA:0009002	early embryonic cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000008		semapv:crossSpeciesExactMatch	ZFA:0007091	migratory cranial neural crest cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000011		semapv:crossSpeciesExactMatch	ZFA:0007095	migratory trunk neural crest cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000014		semapv:crossSpeciesExactMatch	FBbt:00004861	germline stem cell	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000014		semapv:crossSpeciesExactMatch	ZFA:0005956	germline stem cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000015	male germ cell	skos:broadMatch	VHOG:0001531		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000015	male germ cell	semapv:crossSpeciesExactMatch	MA:0002765		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000015	male germ cell	semapv:crossSpeciesExactMatch	FMA:72290		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000016		semapv:crossSpeciesExactMatch	FBbt:00004929	male germline stem cell	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000017		semapv:crossSpeciesExactMatch	FBbt:00004936	spermatocyte	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000017		semapv:crossSpeciesExactMatch	ZFA:0009005	spermatocyte	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000017	spermatocyte	semapv:crossSpeciesExactMatch	EMAPA:31484		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000017	spermatocyte	semapv:crossSpeciesExactMatch	WBbt:0006799		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000017	spermatocyte	semapv:crossSpeciesExactMatch	FMA:84049		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000018		semapv:crossSpeciesExactMatch	FBbt:00004942	spermatid	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000018		semapv:crossSpeciesExactMatch	ZFA:0005769	spermatid	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000018	spermatid	semapv:crossSpeciesExactMatch	EMAPA:31486		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000018	spermatid	semapv:crossSpeciesExactMatch	WBbt:0006800		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000018	spermatid	semapv:crossSpeciesExactMatch	FMA:72294		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000019		semapv:crossSpeciesExactMatch	FBbt:00004954	spermatozoon	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000019		semapv:crossSpeciesExactMatch	ZFA:0009006	sperm	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000019	sperm	semapv:crossSpeciesExactMatch	WBbt:0006798		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000019	sperm	semapv:crossSpeciesExactMatch	FMA:67338		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000020		semapv:crossSpeciesExactMatch	FBbt:00004934	primary gonial cell	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000020		semapv:crossSpeciesExactMatch	FBbt:00004935	spermatogonium	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000020		semapv:crossSpeciesExactMatch	ZFA:0009007	spermatogonium	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000020	spermatogonium	semapv:crossSpeciesExactMatch	EMAPA:31482		semapv:UnspecifiedMatching	obo:cl.owl		
