ID	label	SYNONYMS
BFO:0000002	continuant	
BFO:0000004	independent continuant	
BFO:0000040	material entity	
CARO:0000000	anatomical entity	
CARO:0030000	biological entity	
CL:0000653	glomerular visceral epithelial cell	epithelial cell of visceral layer of glomerular capsule|glomerular podocyte|podocyte
CL:0002173	extraglomerular mesangial cell	Goormaghtigh cell|lacis cell|polar cushion cells
CL:0002188	glomerular endothelial cell	
CL:0002305	epithelial cell of distal tubule	kidney distal tubule epithelial cell
CL:0002306	epithelial cell of proximal tubule	kidney proximal tubule epithelial cell
CL:0002307	brush border cell of the proximal tubule	
CL:0002523	mesonephric glomerular visceral epithelial cell	
CL:0002525	metanephric glomerular visceral epithelial cell	
CL:1000022	mesonephric nephron tubule epithelial cell	
CL:1000090	pronephric nephron tubule epithelial cell	
CL:1000123	metanephric nephron tubule epithelial cell	
CL:1000449	epithelial cell of nephron	
CL:1000450	epithelial cell of glomerular capsule	Bowmans capsule epithelial cell|epithelial cell of Bowman's capsule
CL:1000452	parietal epithelial cell	epithelial cell of parietal layer of glomerular capsule
CL:1000453	epithelial cell of intermediate tubule	
CL:1000454	kidney collecting duct epithelial cell	epithelial cell of renal collecting tubule
CL:1000494	nephron tubule epithelial cell	kidney tubule epithelial cell
CL:1000507	kidney tubule cell	
CL:1000510	kidney glomerular epithelial cell	
CL:1000546	kidney medulla collecting duct epithelial cell	
CL:1000547	kidney inner medulla collecting duct epithelial cell	
CL:1000548	kidney outer medulla collecting duct epithelial cell	
CL:1000549	kidney cortex collecting duct epithelial cell	
CL:1000550	kidney papillary duct principal epithelial cell	
CL:1000612	kidney corpuscule cell	
CL:1000615	kidney cortex tubule cell	
CL:1000714	kidney cortex collecting duct principal cell	
CL:1000715	kidney cortex collecting duct intercalated cell	
CL:1000716	kidney outer medulla collecting duct principal cell	
CL:1000717	kidney outer medulla collecting duct intercalated cell	
CL:1000718	kidney inner medulla collecting duct principal cell	
CL:1000719	kidney inner medulla collecting duct intercalated cell	
CL:1000720	kidney papillary duct intercalated cell	
CL:1000721	kidney papillary duct principal cell	
CL:1000742	glomerular mesangial cell	intraglomerular mesangial cell
CL:1000746	glomerular cell	
CL:1000768	kidney connecting tubule epithelial cell	
CL:1000838	kidney proximal convoluted tubule epithelial cell	
CL:1000839	kidney proximal straight tubule epithelial cell	
CL:1000849	kidney distal convoluted tubule epithelial cell	
CL:1000850	macula densa epithelial cell	
CL:1000909	kidney loop of Henle epithelial cell	
CL:1001005	glomerular capillary endothelial cell	
CL:1001006	kidney afferent arteriole cell	
CL:1001009	kidney efferent arteriole cell	
CL:1001016	kidney loop of Henle ascending limb epithelial cell	
CL:1001021	kidney loop of Henle descending limb epithelial cell	
CL:1001096	kidney afferent arteriole endothelial cell	
CL:1001097	kidney afferent arteriole smooth muscle cell	
CL:1001099	kidney efferent arteriole endothelial cell	
CL:1001100	kidney efferent arteriole smooth muscle cell	
CL:1001106	kidney loop of Henle thick ascending limb epithelial cell	
CL:1001107	kidney loop of Henle thin ascending limb epithelial cell	
CL:1001108	kidney loop of Henle medullary thick ascending limb epithelial cell	
CL:1001109	kidney loop of Henle cortical thick ascending limb epithelial cell	
CL:1001111	kidney loop of Henle thin descending limb epithelial cell	
CL:1001225	kidney collecting duct cell	
CL:1001431	kidney collecting duct principal cell	
CL:1001432	kidney collecting duct intercalated cell	
UBERON:0000061	anatomical structure	biological structure|connected biological structure
UBERON:0000064	organ part	cardinal organ part|regional part of organ
UBERON:0000074	renal glomerulus	Malphigian glomerulus|Malpighian glomerulus|Malpighian tuft|glomerular capillary tuft|glomerular tuft|glomerulus|glomerulus renis|renal corpuscle|renal glomeruli
UBERON:0000465	material anatomical entity	
UBERON:0001062	anatomical entity	
