?x	?label
<http://owltools.org/Q>	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/CARO_0000000>	"anatomical entity"
<http://purl.obolibrary.org/obo/CARO_0030000>	"biological entity"
<http://purl.obolibrary.org/obo/UBERON_0000041>	"odontode scale"
<http://purl.obolibrary.org/obo/UBERON_0000043>	"tendon"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"anatomical structure"
<http://purl.obolibrary.org/obo/UBERON_0000075>	"subdivision of skeletal system"
<http://purl.obolibrary.org/obo/UBERON_0000130>	"transverse foramen"
<http://purl.obolibrary.org/obo/UBERON_0000144>	"trochlea of humerus"
<http://purl.obolibrary.org/obo/UBERON_0000199>	"neck of radius"
<http://purl.obolibrary.org/obo/UBERON_0000209>	"tetrapod frontal bone"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"tetrapod parietal bone"
<http://purl.obolibrary.org/obo/UBERON_0000218>	"vertebral arch of axis"
<http://purl.obolibrary.org/obo/UBERON_0000219>	"vertebral foramen of atlas"
<http://purl.obolibrary.org/obo/UBERON_0000220>	"atlanto-occipital joint"
<http://purl.obolibrary.org/obo/UBERON_0000221>	"supraauricular point"
<http://purl.obolibrary.org/obo/UBERON_0000304>	"tendon sheath"
<http://purl.obolibrary.org/obo/UBERON_0000312>	"inner cambium layer of periosteum"
<http://purl.obolibrary.org/obo/UBERON_0000313>	"portion of cartilage tissue in tibia"
<http://purl.obolibrary.org/obo/UBERON_0000332>	"yellow bone marrow"
<http://purl.obolibrary.org/obo/UBERON_0000351>	"nuchal ligament"
<http://purl.obolibrary.org/obo/UBERON_0000361>	"red bone marrow"
<http://purl.obolibrary.org/obo/UBERON_0000387>	"meniscus"
<http://purl.obolibrary.org/obo/UBERON_0000398>	"cartilage tissue of sternum"
<http://purl.obolibrary.org/obo/UBERON_0000401>	"mandibular ramus"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"material anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0000467>	"anatomical system"
<http://purl.obolibrary.org/obo/UBERON_0000975>	"sternum"
<http://purl.obolibrary.org/obo/UBERON_0000976>	"humerus"
<http://purl.obolibrary.org/obo/UBERON_0000979>	"tibia"
<http://purl.obolibrary.org/obo/UBERON_0000980>	"trochanter"
<http://purl.obolibrary.org/obo/UBERON_0000981>	"femur"
<http://purl.obolibrary.org/obo/UBERON_0000982>	"skeletal joint"
<http://purl.obolibrary.org/obo/UBERON_0001010>	"diaphysis of ulna"
<http://purl.obolibrary.org/obo/UBERON_0001012>	"head of radius"
<http://purl.obolibrary.org/obo/UBERON_0001028>	"diaphysis of radius"
<http://purl.obolibrary.org/obo/UBERON_0001035>	"dento-alveolar joint"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0001066>	"intervertebral disk"
<http://purl.obolibrary.org/obo/UBERON_0001067>	"vertebral arch joint"
<http://purl.obolibrary.org/obo/UBERON_0001075>	"bony vertebral centrum"
<http://purl.obolibrary.org/obo/UBERON_0001076>	"neural spine"
<http://purl.obolibrary.org/obo/UBERON_0001077>	"transverse process of vertebra"
<http://purl.obolibrary.org/obo/UBERON_0001078>	"pedicle of vertebra"
<http://purl.obolibrary.org/obo/UBERON_0001079>	"prezygapophysis"
<http://purl.obolibrary.org/obo/UBERON_0001080>	"postzygapophysis"
<http://purl.obolibrary.org/obo/UBERON_0001091>	"calcareous tooth"
<http://purl.obolibrary.org/obo/UBERON_0001092>	"vertebral bone 1"
<http://purl.obolibrary.org/obo/UBERON_0001093>	"vertebral bone 2"
<http://purl.obolibrary.org/obo/UBERON_0001094>	"sacral vertebra"
<http://purl.obolibrary.org/obo/UBERON_0001095>	"caudal vertebra"
<http://purl.obolibrary.org/obo/UBERON_0001098>	"incisor tooth"
<http://purl.obolibrary.org/obo/UBERON_0001102>	"cartilage of main bronchus"
<http://purl.obolibrary.org/obo/UBERON_0001105>	"clavicle bone"
<http://purl.obolibrary.org/obo/UBERON_0001130>	"vertebral column"
<http://purl.obolibrary.org/obo/UBERON_0001131>	"vertebral foramen"
<http://purl.obolibrary.org/obo/UBERON_0001269>	"acetabular part of hip bone"
<http://purl.obolibrary.org/obo/UBERON_0001270>	"bony pelvis"
<http://purl.obolibrary.org/obo/UBERON_0001272>	"innominate bone"
<http://purl.obolibrary.org/obo/UBERON_0001273>	"ilium"
<http://purl.obolibrary.org/obo/UBERON_0001274>	"ischium"
<http://purl.obolibrary.org/obo/UBERON_0001275>	"pubis"
<http://purl.obolibrary.org/obo/UBERON_0001350>	"coccyx"
<http://purl.obolibrary.org/obo/UBERON_0001365>	"sacro-iliac joint"
<http://purl.obolibrary.org/obo/UBERON_0001423>	"radius bone"
<http://purl.obolibrary.org/obo/UBERON_0001424>	"ulna"
<http://purl.obolibrary.org/obo/UBERON_0001427>	"radiale"
<http://purl.obolibrary.org/obo/UBERON_0001428>	"intermedium"
<http://purl.obolibrary.org/obo/UBERON_0001429>	"pisiform"
<http://purl.obolibrary.org/obo/UBERON_0001430>	"distal carpal bone 1"
<http://purl.obolibrary.org/obo/UBERON_0001431>	"distal carpal bone 2"
<http://purl.obolibrary.org/obo/UBERON_0001432>	"distal carpal bone 3"
<http://purl.obolibrary.org/obo/UBERON_0001433>	"distal carpal bone 4"
<http://purl.obolibrary.org/obo/UBERON_0001434>	"skeletal system"
<http://purl.obolibrary.org/obo/UBERON_0001435>	"carpal bone"
<http://purl.obolibrary.org/obo/UBERON_0001436>	"phalanx of manus"
<http://purl.obolibrary.org/obo/UBERON_0001437>	"epiphysis"
<http://purl.obolibrary.org/obo/UBERON_0001438>	"metaphysis"
<http://purl.obolibrary.org/obo/UBERON_0001439>	"compact bone tissue"
<http://purl.obolibrary.org/obo/UBERON_0001440>	"forelimb skeleton"
<http://purl.obolibrary.org/obo/UBERON_0001441>	"hindlimb skeleton"
<http://purl.obolibrary.org/obo/UBERON_0001442>	"skeleton of manus"
<http://purl.obolibrary.org/obo/UBERON_0001445>	"skeleton of pes"
<http://purl.obolibrary.org/obo/UBERON_0001446>	"fibula"
<http://purl.obolibrary.org/obo/UBERON_0001447>	"tarsal bone"
<http://purl.obolibrary.org/obo/UBERON_0001448>	"metatarsal bone"
<http://purl.obolibrary.org/obo/UBERON_0001449>	"phalanx of pes"
<http://purl.obolibrary.org/obo/UBERON_0001450>	"calcaneus"
<http://purl.obolibrary.org/obo/UBERON_0001451>	"navicular bone of pes"
<http://purl.obolibrary.org/obo/UBERON_0001452>	"distal tarsal bone 1"
<http://purl.obolibrary.org/obo/UBERON_0001453>	"distal tarsal bone 2"
<http://purl.obolibrary.org/obo/UBERON_0001454>	"distal tarsal bone 3"
<http://purl.obolibrary.org/obo/UBERON_0001455>	"cuboid bone"
<http://purl.obolibrary.org/obo/UBERON_0001468>	"intervertebral joint"
<http://purl.obolibrary.org/obo/UBERON_0001469>	"sternoclavicular joint"
<http://purl.obolibrary.org/obo/UBERON_0001470>	"glenohumeral joint"
<http://purl.obolibrary.org/obo/UBERON_0001474>	"bone element"
<http://purl.obolibrary.org/obo/UBERON_0001479>	"sesamoid bone"
<http://purl.obolibrary.org/obo/UBERON_0001480>	"proximal carpal bone"
<http://purl.obolibrary.org/obo/UBERON_0001481>	"distal carpal bone"
<http://purl.obolibrary.org/obo/UBERON_0001485>	"knee joint"
<http://purl.obolibrary.org/obo/UBERON_0001486>	"hip joint"
<http://purl.obolibrary.org/obo/UBERON_0001487>	"pes joint"
<http://purl.obolibrary.org/obo/UBERON_0001488>	"ankle joint"
<http://purl.obolibrary.org/obo/UBERON_0001489>	"manus joint"
<http://purl.obolibrary.org/obo/UBERON_0001490>	"elbow joint"
<http://purl.obolibrary.org/obo/UBERON_0001491>	"wrist joint"
<http://purl.obolibrary.org/obo/UBERON_0001528>	"radio-ulnar joint"
<http://purl.obolibrary.org/obo/UBERON_0001543>	"popliteal lymph node"
<http://purl.obolibrary.org/obo/UBERON_0001676>	"occipital bone"
<http://purl.obolibrary.org/obo/UBERON_0001677>	"sphenoid bone"
<http://purl.obolibrary.org/obo/UBERON_0001678>	"temporal bone"
<http://purl.obolibrary.org/obo/UBERON_0001679>	"ethmoid bone"
<http://purl.obolibrary.org/obo/UBERON_0001680>	"lacrimal bone"
<http://purl.obolibrary.org/obo/UBERON_0001681>	"nasal bone"
<http://purl.obolibrary.org/obo/UBERON_0001682>	"palatine bone"
<http://purl.obolibrary.org/obo/UBERON_0001683>	"jugal bone"
<http://purl.obolibrary.org/obo/UBERON_0001684>	"mandible"
<http://purl.obolibrary.org/obo/UBERON_0001685>	"hyoid bone"
<http://purl.obolibrary.org/obo/UBERON_0001686>	"auditory ossicle bone"
<http://purl.obolibrary.org/obo/UBERON_0001687>	"stapes bone"
<http://purl.obolibrary.org/obo/UBERON_0001688>	"incus bone"
<http://purl.obolibrary.org/obo/UBERON_0001689>	"malleus bone"
<http://purl.obolibrary.org/obo/UBERON_0001692>	"basioccipital bone"
<http://purl.obolibrary.org/obo/UBERON_0001693>	"exoccipital bone"
<http://purl.obolibrary.org/obo/UBERON_0001694>	"petrous part of temporal bone"
<http://purl.obolibrary.org/obo/UBERON_0001695>	"squamous part of temporal bone"
<http://purl.obolibrary.org/obo/UBERON_0001697>	"orbit of skull"
<http://purl.obolibrary.org/obo/UBERON_0001698>	"foramen ovale of skull"
<http://purl.obolibrary.org/obo/UBERON_0001703>	"neurocranium"
<http://purl.obolibrary.org/obo/UBERON_0001706>	"nasal septum"
<http://purl.obolibrary.org/obo/UBERON_0001708>	"jaw skeleton"
