ID	label	SYNONYMS
CL:0000768	immature basophil	immature basophilic leucocyte|immature basophilic leukocyte
CL:0000769	basophilic metamyelocyte	
CL:0000770	band form basophil	
CL:0000771	eosinophil	eosinocyte|eosinophilic granulocyte|eosinophilic leucocyte|eosinophilic leukocyte|polymorphonuclear leucocyte|polymorphonuclear leukocyte
CL:0000772	immature eosinophil	immature eosinocyte|immature eosinophilic leucocyte|immature eosinophilic leukocyte
CL:0000773	eosinophilic metamyelocyte	
CL:0000774	band form eosinophil	
CL:0000775	neutrophil	PMN|neutrocyte|neutrophil leucocyte|neutrophil leukocyte|neutrophilic leucocyte|neutrophilic leukocyte|poly|polymorphonuclear leucocyte|polymorphonuclear leukocyte|polymorphonuclear neutrophil|polynuclear neutrophilic leucocyte|polynuclear neutrophilic leukocyte
CL:0000776	immature neutrophil	immatuer neutrophilic leukocyte|immature neutrocyte|immature neutrophil leucocyte|immature neutrophil leukocyte|immature neutrophilic leucocyte
CL:0000777	mesangial phagocyte	mesangial cell
CL:0000778	mononuclear osteoclast	
CL:0000779	multinuclear osteoclast	multinucleated osteoclast
CL:0000780	multinuclear odontoclast	multinucleated odontoclast
CL:0000781	mononuclear odontoclast	
CL:0000782	myeloid dendritic cell	CD11c+CD123- DC|interdigitating cell|mDC|veiled cell
CL:0000784	plasmacytoid dendritic cell	DC2|IPC|T-associated plasma cell|interferon-producing cell|lymphoid dendritic cell|pDC|plasmacytoid T cell|plasmacytoid monocyte|type 2 DC
CL:0000785	mature B cell	mature B lymphocyte|mature B-cell|mature B-lymphocyte
CL:0000786	plasma cell	effector B cell|effector B-cell|plasma B cell|plasma B-cell|plasmacyte|plasmocyte
CL:0000787	memory B cell	memory B lymphocyte|memory B-cell|memory B-lymphocyte
CL:0000788	naive B cell	naive B lymphocyte|naive B-cell|naive B-lymphocyte
CL:0000789	alpha-beta T cell	alpha-beta T lymphocyte|alpha-beta T-cell|alpha-beta T-lymphocyte
CL:0000790	immature alpha-beta T cell	immature alpha-beta T lymphocyte|immature alpha-beta T-cell|immature alpha-beta T-lymphocyte
CL:0000791	mature alpha-beta T cell	mature alpha-beta T lymphocyte|mature alpha-beta T-cell|mature alpha-beta T-lymphocyte
CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CD4-positive, CD25-positive, alpha-beta regulatory T lymphocyte|CD4-positive, CD25-positive, alpha-beta regulatory T-cell|CD4-positive, CD25-positive, alpha-beta regulatory T-lymphocyte|Treg|suppressor T cell|suppressor T lymphocyte|suppressor T-cell|suppressor T-lymphocyte
CL:0000793	CD4-positive, alpha-beta intraepithelial T cell	CD4-positive, alpha-beta intraepithelial T lymphocyte|CD4-positive, alpha-beta intraepithelial T-cell|CD4-positive, alpha-beta intraepithelial T-lymphocyte|IEL|intraepithelial lymphocyte
CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	CD8-positive, alpha-beta cytotoxic T lymphocyte|CD8-positive, alpha-beta cytotoxic T-cell|CD8-positive, alpha-beta cytotoxic T-lymphocyte|cytotoxic T cell|cytotoxic T lymphocyte|cytotoxic T-cell|cytotoxic T-lymphocyte|killer T cell|killer T lymphocyte|killer T-cell|killer T-lymphocyte
CL:0000795	CD8-positive, alpha-beta regulatory T cell	CD8+ T(reg)|CD8+ Treg|CD8+ regulatory T cell|CD8-positive T(reg)|CD8-positive Treg|CD8-positive, alpha-beta Treg|CD8-positive, alpha-beta regulatory T lymphocyte|CD8-positive, alpha-beta regulatory T-cell|CD8-positive, alpha-beta regulatory T-lymphocyte|suppressor T cell|suppressor T lymphocyte|suppressor T-cell|suppressor T-lymphocyte
CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	CD8-positive, alpha-beta intraepithelial T lymphocyte|CD8-positive, alpha-beta intraepithelial T-cell|CD8-positive, alpha-beta intraepithelial T-lymphocyte|IEL|intraepithelial lymphocyte
CL:0000797	alpha-beta intraepithelial T cell	IEL|alpha-beta intraepithelial T lymphocyte|alpha-beta intraepithelial T-cell|alpha-beta intraepithelial T-lymphocyte|intraepithelial lymphocyte
CL:0000798	gamma-delta T cell	gamma-delta T lymphocyte|gamma-delta T-cell|gamma-delta T-lymphocyte|gammadelta T cell|gd T cell
CL:0000799	immature gamma-delta T cell	immature gamma-delta T lymphocyte|immature gamma-delta T-cell|immature gamma-delta T-lymphocyte
CL:0000800	mature gamma-delta T cell	mature gamma-delta T lymphocyte|mature gamma-delta T-cell|mature gamma-delta T-lymphocyte
CL:0000801	gamma-delta intraepithelial T cell	IEL|gamma-delta intraepithelial T lymphocyte|gamma-delta intraepithelial T-cell|gamma-delta intraepithelial T-lymphocyte|intraepithelial lymphocyte
CL:0000802	CD8-alpha alpha positive, gamma-delta intraepithelial T cell	CD8-positive, gamma-delta intraepithelial T lymphocyte|CD8-positive, gamma-delta intraepithelial T-cell|CD8-positive, gamma-delta intraepithelial T-lymphocyte|IEL|intraepithelial lymphocyte
CL:0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell	CD4-positive, gamma-delta intraepithelial T lymphocyte|CD4-positive, gamma-delta intraepithelial T-cell|CD4-positive, gamma-delta intraepithelial T-lymphocyte|IEL|intraepithelial lymphocyte
CL:0000805	immature single positive thymocyte	ISP|T.ISP.th|immature single positive T cell|immature single positive T lymphocyte|immature single positive T-lymphocyte
CL:0000806	DN2 thymocyte	DN2 alpha-beta immature T lymphocyte|DN2 alpha-beta immature T-cell|DN2 alpha-beta immature T-lymphocyte|DN2 cell|DN2 immature T cell|TN2 cell|TN2 thymocyte|double negative 2|preT.DN2.Th
CL:0000807	DN3 thymocyte	DN3 alpha-beta immature T lymphocyte|DN3 alpha-beta immature T-cell|DN3 alpha-beta immature T-lymphocyte|DN3 cell|DN3 immature T cell|TN3 cell|TN3 thymocyte|double negative 3|early cortical thymocyte|preT.DN3.Th
CL:0000808	DN4 thymocyte	DN4 alpha-beta immature T lymphocyte|DN4 alpha-beta immature T-lymphocyte|DN4 cell|DN4 immature T cell|DN4 immature T-cell|T.DN4.th|double negative 4|early cortical thymocyte
CL:0000809	double-positive, alpha-beta thymocyte	DP cell|DP thymocyte|double-positive, alpha-beta immature T lymphocyte|late cortical thymocyte
CL:0000810	CD4-positive, alpha-beta thymocyte	CD4-positive, alpha-beta immature T lymphocyte|CD4-positive, alpha-beta immature T-cell|CD4-positive, alpha-beta immature T-lymphocyte|SP CD4 cell
CL:0000811	CD8-positive, alpha-beta thymocyte	CD8-positive, alpha-beta immature T cell|CD8-positive, alpha-beta immature T lymphocyte|CD8-positive, alpha-beta immature T-cell|CD8-positive, alpha-beta immature T-lymphocyte|SP CD8 cell
CL:0000813	memory T cell	memory T lymphocyte|memory T-cell|memory T-lymphocyte
CL:0000814	mature NK T cell	mature NK T lymphocyte|mature NK T-cell|mature NK T-lymphocyte|mature NKT cell|mature natural killer T cell|mature natural killer T lymphocyte|mature natural killer T-cell|mature natural killer T-lymphocyte
CL:0000815	regulatory T cell	Treg|regulatory T lymphocyte|regulatory T-cell|regulatory T-lymphocyte|suppressor T cell|suppressor T lymphocyte|suppressor T-cell|suppressor T-lymphocyte
CL:0000816	immature B cell	immature B lymphocyte|immature B-cell|immature B-lymphocyte|newly formed B cell
CL:0000817	precursor B cell	pre-B cell
CL:0000818	transitional stage B cell	T1 B cell|T2 B cell|T3 B cell|transitional B cell|transitional stage B lymphocyte|transitional stage B-cell|transitional stage B-lymphocyte
CL:0000819	B-1 B cell	B-1 B lymphocyte|B-1 B-cell|B-1 B-lymphocyte|B-1 cell|B1 B cell|B1 B lymphocyte|B1 B-cell|B1 B-lymphocyte|B1 cell
CL:0000820	B-1a B cell	B-1a B lymphocyte|B-1a B-cell|B-1a B-lymphocyte|B1a B cell|B1a B lymphocyte|B1a B-cell|B1a B-lymphocyte|B1a cell|CD5(+) B1 cell|CD5+ B1 cell|CD5-positive B1 cell
CL:0000821	B-1b B cell	B-1b B lymphocyte|B-1b B-cell|B-1b B-lymphocyte|B1b B cell|B1b B lymphocyte|B1b B-cell|B1b B-lymphocyte|B1b cell
CL:0000822	B-2 B cell	B-0 B cell|B-2 B lymphocyte|B-2 B-cell|B-2 B-lymphocyte|B2 B cell|B2 B lymphocyte|B2 B-cell|B2 B-lymphocyte|B2 cell
CL:0000823	immature natural killer cell	immature NK cell|p-NK
CL:0000824	mature natural killer cell	LAK cell|lymphokine activated killer cell|mature NK cell
CL:0000840	immature conventional dendritic cell	immature myeloid dendritic cell
CL:0000841	mature conventional dendritic cell	mature dendritic cell|mature myeloid dendritic cell
CL:0000842	mononuclear cell	mononuclear leukocyte|peripheral blood mononuclear cell
CL:0000843	follicular B cell	Fo B cell|Fo B-cell|follicular B lymphocyte|follicular B-cell|follicular B-lymphocyte
CL:0000844	germinal center B cell	GC B cell|GC B lymphocyte|GC B-cell|GC B-lymphocyte|germinal center B lymphocyte|germinal center B-cell|germinal center B-lymphocyte
CL:0000845	marginal zone B cell	MZ B cell|MZ B lymphocyte|MZ B-cell|MZ B-lymphocyte|marginal zone B lymphocyte|marginal zone B-cell|marginal zone B-lymphocyte
CL:0000860	classical monocyte	inflammatory monocyte
CL:0000861	elicited macrophage	free macrophage|wandering histiocyte
CL:0000862	suppressor macrophage	
CL:0000863	inflammatory macrophage	M1 macrophage|classically activated macrophage
CL:0000864	tissue-resident macrophage	fixed macrophage|resting histiocyte
CL:0000865	gastrointestinal tract (lamina propria) macrophage	
CL:0000866	thymic macrophage	
CL:0000867	secondary lymphoid organ macrophage	
CL:0000868	lymph node macrophage	MF.LN
CL:0000869	tonsillar macrophage	
CL:0000870	Peyer's patch macrophage	
CL:0000871	splenic macrophage	
CL:0000872	splenic marginal zone macrophage	
CL:0000873	splenic metallophillic macrophage	
CL:0000874	splenic red pulp macrophage	
CL:0000875	non-classical monocyte	patrolling monocyte|resident monocyte
CL:0000876	splenic white pulp macrophage	
CL:0000877	splenic tingible body macrophage	
CL:0000878	central nervous system macrophage	CNS macrophage
CL:0000879	meningeal macrophage	
CL:0000880	choroid-plexus macrophage	
CL:0000881	perivascular macrophage	
CL:0000882	thymic medullary macrophage	
CL:0000883	thymic cortical macrophage	
CL:0000884	mucosa-associated lymphoid tissue macrophage	
CL:0000885	gut-associated lymphoid tissue macrophage	
CL:0000886	nasal and broncial associated lymphoid tissue macrophage	
CL:0000887	lymph node subcapsular sinus macrophage	
CL:0000888	lymph node tingible body macrophage	
CL:0000889	myeloid suppressor cell	
CL:0000890	alternatively activated macrophage	M2 macrophage
CL:0000893	thymocyte	immature T cell|immature T lymphocyte|immature T-cell|immature T-lymphocyte|thymic lymphocyte
CL:0000894	DN1 thymic pro-T cell	DN1 thymic pro-T lymphocyte|DN1 thymic pro-T-cell|DN1 thymic pro-T-lymphocyte|DN1 thymic progenitor T cell|DN1 thymocyte|double negative 1|preT.DN1.Th
CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	T.4Nve.Sp|Th0|naive CD4+ T cell|naive thymus-derived CD4-positive, alpha-beta T lymphocyte|naive thymus-derived CD4-positive, alpha-beta T-cell|naive thymus-derived CD4-positive, alpha-beta T-lymphocyte
CL:0000896	activated CD4-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T lymphocyte|activated CD4-positive, alpha-beta T-cell|activated CD4-positive, alpha-beta T-lymphocyte
CL:0000897	CD4-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T lymphocyte|CD4-positive, alpha-beta memory T-cell|CD4-positive, alpha-beta memory T-lymphocyte|T4.Mem.Sp
CL:0000898	naive T cell	naive T lymphocyte|naive T-cell|naive T-lymphocyte
CL:0000899	T-helper 17 cell	IL-17-producing CD4+ T helper|T helper cells type 17|T(H)-17 cell|Th17 CD4+ T cell|Th17 T cell|Th17 T lymphocyte|Th17 T-cell|Th17 T-lymphocyte|Th17 cell|helper T cell type 17
CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	T.8Nve.Sp|naive CD8+ T cell|naive thymus-dervied CD8-positive, alpha-beta T lymphocyte|naive thymus-dervied CD8-positive, alpha-beta T-cell|naive thymus-dervied CD8-positive, alpha-beta T-lymphocyte
CL:0000901	Tr1 cell	T-regulatory T cell type 1|Tr1 T cell|Tr1 T lymphocyte|Tr1 T-cell|Tr1 T-lymphocyte
CL:0000902	induced T-regulatory cell	aTreg|adaptive Treg|iTreg|induced Treg|induced regulatory T cell|induced regulatory T lymphocyte|induced regulatory T-cell|induced regulatory T-lymphocyte
CL:0000903	natural T-regulatory cell	nTreg|natural Treg|natural regulatory T cell|natural regulatory T lymphocyte|natural regulatory T-cell|natural regulatory T-lymphocyte
CL:0000904	central memory CD4-positive, alpha-beta T cell	central CD4-positive, alpha-beta memory T cell|central CD4-positive, alpha-beta memory T lymphocyte|central CD4-positive, alpha-beta memory T-cell|central CD4-positive, alpha-beta memory T-lymphocyte|central memory CD4+ T cell|central memory CD4-positive, alpha-beta T lymphocyte|central memory CD4-positive, alpha-beta T-cell|central memory CD4-positive, alpha-beta T-lymphocyte
CL:0000905	effector memory CD4-positive, alpha-beta T cell	effector CD4-positive, alpha-beta memory T cell|effector CD4-positive, alpha-beta memory T lymphocyte|effector CD4-positive, alpha-beta memory T-cell|effector CD4-positive, alpha-beta memory T-lymphocyte|effector memory CD4+ T cell|effector memory CD4-positive, alpha-beta T lymphocyte|effector memory CD4-positive, alpha-beta T-cell|effector memory CD4-positive, alpha-beta T-lymphocyte
CL:0000906	activated CD8-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T lymphocyte|activated CD8-positive, alpha-beta T-cell|activated CD8-positive, alpha-beta T-lymphocyte
CL:0000907	central memory CD8-positive, alpha-beta T cell	central CD8-positive, alpha-beta memory T cell|central CD8-positive, alpha-beta memory T lymphocyte|central CD8-positive, alpha-beta memory T-cell|central CD8-positive, alpha-beta memory T-lymphocyte|central memory CD8+ T cell|central memory CD8-positive, alpha-beta T lymphocyte|central memory CD8-positive, alpha-beta T-cell|central memory CD8-positive, alpha-beta T-lymphocyte
CL:0000908	CD8-positive, alpha-beta cytokine secreting effector T cell	CD8-positive, alpha-beta cytokine secreting effector T lymphocyte|CD8-positive, alpha-beta cytokine secreting effector T-cell|CD8-positive, alpha-beta cytokine secreting effector T-lymphocyte
CL:0000909	CD8-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T lymphocyte|CD8-positive, alpha-beta memory T-cell|CD8-positive, alpha-beta memory T-lymphocyte|T.8Mem.Sp
CL:0000910	cytotoxic T cell	cytotoxic T lymphocyte|cytotoxic T-cell|cytotoxic T-lymphocyte
CL:0000911	effector T cell	effector T lymphocyte|effector T-cell|effector T-lymphocyte
CL:0000912	helper T cell	T-helper cell|helper T lymphocyte|helper T-cell|helper T-lymphocyte
CL:0000913	effector memory CD8-positive, alpha-beta T cell	effector CD8-positive, alpha-beta memory T cell|effector CD8-positive, alpha-beta memory T lymphocyte|effector CD8-positive, alpha-beta memory T-cell|effector CD8-positive, alpha-beta memory T-lymphocyte|effector memory CD8+ T cell|effector memory CD8-positive, alpha-beta T lymphocyte|effector memory CD8-positive, alpha-beta T-cell|effector memory CD8-positive, alpha-beta T-lymphocyte
CL:0000914	immature NK T cell	immature NK T lymphocyte|immature NK T-cell|immature NK T-lymphocyte|immature NKT cell
CL:0000915	CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell	CD8-alpha-alpha-positive, alpha-beta intraepithelial T lymphocyte|CD8-alpha-alpha-positive, alpha-beta intraepithelial T-cell|CD8-alpha-alpha-positive, alpha-beta intraepithelial T-lymphocyte
CL:0000916	dendritic epidermal T cell	DETC|dendritic epidermal T lymphocyte|dendritic epidermal T-cell|dendritic epidermal T-lymphocyte
CL:0000917	Tc1 cell	CD8-positive Th1 cell|T-cytotoxic T cell type 1|Tc1 CD8+ T cell|Tc1 T cell|Tc1 T lymphocyte|Tc1 T-cell|Tc1 T-lymphocyte|Th1 CD8-positive T cell|Th1 non-TFH CD8-positive T cell
CL:0000918	Tc2 cell	CD8-positive Th2 cell|T-cytotoxic T cell type 2|Tc2 T cell|Tc2 T lymphocyte|Tc2 T-cell|Tc2 T-lymphocyte|Th2 CD8-positive T cell|Th2 non-TFH CD8-positive T cell
CL:0000919	CD8-positive, CD25-positive, alpha-beta regulatory T cell	CD8+CD25+ T cell|CD8+CD25+ T lymphocyte|CD8+CD25+ T(reg)|CD8+CD25+ T-cell|CD8+CD25+ T-lymphocyte|CD8+CD25+ Treg|CD8-positive, CD25-positive Treg|CD8-positive, CD25-positive, alpha-beta regulatory T lymphocyte|CD8-positive, CD25-positive, alpha-beta regulatory T-cell|CD8-positive, CD25-positive, alpha-beta regulatory T-lymphocyte
CL:0000920	CD8-positive, CD28-negative, alpha-beta regulatory T cell	CD8+CD28- T cell|CD8+CD28- T lymphocyte|CD8+CD28- T(reg)|CD8+CD28- T-cell|CD8+CD28- T-lymphocyte|CD8+CD28- Treg|CD8-positive, CD28-negative T(reg)|CD8-positive, CD28-negative Treg|CD8-positive, CD28-negative, alpha-beta regulatory T lymphocyte|CD8-positive, CD28-negative, alpha-beta regulatory T-cell|CD8-positive, CD28-negative, alpha-beta regulatory T-lymphocyte
CL:0000921	type I NK T cell	classical NK T cell|invariant NK T cell|type I NK T lymphocyte|type I NK T-cell|type I NK T-lymphocyte|type I NKT cell
CL:0000922	type II NK T cell	type II NK T lymphocyte|type II NK T-cell|type II NK T-lymphocyte|type II NKT cell
CL:0000923	CD4-positive type I NK T cell	CD4-positive type I NK T lymphocyte|CD4-positive type I NK T-cell|CD4-positive type I NK T-lymphocyte|CD4-positive type I NKT cell|NKT.4+.SP
CL:0000924	CD4-negative, CD8-negative type I NK T cell	CD4-negative, CD8-negative type I NK T lymphocyte|CD4-negative, CD8-negative type I NK T-cell|CD4-negative, CD8-negative type I NK T-lymphocyte|CD4-negative, CD8-negative type I NKT cell|NKT.4-.Sp
CL:0000925	activated CD4-positive type I NK T cell	activated CD4-positive type I NK T lymphocyte|activated CD4-positive type I NK T-cell|activated CD4-positive type I NK T-lymphocyte|activated CD4-positive type I NKT cell
CL:0000926	CD4-positive type I NK T cell secreting interferon-gamma	CD4-positive type I NK T cell secreting IFN-gamma|CD4-positive type I NK T lymphocyte secreting interferon-gamma|CD4-positive type I NK T-cell secreting interferon-gamma|CD4-positive type I NK T-lymphocyte secreting interferon-gamma|CD4-positive type I NKT cell secreting interferon-gamma
CL:0000927	CD4-positive type I NK T cell secreting interleukin-4	CD4-positive type I NK T cell secreting IL-4|CD4-positive type I NK T lymphocyte secreting interleukin-4|CD4-positive type I NK T-cell secreting interleukin-4|CD4-positive type I NK T-lymphocyte secreting interleukin-4|CD4-positive type I NKT cell secreting interleukin-4
CL:0000928	activated CD4-negative, CD8-negative type I NK T cell	activated CD4-negative, CD8-negative type I NK T lymphocyte|activated CD4-negative, CD8-negative type I NK T-cell|activated CD4-negative, CD8-negative type I NK T-lymphocyte|activated CD4-negative, CD8-negative type I NKT cell
CL:0000929	CD4-negative, CD8-negative type I NK T cell secreting interferon-gamma	CD4-negative, CD8-negative type I NK T cell secreting IFN-gamma|CD4-negative, CD8-negative type I NK T lymphocyte secreting interferon-gamma|CD4-negative, CD8-negative type I NK T-cell secreting interferon-gamma|CD4-negative, CD8-negative type I NK T-lymphocyte secreting interferon-gamma|CD4-negative, CD8-negative type I NKT cell secreting interferon-gamma
CL:0000930	CD4-negative, CD8-negative type I NK T cell secreting interleukin-4	CD4-negative, CD8-negative type I NK T cell secreting IL-4|CD4-negative, CD8-negative type I NK T lymphocyte secreting interleukin-4|CD4-negative, CD8-negative type I NK T-cell secreting interleukin-4|CD4-negative, CD8-negative type I NK T-lymphocyte secreting interleukin-4|CD4-negative, CD8-negative type I NKT cell secreting interleukin-4
CL:0000931	activated type II NK T cell	activated type II NK T lymphocyte|activated type II NK T-cell|activated type II NK T-lymphocyte|activated type II NKT cell
CL:0000932	type II NK T cell secreting interferon-gamma	type II NK T cell secreting IFN-gamma|type II NK T lymphocyte secreting interferon-gamma|type II NK T-cell secreting interferon-gamma|type II NK T-lymphocyte secreting interferon-gamma|type II NKT cell secreting interferon-gamma
CL:0000933	type II NK T cell secreting interleukin-4	type II NK T cell secreting IL-4|type II NK T lymphocyte secreting interleukin-4|type II NK T-cell secreting interleukin-4|type II NK T-lymphocyte secreting interleukin-4|type II NKT cell secreting interleukin-4
CL:0000934	CD4-positive, alpha-beta cytotoxic T cell	CD4-positive, alpha-beta cytotoxic T lymphocyte|CD4-positive, alpha-beta cytotoxic T-cell|CD4-positive, alpha-beta cytotoxic T-lymphocyte
CL:0000935	CD4-negative, CD8-negative, alpha-beta intraepithelial T cell	CD4-negative, CD8-negative, alpha-beta intraepithelial T lymphocyte|CD4-negative, CD8-negative, alpha-beta intraepithelial T-cell|CD4-negative, CD8-negative, alpha-beta intraepithelial T-lymphocyte
CL:0000937	pre-natural killer cell	pre-NK cell
CL:0000938	CD16-negative, CD56-bright natural killer cell, human	CD16-CD56bright NK cell|CD16-negative, CD56-bright NK cell|CD56-bright cytokine secreting NK cell|CD56-bright cytokine secreting natural killer cell
CL:0000939	CD16-positive, CD56-dim natural killer cell, human	CD16+CD56+ NK cell|CD16-positive, CD56-dim NK cell|CD16-positive, CD56-low NK cell|CD16-positive, CD56-low natural killer cell|CD16-positive, CD56-positive NK cell|CD16-positive, CD56-positive natural killer cell|cytotoxic CD56-dim NK cell|cytotoxic CD56-dim natural killer cell
CL:0000940	mucosal invariant T cell	mucosal invariant T lymphocyte|mucosal invariant T-cell|mucosal invariant T-lymphocyte
CL:0000941	thymic conventional dendritic cell	
CL:0000942	thymic plasmacytoid dendritic cell	
CL:0000943	Be1 Cell	B effector 1 cell|B effector cell type 1
CL:0000944	Be2 cell	B effector 2 cell|B effector cell type 2
CL:0000945	lymphocyte of B lineage	
CL:0000946	antibody secreting cell	
CL:0000947	IgE plasma cell	
CL:0000948	IgE memory B cell	IgE memory B lymphocyte|IgE memory B-cell|IgE memory B-lymphocyte|memory IgE B cell|memory IgE B lymphocyte|memory IgE B-cell|memory IgE B-lymphocyte
CL:0000949	IgD plasmablast	
CL:0000950	IgE plasmablast	
CL:0000951	IgE short lived plasma cell	
CL:0000952	preBCR-positive large pre-B-II cell	
CL:0000953	preBCR-negative large pre-B-II cell	
CL:0000954	small pre-B-II cell	small pre-BII cell
CL:0000955	pre-B-II cell	pre-B-lymphocyte|pre-BII cell
CL:0000956	pre-B-I cell	pre-BI cell|pro-B cell (Philadelphia nomenclature)
CL:0000957	large pre-B-II cell	large pre-B cell|large pre-BII cell
CL:0000958	T1 B cell	T1 B lymphocyte|T1 B-cell|T1 B-lymphocyte|transitional stage 1 B cell
CL:0000959	T2 B cell	T2 B lymphocyte|T2 B-cell|T2 B-lymphocyte|transitional stage 2 B cell
CL:0000960	T3 B cell	An1 B cell|T3 B lymphocyte|T3 B-cell|T3 B-lymphocyte|transitional stage 3 B cell
CL:0000961	Bm1 B cell	Bm1 B lymphocyte|Bm1 B-cell|Bm1 B-lymphocyte
CL:0000962	Bm2 B cell	Bm2 B lymphocyte|Bm2 B-cell|Bm2 B-lymphocyte
CL:0000963	Bm3-delta B cell	Bm3-delta B lymphocyte|Bm3-delta B-cell|Bm3-delta B-lymphocyte
CL:0000964	Bm2' B cell	Bm2' B lymphocyte|Bm2' B-cell|Bm2-prime B cell|Bm2-prime B-lymphocyte|germinal center founder cell
CL:0000965	Bm3 B cell	Bm3 B lymphocyte|Bm3 B-cell|Bm3 B-lymphocyte|centroblast
CL:0000966	Bm4 B cell	Bm4 B lymphocyte|Bm4 B-cell|Bm4 B-lymphocyte|centrocyte
CL:0000967	Bm5 B cell	Bm5 B lymphocyte|Bm5 B-cell|Bm5 B-lymphocyte
CL:0000968	Be cell	B effector cell|effector B cell|effector B lymphocyte|effector B-cell|effector B-lymphocyte
CL:0000969	regulatory B cell	B(reg)|B10 cell|Breg|regulatory B lymphocyte|regulatory B-cell|regulatory B-lymphocyte
