?x	?label
<http://owltools.org/Q>	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/CARO_0000000>	"anatomical entity"
<http://purl.obolibrary.org/obo/CARO_0030000>	"biological entity"
<http://purl.obolibrary.org/obo/UBERON_0000003>	"naris"
<http://purl.obolibrary.org/obo/UBERON_0000004>	"nose"
<http://purl.obolibrary.org/obo/UBERON_0000005>	"chemosensory organ"
<http://purl.obolibrary.org/obo/UBERON_0000018>	"compound eye"
<http://purl.obolibrary.org/obo/UBERON_0000019>	"camera-type eye"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"sense organ"
<http://purl.obolibrary.org/obo/UBERON_0000046>	"stemma"
<http://purl.obolibrary.org/obo/UBERON_0000047>	"simple eye"
<http://purl.obolibrary.org/obo/UBERON_0000048>	"pinhole eye"
<http://purl.obolibrary.org/obo/UBERON_0000049>	"spherical lensed eye"
<http://purl.obolibrary.org/obo/UBERON_0000050>	"simple eye with multiple lenses"
<http://purl.obolibrary.org/obo/UBERON_0000053>	"macula lutea"
<http://purl.obolibrary.org/obo/UBERON_0000054>	"macula"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"anatomical structure"
<http://purl.obolibrary.org/obo/UBERON_0000207>	"compound eye corneal lens"
<http://purl.obolibrary.org/obo/UBERON_0000389>	"lens cortex"
<http://purl.obolibrary.org/obo/UBERON_0000390>	"lens nucleus"
<http://purl.obolibrary.org/obo/UBERON_0000395>	"cochlear ganglion"
<http://purl.obolibrary.org/obo/UBERON_0000396>	"vallate papilla"
<http://purl.obolibrary.org/obo/UBERON_0000402>	"nasal vestibule"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"material anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0000467>	"anatomical system"
<http://purl.obolibrary.org/obo/UBERON_0000941>	"cranial nerve II"
<http://purl.obolibrary.org/obo/UBERON_0000963>	"head sensillum"
<http://purl.obolibrary.org/obo/UBERON_0000964>	"cornea"
<http://purl.obolibrary.org/obo/UBERON_0000965>	"lens of camera-type eye"
<http://purl.obolibrary.org/obo/UBERON_0000966>	"retina"
<http://purl.obolibrary.org/obo/UBERON_0000970>	"eye"
<http://purl.obolibrary.org/obo/UBERON_0000971>	"ommatidium"
<http://purl.obolibrary.org/obo/UBERON_0001032>	"sensory system"
<http://purl.obolibrary.org/obo/UBERON_0001038>	"chordotonal organ"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0001351>	"lacrimal sac"
<http://purl.obolibrary.org/obo/UBERON_0001352>	"external acoustic meatus"
<http://purl.obolibrary.org/obo/UBERON_0001457>	"skin of eyelid"
<http://purl.obolibrary.org/obo/UBERON_0001459>	"skin of external ear"
<http://purl.obolibrary.org/obo/UBERON_0001576>	"intrinsic muscle of tongue"
<http://purl.obolibrary.org/obo/UBERON_0001578>	"orbicularis oculi muscle"
<http://purl.obolibrary.org/obo/UBERON_0001583>	"extrinsic auricular muscle"
<http://purl.obolibrary.org/obo/UBERON_0001595>	"auricular muscle"
<http://purl.obolibrary.org/obo/UBERON_0001596>	"intrinsic auricular muscle"
<http://purl.obolibrary.org/obo/UBERON_0001599>	"stapedius muscle"
<http://purl.obolibrary.org/obo/UBERON_0001600>	"tensor tympani"
<http://purl.obolibrary.org/obo/UBERON_0001601>	"extra-ocular muscle"
<http://purl.obolibrary.org/obo/UBERON_0001602>	"medial rectus extraocular muscle"
<http://purl.obolibrary.org/obo/UBERON_0001603>	"lateral rectus extra-ocular muscle"
<http://purl.obolibrary.org/obo/UBERON_0001604>	"levator palpebrae superioris"
<http://purl.obolibrary.org/obo/UBERON_0001605>	"ciliary muscle"
<http://purl.obolibrary.org/obo/UBERON_0001606>	"muscle of iris"
<http://purl.obolibrary.org/obo/UBERON_0001607>	"sphincter pupillae"
<http://purl.obolibrary.org/obo/UBERON_0001608>	"dilatator pupillae"
<http://purl.obolibrary.org/obo/UBERON_0001610>	"lingual artery"
<http://purl.obolibrary.org/obo/UBERON_0001611>	"sublingual artery"
<http://purl.obolibrary.org/obo/UBERON_0001620>	"central retinal artery"
<http://purl.obolibrary.org/obo/UBERON_0001648>	"vestibulocochlear nerve"
<http://purl.obolibrary.org/obo/UBERON_0001673>	"central retinal vein"
<http://purl.obolibrary.org/obo/UBERON_0001681>	"nasal bone"
<http://purl.obolibrary.org/obo/UBERON_0001686>	"auditory ossicle bone"
<http://purl.obolibrary.org/obo/UBERON_0001687>	"stapes bone"
<http://purl.obolibrary.org/obo/UBERON_0001688>	"incus bone"
<http://purl.obolibrary.org/obo/UBERON_0001689>	"malleus bone"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"ear"
<http://purl.obolibrary.org/obo/UBERON_0001691>	"external ear"
<http://purl.obolibrary.org/obo/UBERON_0001706>	"nasal septum"
<http://purl.obolibrary.org/obo/UBERON_0001707>	"nasal cavity"
<http://purl.obolibrary.org/obo/UBERON_0001711>	"eyelid"
<http://purl.obolibrary.org/obo/UBERON_0001712>	"upper eyelid"
<http://purl.obolibrary.org/obo/UBERON_0001713>	"lower eyelid"
<http://purl.obolibrary.org/obo/UBERON_0001721>	"inferior vestibular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0001722>	"medial vestibular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0001723>	"tongue"
<http://purl.obolibrary.org/obo/UBERON_0001726>	"papilla of tongue"
<http://purl.obolibrary.org/obo/UBERON_0001727>	"taste bud"
<http://purl.obolibrary.org/obo/UBERON_0001750>	"lacrimal apparatus"
<http://purl.obolibrary.org/obo/UBERON_0001756>	"middle ear"
<http://purl.obolibrary.org/obo/UBERON_0001757>	"pinna"
<http://purl.obolibrary.org/obo/UBERON_0001766>	"anterior chamber of eyeball"
<http://purl.obolibrary.org/obo/UBERON_0001767>	"posterior chamber of eyeball"
<http://purl.obolibrary.org/obo/UBERON_0001768>	"uvea"
<http://purl.obolibrary.org/obo/UBERON_0001769>	"iris"
<http://purl.obolibrary.org/obo/UBERON_0001770>	"lacrimal canaliculus"
<http://purl.obolibrary.org/obo/UBERON_0001771>	"pupil"
<http://purl.obolibrary.org/obo/UBERON_0001772>	"corneal epithelium"
<http://purl.obolibrary.org/obo/UBERON_0001773>	"sclera"
<http://purl.obolibrary.org/obo/UBERON_0001775>	"ciliary body"
<http://purl.obolibrary.org/obo/UBERON_0001776>	"optic choroid"
<http://purl.obolibrary.org/obo/UBERON_0001777>	"substantia propria of cornea"
<http://purl.obolibrary.org/obo/UBERON_0001778>	"ciliary epithelium"
<http://purl.obolibrary.org/obo/UBERON_0001779>	"iris stroma"
<http://purl.obolibrary.org/obo/UBERON_0001781>	"layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001782>	"pigmented layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001783>	"optic disc"
<http://purl.obolibrary.org/obo/UBERON_0001786>	"fovea centralis"
<http://purl.obolibrary.org/obo/UBERON_0001787>	"photoreceptor layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001788>	"outer limiting layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001789>	"outer nuclear layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001790>	"outer plexiform layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001791>	"inner nuclear layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001792>	"ganglionic layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001793>	"nerve fiber layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001794>	"inner limiting layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001795>	"inner plexiform layer of retina"
<http://purl.obolibrary.org/obo/UBERON_0001796>	"aqueous humor of eyeball"
<http://purl.obolibrary.org/obo/UBERON_0001797>	"vitreous humor"
<http://purl.obolibrary.org/obo/UBERON_0001798>	"vitreous body"
<http://purl.obolibrary.org/obo/UBERON_0001799>	"vitreous chamber of eyeball"
<http://purl.obolibrary.org/obo/UBERON_0001801>	"anterior segment of eyeball"
<http://purl.obolibrary.org/obo/UBERON_0001802>	"posterior segment of eyeball"
<http://purl.obolibrary.org/obo/UBERON_0001803>	"epithelium of lens"
<http://purl.obolibrary.org/obo/UBERON_0001804>	"capsule of lens"
<http://purl.obolibrary.org/obo/UBERON_0001811>	"conjunctiva"
<http://purl.obolibrary.org/obo/UBERON_0001812>	"palpebral conjunctiva"
<http://purl.obolibrary.org/obo/UBERON_0001817>	"lacrimal gland"
<http://purl.obolibrary.org/obo/UBERON_0001818>	"tarsal gland"
<http://purl.obolibrary.org/obo/UBERON_0001819>	"palpebral fissure"
<http://purl.obolibrary.org/obo/UBERON_0001822>	"orbital septum"
<http://purl.obolibrary.org/obo/UBERON_0001823>	"nasal cartilage"
<http://purl.obolibrary.org/obo/UBERON_0001826>	"nasal cavity mucosa"
<http://purl.obolibrary.org/obo/UBERON_0001839>	"bony labyrinth"
<http://purl.obolibrary.org/obo/UBERON_0001840>	"semicircular canal"
<http://purl.obolibrary.org/obo/UBERON_0001841>	"anterior semicircular canal"
<http://purl.obolibrary.org/obo/UBERON_0001842>	"posterior semicircular canal"
<http://purl.obolibrary.org/obo/UBERON_0001843>	"lateral semicircular canal"
<http://purl.obolibrary.org/obo/UBERON_0001844>	"cochlea"
<http://purl.obolibrary.org/obo/UBERON_0001845>	"perilymph"
<http://purl.obolibrary.org/obo/UBERON_0001846>	"internal ear"
<http://purl.obolibrary.org/obo/UBERON_0001847>	"lobule of pinna"
<http://purl.obolibrary.org/obo/UBERON_0001848>	"auricular cartilage"
