ID	label	SYNONYMS
BFO:0000002	continuant	
BFO:0000004	independent continuant	
BFO:0000040	material entity	
CL:0002157	endosteal cell	
CL:2000057	femural osteoblast	
CL:2000079	mesenchymal stem cell of femoral bone marrow	
UBERON:0000061	anatomical structure	biological structure|connected biological structure
UBERON:0000144	trochlea of humerus	humeral trochlea|trochlea humeri
UBERON:0000199	neck of radius	collum radii|radial neck
UBERON:0000313	portion of cartilage tissue in tibia	cartilage of tibia|tibial cartilage
UBERON:0000465	material anatomical entity	
UBERON:0000976	humerus	humeri|humerus bone|mesomere 1 of pectoral appendage|proximal metapterygial mesomere of pectoral appendage|proximal metapterygial mesomere of pectoral fin
UBERON:0000979	tibia	shankbone|shinbone
UBERON:0000980	trochanter	femoral trochanter|trochanter of femur
UBERON:0000981	femur	femoral bone|mesomere 1 of pevlic appendage|os femorale|os femoris|os longissimum|proximal metapterygial mesomere of pelvic appendage|proximal metapterygial mesomere of pelvic fin|thigh bone
UBERON:0001010	diaphysis of ulna	body of ulna|corpus ulnae|shaft of ulna|shaft of ulna|supinator crest|ulnar diaphysis
UBERON:0001012	head of radius	caput radii|radial head
UBERON:0001028	diaphysis of radius	body of radius|corpus radii|radial diaphysis|radial shaft|shaft of radius|shaft of radius
UBERON:0001062	anatomical entity	
UBERON:0001105	clavicle bone	clavicle|clavicula|collar bone|collarbone
UBERON:0001269	acetabular part of hip bone	acetabular region|acetabulum
UBERON:0001272	innominate bone	basipterygium|bone of pelvic girdle|coxal bone|hip bone|innominate|innominate bone|os coxa|os coxae|os innominatum|pelvic bone
UBERON:0001273	ilium	iliac bone|ilium bone|illium|os iliacum|os ilii|os ilium
UBERON:0001274	ischium	ischial bone|ischium bone|os ischii|os ischii
UBERON:0001275	pubis	os pubis|pubic bone|pubis bone
UBERON:0001423	radius bone	radius
UBERON:0001424	ulna	
UBERON:0001427	radiale	navicular bone of hand|navicular bone of manus|navicular of hand|navicular of manus|os carpi radiale|os naviculare manus|os scaphoideum|radial carpal bone|scaphoid|scaphoid bone|scaphoideum
UBERON:0001428	intermedium	intermediate carpal bone|intermedium|lunar|lunate|lunate bone|os carpi intermedium|os lunatum|os lunatum|semilunar|semilunar bone|semilunate
UBERON:0001429	pisiform	accessory carpal bone|os pisiforme|pisiform bone
UBERON:0001430	distal carpal bone 1	carpal 1|distal carpal 1|greater multangular|greater multangular bone|greater multiangular|hand distal carpal bone 1|manus distal carpal bone 1|os trapezium|trapezial bone|trapezium|trapezium bone
UBERON:0001431	distal carpal bone 2	carpal 2|distal carpal 2|hand distal carpal bone 2|lesser multangular|lesser multangular bone|lesser multiangular|manus distal carpal bone 2|os trapezoideum|trapezoid|trapezoid bone
UBERON:0001432	distal carpal bone 3	capitate|capitate bone|carpal 3|distal carpal 3|hand distal carpal bone 3|magnum|os capitatum|os magnum|os magnum (carpus)
UBERON:0001433	distal carpal bone 4	carpal 4|distal carpal 4|hamate|hamate bone|hand distal carpal bone 4|os hamatum|os hamatum|unciform|unciform bone|uncinate
UBERON:0001435	carpal bone	bone of carpus|carpal|carpal skeleton bone|carpus bone
UBERON:0001436	phalanx of manus	bone of finger|digital bone of manus|digitus manus phalanx|finger phalanx|hand digit phalanx|hand phalanx|manual phalanx|phalanges of fore digit|phalanx of digit of hand|phalanx of digitus manus|phalanx of finger|phalanx of fore digit|phalanx of hand|phalanx of hand digit|phalanx of manual digit
UBERON:0001437	epiphysis	bone epiphysis|end of long bone|epiphyses|long bone epiphysis
UBERON:0001438	metaphysis	diaphyseal end of long bone|long bone metaphysis|metaphyses
