ID	label	SYNONYMS
BFO:0000001	entity	
BFO:0000002	continuant	
BFO:0000004	independent continuant	
BFO:0000040	material entity	
CL:0000474	pericardial nephrocyte	pericardial cell
CL:0000486	garland cell	garland nephrocyte
CL:0000648	kidney granular cell	JG cell|juxtaglomerular cell|renin secreting cell
CL:0000653	glomerular visceral epithelial cell	epithelial cell of visceral layer of glomerular capsule|glomerular podocyte|podocyte
CL:0000731	urothelial cell	bladder transitional cell|transitional epithelial cell of urinary bladder|urinary tract transitional epithelial cell
CL:0002173	extraglomerular mesangial cell	Goormaghtigh cell|lacis cell|polar cushion cells
CL:0002188	glomerular endothelial cell	
CL:0002201	renal beta-intercalated cell	
CL:0002305	epithelial cell of distal tubule	kidney distal tubule epithelial cell
CL:0002306	epithelial cell of proximal tubule	kidney proximal tubule epithelial cell
CL:0002307	brush border cell of the proximal tubule	
CL:0002518	kidney epithelial cell	
CL:0002519	interrenal epithelial cell	
CL:0002520	nephrocyte	
CL:0002522	renal filtration cell	
CL:0002523	mesonephric glomerular visceral epithelial cell	
CL:0002524	disseminated nephrocyte	
CL:0002525	metanephric glomerular visceral epithelial cell	
CL:0002584	renal cortical epithelial cell	
CL:0002597	smooth muscle cell of bladder	
CL:0002681	kidney cortical cell	
CL:0005009	renal principal cell	
CL:0005010	renal intercalated cell	intercalated cell
CL:0005011	renal alpha-intercalated cell	
CL:0009019	nephrogenic zone cell	cortical nephrogenic niche cell|cortical nephrogenic zone cell
CL:1000022	mesonephric nephron tubule epithelial cell	
CL:1000090	pronephric nephron tubule epithelial cell	
CL:1000123	metanephric nephron tubule epithelial cell	
CL:1000155	Malpighian tubule stellate cell	Malpighian tubule Type II cell
CL:1000182	malpighian tubule tip cell	
CL:1000296	epithelial cell of urethra	
CL:1000308	fibrocyte of adventitia of ureter	
CL:1000442	urothelial cell of trigone of urinary bladder	epithelial cell of vesical trigone
CL:1000449	epithelial cell of nephron	
CL:1000450	epithelial cell of glomerular capsule	Bowmans capsule epithelial cell|epithelial cell of Bowman's capsule
CL:1000452	parietal epithelial cell	epithelial cell of parietal layer of glomerular capsule
CL:1000453	epithelial cell of intermediate tubule	
CL:1000454	kidney collecting duct epithelial cell	epithelial cell of renal collecting tubule
CL:1000486	basal cell of urothelium	
CL:1000494	nephron tubule epithelial cell	kidney tubule epithelial cell
CL:1000497	kidney cell	
CL:1000500	kidney interstitial cell	
CL:1000504	kidney medulla cell	
CL:1000505	kidney pelvis cell	
CL:1000507	kidney tubule cell	
CL:1000510	kidney glomerular epithelial cell	
CL:1000546	kidney medulla collecting duct epithelial cell	
CL:1000547	kidney inner medulla collecting duct epithelial cell	
CL:1000548	kidney outer medulla collecting duct epithelial cell	
CL:1000549	kidney cortex collecting duct epithelial cell	
CL:1000550	kidney papillary duct principal epithelial cell	
CL:1000596	inner renal cortex cell	
CL:1000597	papillary tips cell	
CL:1000600	lower urinary tract cell	
CL:1000601	ureteral cell	
CL:1000606	kidney nerve cell	
CL:1000612	kidney corpuscule cell	
CL:1000615	kidney cortex tubule cell	
CL:1000616	kidney outer medulla cell	
CL:1000617	kidney inner medulla cell	
CL:1000618	juxtaglomerular complex cell	juxtaglomerulus cell
CL:1000681	kidney cortex interstitial cell	
CL:1000682	kidney medulla interstitial cell	
CL:1000691	kidney interstitial myofibroblast	
CL:1000692	kidney interstitial fibroblast	
CL:1000693	kidney interstitial fibrocyte	
CL:1000695	kidney interstitial alternatively activated macrophage	
CL:1000696	kidney interstitial inflammatory macrophage	
CL:1000697	kidney interstitial suppressor macrophage	
CL:1000698	kidney resident macrophage	
CL:1000699	kidney resident dendritic cell	
CL:1000702	kidney pelvis smooth muscle cell	
CL:1000703	kidney pelvis urothelial cell	
CL:1000706	ureter urothelial cell	
CL:1000708	ureter adventitial cell	
CL:1000714	kidney cortex collecting duct principal cell	
CL:1000715	kidney cortex collecting duct intercalated cell	
CL:1000716	kidney outer medulla collecting duct principal cell	
CL:1000717	kidney outer medulla collecting duct intercalated cell	
CL:1000718	kidney inner medulla collecting duct principal cell	
CL:1000719	kidney inner medulla collecting duct intercalated cell	
CL:1000720	kidney papillary duct intercalated cell	
CL:1000721	kidney papillary duct principal cell	
CL:1000742	glomerular mesangial cell	intraglomerular mesangial cell
CL:1000746	glomerular cell	
CL:1000768	kidney connecting tubule epithelial cell	
CL:1000803	kidney inner medulla interstitial cell	
CL:1000804	kidney outer medulla interstitial cell	
CL:1000838	kidney proximal convoluted tubule epithelial cell	
CL:1000839	kidney proximal straight tubule epithelial cell	
CL:1000849	kidney distal convoluted tubule epithelial cell	
CL:1000850	macula densa epithelial cell	
CL:1000854	kidney blood vessel cell	
CL:1000891	kidney arterial blood vessel cell	
CL:1000892	kidney capillary endothelial cell	
CL:1000893	kidney venous blood vessel cell	
CL:1000909	kidney loop of Henle epithelial cell	
CL:1000979	ureter smooth muscle cell	
CL:1001005	glomerular capillary endothelial cell	
CL:1001006	kidney afferent arteriole cell	
CL:1001009	kidney efferent arteriole cell	
CL:1001016	kidney loop of Henle ascending limb epithelial cell	
CL:1001021	kidney loop of Henle descending limb epithelial cell	
CL:1001033	peritubular capillary endothelial cell	
CL:1001036	vasa recta cell	
CL:1001045	kidney cortex artery cell	
CL:1001052	kidney cortex vein cell	
CL:1001064	kidney artery smooth muscle cell	
CL:1001066	kidney arteriole smooth muscle cell	
CL:1001068	kidney venous system smooth muscle cell	
CL:1001096	kidney afferent arteriole endothelial cell	
CL:1001097	kidney afferent arteriole smooth muscle cell	
CL:1001099	kidney efferent arteriole endothelial cell	
CL:1001100	kidney efferent arteriole smooth muscle cell	
CL:1001106	kidney loop of Henle thick ascending limb epithelial cell	
CL:1001107	kidney loop of Henle thin ascending limb epithelial cell	
CL:1001108	kidney loop of Henle medullary thick ascending limb epithelial cell	
