?x	?label
<http://owltools.org/Q>	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/UBERON_0000056>	"ureter"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"urethra"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"anatomical structure"
<http://purl.obolibrary.org/obo/UBERON_0000074>	"renal glomerulus"
<http://purl.obolibrary.org/obo/UBERON_0000080>	"mesonephros"
<http://purl.obolibrary.org/obo/UBERON_0000081>	"metanephros"
<http://purl.obolibrary.org/obo/UBERON_0000082>	"adult mammalian kidney"
<http://purl.obolibrary.org/obo/UBERON_0000083>	"mesonephric tubule"
<http://purl.obolibrary.org/obo/UBERON_0000084>	"ureteric bud"
<http://purl.obolibrary.org/obo/UBERON_0000163>	"embryonic cloaca"
<http://purl.obolibrary.org/obo/UBERON_0000164>	"primitive urogenital sinus"
<http://purl.obolibrary.org/obo/UBERON_0000362>	"renal medulla"
<http://purl.obolibrary.org/obo/UBERON_0000365>	"urothelium"
<http://purl.obolibrary.org/obo/UBERON_0000381>	"urinary bladder detrusor smooth muscle"
<http://purl.obolibrary.org/obo/UBERON_0000461>	"minor vestibular gland"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"material anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0000467>	"anatomical system"
<http://purl.obolibrary.org/obo/UBERON_0001008>	"renal system"
<http://purl.obolibrary.org/obo/UBERON_0001054>	"Malpighian tubule"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0001222>	"right ureter"
<http://purl.obolibrary.org/obo/UBERON_0001223>	"left ureter"
<http://purl.obolibrary.org/obo/UBERON_0001224>	"renal pelvis"
<http://purl.obolibrary.org/obo/UBERON_0001225>	"cortex of kidney"
<http://purl.obolibrary.org/obo/UBERON_0001226>	"major calyx"
<http://purl.obolibrary.org/obo/UBERON_0001227>	"minor calyx"
<http://purl.obolibrary.org/obo/UBERON_0001228>	"renal papilla"
<http://purl.obolibrary.org/obo/UBERON_0001229>	"renal corpuscle"
<http://purl.obolibrary.org/obo/UBERON_0001230>	"glomerular capsule"
<http://purl.obolibrary.org/obo/UBERON_0001231>	"nephron tubule"
<http://purl.obolibrary.org/obo/UBERON_0001232>	"collecting duct of renal tubule"
<http://purl.obolibrary.org/obo/UBERON_0001252>	"adventitia of ureter"
<http://purl.obolibrary.org/obo/UBERON_0001253>	"lamina propria of ureter"
<http://purl.obolibrary.org/obo/UBERON_0001254>	"urothelium of ureter"
<http://purl.obolibrary.org/obo/UBERON_0001255>	"urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0001256>	"wall of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0001257>	"trigone of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0001258>	"neck of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0001259>	"mucosa of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0001260>	"serosa of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0001261>	"lamina propria of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0001284>	"renal column"
<http://purl.obolibrary.org/obo/UBERON_0001285>	"nephron"
<http://purl.obolibrary.org/obo/UBERON_0001286>	"Bowman's space"
<http://purl.obolibrary.org/obo/UBERON_0001287>	"proximal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0001288>	"loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0001289>	"descending limb of loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0001290>	"proximal straight tubule"
<http://purl.obolibrary.org/obo/UBERON_0001291>	"thick ascending limb of loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0001292>	"distal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0001293>	"outer medulla of kidney"
<http://purl.obolibrary.org/obo/UBERON_0001294>	"inner medulla of kidney"
<http://purl.obolibrary.org/obo/UBERON_0001333>	"male urethra"
<http://purl.obolibrary.org/obo/UBERON_0001334>	"female urethra"
<http://purl.obolibrary.org/obo/UBERON_0001335>	"prostatic urethra"
<http://purl.obolibrary.org/obo/UBERON_0001336>	"membranous urethra of male or female"
<http://purl.obolibrary.org/obo/UBERON_0001337>	"spongiose part of urethra"
<http://purl.obolibrary.org/obo/UBERON_0001338>	"urethral gland"
<http://purl.obolibrary.org/obo/UBERON_0001552>	"kidney arcuate artery"
<http://purl.obolibrary.org/obo/UBERON_0001556>	"lower urinary tract"
<http://purl.obolibrary.org/obo/UBERON_0002015>	"kidney capsule"
<http://purl.obolibrary.org/obo/UBERON_0002068>	"urachus"
<http://purl.obolibrary.org/obo/UBERON_0002113>	"kidney"
<http://purl.obolibrary.org/obo/UBERON_0002120>	"pronephros"
<http://purl.obolibrary.org/obo/UBERON_0002189>	"outer cortex of kidney"
<http://purl.obolibrary.org/obo/UBERON_0002303>	"juxtaglomerular apparatus"
<http://purl.obolibrary.org/obo/UBERON_0002319>	"mesangium"
<http://purl.obolibrary.org/obo/UBERON_0002320>	"glomerular mesangium"
<http://purl.obolibrary.org/obo/UBERON_0002321>	"extraglomerular mesangium"
<http://purl.obolibrary.org/obo/UBERON_0002325>	"epithelium of urethra"
<http://purl.obolibrary.org/obo/UBERON_0002326>	"lamina propria of urethra"
<http://purl.obolibrary.org/obo/UBERON_0002335>	"macula densa"
<http://purl.obolibrary.org/obo/UBERON_0002366>	"bulbo-urethral gland"
<http://purl.obolibrary.org/obo/UBERON_0003060>	"pronephric duct"
<http://purl.obolibrary.org/obo/UBERON_0003074>	"mesonephric duct"
<http://purl.obolibrary.org/obo/UBERON_0003393>	"mesentery of urinary system"
<http://purl.obolibrary.org/obo/UBERON_0003455>	"inner renal medulla loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0003475>	"ureteric vein"
<http://purl.obolibrary.org/obo/UBERON_0003517>	"kidney blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0003527>	"kidney capillary"
<http://purl.obolibrary.org/obo/UBERON_0003546>	"distal convoluted tubule macula densa"
<http://purl.obolibrary.org/obo/UBERON_0003644>	"kidney arterial blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0003820>	"prostate bud"
<http://purl.obolibrary.org/obo/UBERON_0003829>	"urethra muscle tissue"
<http://purl.obolibrary.org/obo/UBERON_0004100>	"renal collecting system"
<http://purl.obolibrary.org/obo/UBERON_0004134>	"proximal tubule"
<http://purl.obolibrary.org/obo/UBERON_0004135>	"distal tubule"
<http://purl.obolibrary.org/obo/UBERON_0004136>	"intermediate tubule"
<http://purl.obolibrary.org/obo/UBERON_0004188>	"glomerular epithelium"
<http://purl.obolibrary.org/obo/UBERON_0004189>	"glomerular endothelium"
<http://purl.obolibrary.org/obo/UBERON_0004190>	"renal glomerulus vasculature"
<http://purl.obolibrary.org/obo/UBERON_0004193>	"loop of Henle ascending limb thin segment"
<http://purl.obolibrary.org/obo/UBERON_0004194>	"long nephron"
<http://purl.obolibrary.org/obo/UBERON_0004195>	"short nephron"
<http://purl.obolibrary.org/obo/UBERON_0004196>	"proximal convoluted tubule segment 1"
<http://purl.obolibrary.org/obo/UBERON_0004197>	"proximal convoluted tubule segment 2"
<http://purl.obolibrary.org/obo/UBERON_0004198>	"comma-shaped body"
<http://purl.obolibrary.org/obo/UBERON_0004199>	"S-shaped body"
<http://purl.obolibrary.org/obo/UBERON_0004200>	"kidney pyramid"
<http://purl.obolibrary.org/obo/UBERON_0004201>	"kidney outer medulla inner stripe"
<http://purl.obolibrary.org/obo/UBERON_0004202>	"kidney outer medulla outer stripe"
<http://purl.obolibrary.org/obo/UBERON_0004203>	"cortical collecting duct"
<http://purl.obolibrary.org/obo/UBERON_0004204>	"outer medullary collecting duct"
<http://purl.obolibrary.org/obo/UBERON_0004205>	"inner medullary collecting duct"
<http://purl.obolibrary.org/obo/UBERON_0004206>	"long descending thin limb bend"
<http://purl.obolibrary.org/obo/UBERON_0004207>	"prebend segment of loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0004211>	"nephron epithelium"
<http://purl.obolibrary.org/obo/UBERON_0004212>	"glomerular capillary"
<http://purl.obolibrary.org/obo/UBERON_0004219>	"urethra smooth muscle layer"
<http://purl.obolibrary.org/obo/UBERON_0004227>	"kidney pelvis smooth muscle"
<http://purl.obolibrary.org/obo/UBERON_0004228>	"urinary bladder smooth muscle"
<http://purl.obolibrary.org/obo/UBERON_0004229>	"urinary bladder trigone smooth muscle"
<http://purl.obolibrary.org/obo/UBERON_0004230>	"urinary bladder neck smooth muscle"
<http://purl.obolibrary.org/obo/UBERON_0004294>	"glomerular capillary endothelium"
<http://purl.obolibrary.org/obo/UBERON_0004538>	"left kidney"
<http://purl.obolibrary.org/obo/UBERON_0004539>	"right kidney"
<http://purl.obolibrary.org/obo/UBERON_0004639>	"renal afferent arteriole"
<http://purl.obolibrary.org/obo/UBERON_0004640>	"renal efferent arteriole"
<http://purl.obolibrary.org/obo/UBERON_0004645>	"urinary bladder urothelium"
<http://purl.obolibrary.org/obo/UBERON_0004719>	"kidney arcuate vein"
<http://purl.obolibrary.org/obo/UBERON_0004723>	"interlobular artery"
<http://purl.obolibrary.org/obo/UBERON_0004736>	"metanephric glomerulus"
<http://purl.obolibrary.org/obo/UBERON_0004737>	"metanephric collecting duct"
<http://purl.obolibrary.org/obo/UBERON_0004738>	"metanephric juxtaglomerular apparatus"
<http://purl.obolibrary.org/obo/UBERON_0004739>	"pronephric glomerulus"
