Uberon Label	Uberon Id	EFO LABEL(S)	MAPPING TYPE	ONTOLOGY TERM(S)	ONTOLOGY(S)	Comment
head capsule	UBERON:0003153	cranium	Automatic	EFO_0000831	http://www.ebi.ac.uk/efo/	n efo: 0001927
mesonephric tubule	UBERON:0000083	renal tubule	Automatic	EFO_0003666	http://www.ebi.ac.uk/efo/	n
anal canal	UBERON:0000159	anal region	Automatic	EFO_0000847	http://www.ebi.ac.uk/efo/	n
orifice	UBERON:0000161	vagina	Automatic	EFO_0000976	http://www.ebi.ac.uk/efo/	n
cloaca	UBERON:0000162	anal region	Automatic	EFO_0000847	http://www.ebi.ac.uk/efo/	n
oral cavity	UBERON:0000167	mouth structure	Automatic	EFO_0000825	http://www.ebi.ac.uk/efo/	n
blastula	UBERON:0000307	blastocyst	Automatic	EFO_0000295	http://www.ebi.ac.uk/efo/	n
parenchyma	UBERON:0000353	wood parenchyma	Automatic	EFO_0001043	http://www.ebi.ac.uk/efo/	n
medulla	UBERON:0000958	medulla oblongata	Automatic	EFO_0000924	http://www.ebi.ac.uk/efo/	n
commissure	UBERON:0001020	postoptic commissure	Automatic	EFO_0003478	http://www.ebi.ac.uk/efo/	n
hindgut	UBERON:0001046	large intestine	Automatic	EFO_0000840	http://www.ebi.ac.uk/efo/	n
anus	UBERON:0001245	anal region	Automatic	EFO_0000847	http://www.ebi.ac.uk/efo/	n
vestibule	UBERON:0001349	mouth structure	Automatic	EFO_0000825	http://www.ebi.ac.uk/efo/	n
ascending aorta	UBERON:0001496	aorta	Automatic	EFO_0000265	http://www.ebi.ac.uk/efo/	n
neurocranium	UBERON:0001703	chondrocranium cartilage	Automatic	EFO_0003690	http://www.ebi.ac.uk/efo/	n
nasal cavity	UBERON:0001707	olfactory pit	Automatic	EFO_0003496	http://www.ebi.ac.uk/efo/	n
pupil	UBERON:0001771	Adie syndrome	Automatic	EFO_0004126	http://www.ebi.ac.uk/efo/	n
midbrain tegmentum	UBERON:0001943	tegmentum	Automatic	EFO_0000921	http://www.ebi.ac.uk/efo/	n
Ammon's horn	UBERON:0001954	hippocampus	Automatic	EFO_0000530	http://www.ebi.ac.uk/efo/	n
substantia nigra pars compacta	UBERON:0001965	substantia nigra	Automatic	EFO_0000922	http://www.ebi.ac.uk/efo/	n
vasculature	UBERON:0002049	blood vessel	Automatic	EFO_0000817	http://www.ebi.ac.uk/efo/	n
hypodermis	UBERON:0002072	epidermis	Automatic	EFO_0000954	http://www.ebi.ac.uk/efo/	n
appendicular skeleton	UBERON:0002091	paired fin skeleton	Automatic	EFO_0000951	http://www.ebi.ac.uk/efo/	n
