table	as_iri	label	uberon_id	parent_id	parent_label	references	term_type
	https://purl.org/ccf/ASCTB-TEMP_connective-tissue	Connective tissue		UBERON:0004641	spleen capsule	PMID: 20126587, PMID: 3310649	leaf
	https://purl.org/ccf/ASCTB-TEMP_arterial-capillary	Arterial Capillary		UBERON:0001250	red pulp of spleen	https://doi.org/ 10.1182/ bloodadvances.2017015073, https://doi.org/10.1007/s00418-007-0320-8	leaf
	https://purl.org/ccf/ASCTB-TEMP_inner-mantle-zone	Inner Mantle Zone		UBERON:0010421	spleen B cell corona	https://doi.org/10.1186/s13059-019-1906-x, https://doi.org/10.1111/imm.12469, https://doi.org/10.1111/imm.12325, https://doi.org/10.1093/intimm/14.2.157, https://doi.org/10.1038/s41467-019-09728-3, https://doi.org/10.1007/s00418-007-0320-8, https://doi.org/10.1016/j.aanat.2019.05.004, https://doi.org/10.1182/bloodadvances.2017015073, https://doi.org/10.1007/s00418-020-01924-3, https://doi.org/10.1371/journal.pone.0191019	leaf
	https://purl.org/ccf/ASCTB-TEMP_inner-pals	Inner PALS		UBERON:0010401	spleen central arteriole	https://doi.org/10.1007/s00418-007-0320-8, https://doi.org/10.1111/j.1365-2559.1985.tb02841.x, https://doi.org/10.1111/j.1365-2559.1986.tb02482.x, https://doi.org/10.1182/bloodadvances.2017015073, https://doi.org/10.1111/imm.12469, https://doi.org/10.1016/j.bbi.2018.12.009, https://doi.org/10.1186/s13059-019-1906-x, https://doi.org/10.1126/sciimmunol.aau6085, https://doi.org/10.1007/s00262-015-1729-x, https://doi.org/10.1016/j.immuni.2012.09.020, https://doi.org/10.1038/s41467-019-09728-3, https://doi.org/10.55418/9781933477060., https://doi.org/10.1309/M95G-7DQ2-TLQL-7Q11, https://doi.org/10.1369%2Fjhc.4A6514.2005, PMID:16515224	leaf
	https://purl.org/ccf/ASCTB-TEMP_outer-pals	Outer PALS		UBERON:0001960	periarterial lymphatic sheath	https://doi.org/10.1186/s13059-019-1906-x, https://doi.org/10.1126/sciimmunol.aau6085, https://doi.org/10.1007/s00262-015-1729-x, https://doi.org/10.1016/j.immuni.2012.09.020, https://doi.org/10.1038/s41467-019-09728-3, https://doi.org/10.1111/imm.12469, https://doi.org/10.55418/9781933477060., https://doi.org/10.1038/s41421-020-0157-z, https://doi.org/10.1093/intimm/14.2.157	leaf
	https://purl.org/ccf/ASCTB-TEMP_ring-fiber	Ring Fiber		UBERON:0003910	splenic sinusoid	https://doi.org/10.1111/j.1365-2559.1986.tb02483.x, https://doi.org/10.2478/s11756-009-0193-5	leaf
	https://purl.org/ccf/ASCTB-TEMP_splenic-red-pulp-stroma	Splenic Red Pulp Stroma		UBERON:0003910	splenic sinusoid	https://doi.org/10.1002/eji.200425442	leaf
	https://purl.org/ccf/ASCTB-TEMP_subcapsule	Subcapsule		UBERON:0004641	spleen capsule	https://doi.org/10.1111/j.1365-2249.2008.03734.x	leaf
	https://purl.org/ccf/ASCTB-TEMP_superficial-mantle-zone	Superficial Mantle Zone		UBERON:0010421	spleen B cell corona	https://doi.org/10.1186/s13059-019-1906-x, https://doi.org/10.1111/imm.12469, https://doi.org/10.1111/j.1365-2567.2005.02242.x, https://doi.org/10.1038/s41467-019-09728-3, PMID: 20126587, https://doi.org/10.1007/s00418-020-01924-3, https://doi.org/10.1371/journal.pone.0191019, https://doi.org/10.1007/s00418-007-0320-8, https://doi.org/10.1016/j.aanat.2019.05.004, https://doi.org/10.1182/bloodadvances.2017015073	leaf
	https://purl.org/ccf/ASCTB-TEMP_white-pulp-lymphatic-vessels	White Pulp Lymphatic Vessels		UBERON:0001959	white pulp of spleen	https://doi.org/10.1369/jhc.4A6514.2005, PMID:16515224	leaf
