tables,as,as_label,UBERON ID,Pull Request/Issue,parents_as,parents_as_label,references
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-ampulla,basement membrane of fallopian tube ampulla,,,https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-ampulla,wall of Fallopian tube ampulla,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-infundibulum,basement membrane of fallopian tube infundibulum,,,https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-infundibulum,wall of Fallopian tube infundibulum,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-intramural-segment,basement membrane of fallopian tube intramural segment,,,https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-intramural-segment,wall of Fallopian tube intramural segment,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-isthmus,basement membrane of fallopian tube isthmus,,,https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-isthmus,wall of Fallopian tube isthmus,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-ampulla,fluid of fallopian tube ampulla,,,UBERON:0012648,ampulla of fallopian tube,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-fimbria,fluid of fallopian tube fimbria,,,UBERON:8410010,fimbria of fallopian tube,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-infundibulum,fluid of fallopian tube infundibulum,,,UBERON:0003984,uterine tube infundibulum,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-intramural-segment,fluid of fallopian tube intramural segment,,,https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube,intramural segment of Fallopian tube,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-isthmus,fluid of fallopian tube isthmus,,,UBERON:0016632,isthmus of fallopian tube,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-ampulla,inner muscle layer of fallopian tube ampulla,,,https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-ampulla,muscle layer of oviduct ampulla,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-infundibulum,inner muscle layer of fallopian tube infundibulum,,,https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-infundibulum,muscle layer of oviduct infundibulum,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-intramural-segment,inner muscle layer of fallopian tube intramural segment,,,https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-intramural-segment,muscle layer of oviduct intramural segment,
fallopian-tube,https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-isthmus,inner muscle layer of fallopian tube isthmus,,,https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-isthmus,muscle layer of oviduct isthmus,
