tables,as,as_label,UBERON ID,Pull Request/Issue,parents_as,parents_as_label,references
small-intestine,https://purl.org/ccf/ASCTB-TEMP_circular-longitudinal-muscle,circular/longitudinal muscle,,,https://purl.org/ccf/ASCTB-TEMP_muscularis-externa,muscularis externa,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_endoethlial,endoethlial,,,UBERON:0003332,submucosa of duodenum,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_epithelium,Epithelium,,,UBERON:0001213,intestinal villus,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_lamina-propria-gut-associated-lymphoid-tissue-galt-,Lamina propria/Gut associated lymphoid tissue (GALT),,,UBERON:0001213,intestinal villus,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_mucosa,mucosa,,,UBERON:0013644,duodenal ampulla,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_muscularis-externa,muscularis externa,,,UBERON:0002115,jejunum,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_muscularis-mucosa,muscularis mucosa,,,UBERON:0001213,intestinal villus,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_muscularis-propria,muscularis propria,,,UBERON:0013644,duodenal ampulla,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_myenteric-plexus-of-auerbach,myenteric plexus of Auerbach,,,UBERON:0012377,muscle layer of jejunum,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_serosa,serosa,,,UBERON:0013644,duodenal ampulla,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_submucosa,submucosa,,,UBERON:0013644,duodenal ampulla,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_submucosal-plexus-of-meissner,submucosal plexus of Meissner,,,UBERON:0003332,submucosa of duodenum,
small-intestine,https://purl.org/ccf/ASCTB-TEMP_connective-tissue,connective tissue,,,UBERON:0003337,serosa of jejunum,"PMID: 20126587, PMID: 3310649"
