tables,as,as_label,UBERON ID,Pull Request/Issue,parents_as,parents_as_label,references
ovary,https://purl.org/ccf/ASCTB-TEMP_antral-follicle,antral follicle,,,UBERON:0001305,ovarian follicle,
ovary,https://purl.org/ccf/ASCTB-TEMP_central-inferior-antimesenteric-ovary,central inferior antimesenteric ovary,,,https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary,central inferior ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_central-inferior-mesenteric-ovary,central inferior mesenteric ovary,,,https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary,central inferior ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary,central inferior ovary,,,https://purl.org/ccf/ASCTB-TEMP_central-ovary,central ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_central-ovary,central ovary,,,UBERON:0000992,ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_central-superior-antimesenteric-ovary,central superior antimesenteric ovary,,,https://purl.org/ccf/ASCTB-TEMP_central-superior-ovary,central superior ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_central-superior-mesenteric-ovary,central superior mesenteric ovary,,,https://purl.org/ccf/ASCTB-TEMP_central-superior-ovary,central superior ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_central-superior-ovary,central superior ovary,,,https://purl.org/ccf/ASCTB-TEMP_central-ovary,central ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_corona-radiata,corona radiata,,,UBERON:0005170,granulosa cell layer,
ovary,https://purl.org/ccf/ASCTB-TEMP_corpus-luteum-granulosa-lutein-layer,corpus luteum granulosa lutein layer,,,UBERON:0002512,corpus luteum,
ovary,https://purl.org/ccf/ASCTB-TEMP_corpus-luteum-granulosa-theca-layer,corpus luteum granulosa theca layer,,,UBERON:0002512,corpus luteum,
ovary,https://purl.org/ccf/ASCTB-TEMP_cortical-blood-vessels,cortical blood vessels,,,UBERON:0013191,ovarian cortex,
ovary,https://purl.org/ccf/ASCTB-TEMP_cumulus-oophorus-oocyte-complex,cumulus oophorus oocyte complex,,,UBERON:0003982,mature ovarian follicle,"https://doi.org/10.1210/er.2018-00085, https://doi.org/10.1093/oxfordjournals.humrep.a136365"
ovary,https://purl.org/ccf/ASCTB-TEMP_dominance-antral-follicle,dominance antral follicle,,,https://purl.org/ccf/ASCTB-TEMP_antral-follicle,antral follicle,https://doi.org/10.1093/oxfordjournals.humrep.a136365
ovary,https://purl.org/ccf/ASCTB-TEMP_early-antral-follicle,early antral follicle,,,https://purl.org/ccf/ASCTB-TEMP_antral-follicle,antral follicle,https://doi.org/10.1093/oxfordjournals.humrep.a136365
ovary,https://purl.org/ccf/ASCTB-TEMP_hemorrhagic-anovulatory-follicle,hemorrhagic anovulatory follicle,,,UBERON:0001305,ovarian follicle,"https://doi.org/10.1093/oxfordjournals.humrep.a136365, https://doi.org/10.1210/er.2018-00085"
ovary,https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-antimesenteric-ovary,lateral inferior antimesenteric ovary,,,https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-ovary,lateral inferior ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-mesenteric-ovary,lateral inferior mesenteric ovary,,,https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-ovary,lateral inferior ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_lateral-inferior-ovary,lateral inferior ovary,,,https://purl.org/ccf/ASCTB-TEMP_lateral-ovary,lateral ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_lateral-ovary,lateral ovary,,,UBERON:0000992,ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_lateral-superior-antimesenteric-ovary,lateral superior antimesenteric ovary,,,https://purl.org/ccf/ASCTB-TEMP_lateral-superior-ovary,lateral superior ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_lateral-superior-mesenteric-ovary,lateral superior mesenteric ovary,,,https://purl.org/ccf/ASCTB-TEMP_lateral-superior-ovary,lateral superior ovary,
ovary,https://purl.org/ccf/ASCTB-TEMP_lateral-superior-ovary,lateral superior ovary,,,https://purl.org/ccf/ASCTB-TEMP_lateral-ovary,lateral ovary,
