tables,as,as_label,UBERON ID,Pull Request/Issue,parents_as,parents_as_label,references
uterus,https://purl.org/ccf/ASCTB-TEMP_central-anterior-body-of-uterus,central anterior body of uterus,,,UBERON:0009853,body of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_central-anterior-fundus-of-uterus,central anterior fundus of uterus,,,FMA:17561,Fundus of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_central-anterior-lower-uterine-segment,central anterior lower uterine segment,,,,lower uterine segment,
uterus,https://purl.org/ccf/ASCTB-TEMP_central-posterior-body-of-uterus,central posterior body of uterus,,,UBERON:0009853,body of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_central-posterior-fundus-of-uterus,central posterior fundus of uterus,,,FMA:17561,Fundus of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_central-posterior-lower-uterine-segment,central posterior lower uterine segment,,,,lower uterine segment,
uterus,https://purl.org/ccf/ASCTB-TEMP_cervical-mucosa,cervical mucosa,,,UBERON:0000002,uterine cervix,
uterus,https://purl.org/ccf/ASCTB-TEMP_cervical-os,cervical os,,,UBERON:0000002,uterine cervix,
uterus,https://purl.org/ccf/ASCTB-TEMP_cervical-squamo-columnar-junction,cervical squamo-columnar junction,,,UBERON:0000002,uterine cervix,
uterus,https://purl.org/ccf/ASCTB-TEMP_columnar-cell-of-endocervix,columnar cell of endocervix,,,UBERON:0000458,endocervix,
uterus,https://purl.org/ccf/ASCTB-TEMP_connective-tissue-of-the-uterine-serosa,connective tissue of the uterine serosa,,,UBERON:0001297,serosa of the uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_ectocervical-epithelium,ectocervical epithelium,,,UBERON:0012249,ectocervix,
uterus,https://purl.org/ccf/ASCTB-TEMP_ectocervical-stroma,ectocervical stroma,,,UBERON:0012249,ectocervix,
uterus,https://purl.org/ccf/ASCTB-TEMP_endocervical-stroma,endocervical stroma,,,UBERON:0000458,endocervix,
uterus,https://purl.org/ccf/ASCTB-TEMP_external-cervical-os,external cervical os,,,UBERON:0012249,ectocervix,
uterus,https://purl.org/ccf/ASCTB-TEMP_inferior-uterine-vein,inferior uterine vein,,,UBERON:0000995,uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_inner-uterine-myometrium,inner uterine myometrium,,,UBERON:0001296,uterine myometrium,"https://doi.org/10.1093/molehr/gat083, https://doi.org/10.1186/1471-2393-13-S1-S7"
uterus,https://purl.org/ccf/ASCTB-TEMP_internal-cervical-os,internal cervical os,,,UBERON:0000458,endocervix,
uterus,https://purl.org/ccf/ASCTB-TEMP_left-anterior-body-of-uterus,left anterior body of uterus,,,UBERON:0009853,body of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_left-anterior-fundus-of-uterus,left anterior fundus of uterus,,,FMA:17561,Fundus of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_left-anterior-lower-uterine-segment,left anterior lower uterine segment,,,,lower uterine segment,
uterus,https://purl.org/ccf/ASCTB-TEMP_left-posterior-body-of-uterus,left posterior body of uterus,,,UBERON:0009853,body of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_left-posterior-fundus-of-uterus,left posterior fundus of uterus,,,FMA:17561,Fundus of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_left-posterior-lower-uterine-segment,left posterior lower uterine segment,,,,lower uterine segment,
uterus,https://purl.org/ccf/ASCTB-TEMP_lower-uterine-segment,lower uterine segment,,,UBERON:0000995,uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_mesothelium-of-the-uterine-serosa,mesothelium of the uterine serosa,,,UBERON:0001297,serosa of the uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_outer-uterine-myometrium,outer uterine myometrium,,,UBERON:0001296,uterine myometrium,https://doi.org/10.1101/2021.01.02.425073
uterus,https://purl.org/ccf/ASCTB-TEMP_right-anterior-body-of-uterus,right anterior body of uterus,,,UBERON:0009853,body of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_right-anterior-fundus-of-uterus,right anterior fundus of uterus,,,FMA:17561,Fundus of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_right-anterior-lower-uterine-segment,right anterior lower uterine segment,,,,lower uterine segment,
uterus,https://purl.org/ccf/ASCTB-TEMP_right-posterior-body-of-uterus,right posterior body of uterus,,,UBERON:0009853,body of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_right-posterior-fundus-of-uterus,right posterior fundus of uterus,,,FMA:17561,Fundus of uterus,
uterus,https://purl.org/ccf/ASCTB-TEMP_right-posterior-lower-uterine-segment,right posterior lower uterine segment,,,,lower uterine segment,
uterus,https://purl.org/ccf/ASCTB-TEMP_superior-uterine-vein,superior uterine vein,,,UBERON:0000995,uterus,
